issuance_id	request_id	root_review_id	recipe_root	recipe_tree	requirement_id	record_name	record_format	mandatory_fields	cross_record_binding	issued_request_locator	response_drop_locator	record_state	acceptance_state	claim_boundary
SUP02-ISSUE-0263d4b55d6a43edad7b	SUP02-CER-0263d4b55d6a43edad7b	generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	BA-001	build-invocation-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_root;recipe_tree;build_run_id;build_started_at_utc;build_finished_at_utc;working_directory;invocation_argv;input_source_digests;build_script_digest;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-0263d4b55d6a43edad7b	evidence-supply/responses/SUP-02/SUP02-CER-0263d4b55d6a43edad7b/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-0263d4b55d6a43edad7b	SUP02-CER-0263d4b55d6a43edad7b	generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	BA-002	build-environment-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_tree;build_run_id;host_os;host_kernel;host_arch;toolchain_components;toolchain_digests;dependency_lock_or_snapshot;container_or_vm_image_digest;relevant_environment;source_date_epoch;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-0263d4b55d6a43edad7b	evidence-supply/responses/SUP-02/SUP02-CER-0263d4b55d6a43edad7b/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-0263d4b55d6a43edad7b	SUP02-CER-0263d4b55d6a43edad7b	generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	BA-003	build-output-manifest.tsv	TSV_WITH_ROWS	request_id;root_review_id;recipe_root;recipe_tree;build_run_id;package_name;package_version;package_revision;artifact_path;artifact_sha256;member_path;member_sha256;member_elf_soname;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-0263d4b55d6a43edad7b	evidence-supply/responses/SUP-02/SUP02-CER-0263d4b55d6a43edad7b/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-0dacddae106c6bd1006b	SUP02-CER-0dacddae106c6bd1006b	generic-root-review:0dacddae106c6bd1006b	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	BA-001	build-invocation-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_root;recipe_tree;build_run_id;build_started_at_utc;build_finished_at_utc;working_directory;invocation_argv;input_source_digests;build_script_digest;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-0dacddae106c6bd1006b	evidence-supply/responses/SUP-02/SUP02-CER-0dacddae106c6bd1006b/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-0dacddae106c6bd1006b	SUP02-CER-0dacddae106c6bd1006b	generic-root-review:0dacddae106c6bd1006b	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	BA-002	build-environment-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_tree;build_run_id;host_os;host_kernel;host_arch;toolchain_components;toolchain_digests;dependency_lock_or_snapshot;container_or_vm_image_digest;relevant_environment;source_date_epoch;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-0dacddae106c6bd1006b	evidence-supply/responses/SUP-02/SUP02-CER-0dacddae106c6bd1006b/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-0dacddae106c6bd1006b	SUP02-CER-0dacddae106c6bd1006b	generic-root-review:0dacddae106c6bd1006b	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	BA-003	build-output-manifest.tsv	TSV_WITH_ROWS	request_id;root_review_id;recipe_root;recipe_tree;build_run_id;package_name;package_version;package_revision;artifact_path;artifact_sha256;member_path;member_sha256;member_elf_soname;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-0dacddae106c6bd1006b	evidence-supply/responses/SUP-02/SUP02-CER-0dacddae106c6bd1006b/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-146b55949f1c16bde2a2	SUP02-CER-146b55949f1c16bde2a2	generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	BA-001	build-invocation-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_root;recipe_tree;build_run_id;build_started_at_utc;build_finished_at_utc;working_directory;invocation_argv;input_source_digests;build_script_digest;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-146b55949f1c16bde2a2	evidence-supply/responses/SUP-02/SUP02-CER-146b55949f1c16bde2a2/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-146b55949f1c16bde2a2	SUP02-CER-146b55949f1c16bde2a2	generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	BA-002	build-environment-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_tree;build_run_id;host_os;host_kernel;host_arch;toolchain_components;toolchain_digests;dependency_lock_or_snapshot;container_or_vm_image_digest;relevant_environment;source_date_epoch;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-146b55949f1c16bde2a2	evidence-supply/responses/SUP-02/SUP02-CER-146b55949f1c16bde2a2/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-146b55949f1c16bde2a2	SUP02-CER-146b55949f1c16bde2a2	generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	BA-003	build-output-manifest.tsv	TSV_WITH_ROWS	request_id;root_review_id;recipe_root;recipe_tree;build_run_id;package_name;package_version;package_revision;artifact_path;artifact_sha256;member_path;member_sha256;member_elf_soname;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-146b55949f1c16bde2a2	evidence-supply/responses/SUP-02/SUP02-CER-146b55949f1c16bde2a2/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
SUP02-ISSUE-26c46ad7612eb40ca721	SUP02-CER-26c46ad7612eb40ca721	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	BA-001	build-invocation-record.json	JSON_OBJECT	schema_version;request_id;root_review_id;recipe_root;recipe_tree;build_run_id;build_started_at_utc;build_finished_at_utc;working_directory;invocation_argv;input_source_digests;build_script_digest;custodian_identity;immutable_locator_or_signed_envelope	request_id;root_review_id;recipe_tree;build_run_id;custodian_identity;immutable_locator_or_signed_envelope	custodian-export-request-issuance.tsv#request_id=SUP02-CER-26c46ad7612eb40ca721	evidence-supply/responses/SUP-02/SUP02-CER-26c46ad7612eb40ca721/	ISSUED_REQUIRED_NOT_SUPPLIED	OPEN_NO_ACCEPTANCE	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
