field	value
source_head	a12c6f3a96f74b27d633fc3956b20d450d2245ed
source_tree	b4255820347b03b179db9f65f6759bfce96939f4
defined_request_set_sha256	1968cf81f76835f0b9488166dca76686843f1449c6a19906c71a7c1e93dc97a5
defined_record_contracts_sha256	fa3faf7b77802f2dfba797e7f5fe5af0d16814e0bc7a9e1300857ad57c9c8197
request_issuance_rows	28
record_contract_issuance_rows	84
ba_001_issued_contracts	28
ba_002_issued_contracts	28
ba_003_issued_contracts	28
requests_issued	28
requests_acknowledged	0
responses_received	0
build_attestations_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
publication_model	REMOTE_BRANCH_PUBLICATION_IS_REQUEST_ISSUANCE_NOT_CUSTODIAN_ACKNOWLEDGEMENT
request_issuance_sha256	64a0932ede3920b868bd922726db1336884be1f1b53e24dda7ef216fa6dced71
record_contract_issuance_sha256	5e18dee415443a0e5e39040d0147844eeeb6aa3b71a96107c9d51a31056af628
claim_boundary	CUSTODIAN_EXPORT_REQUEST_ISSUANCE_ONLY_NO_RESPONSE_BUILD_ATTESTATION_OR_AUTHORITY_EFFECT
next_state	IMPLEMENT_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_02_CUSTODIAN_EXPORT_RESPONSE_ACQUIRER
