field	value
supply_batch	SUP-01
supply_request	SRQ-OJ-001
requirement	OJ-001
response_payloads	1
proposed_required_identity	libjpeg.so.62
rejected_substitute_identity	libjpeg.so.8
matching_provider_candidates_bound	0
object_corrections_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
payload_sha256	91c5d65069c6447724e1c7119dc21ac8267708465f78c30588f77dda63a7067e
manifest_sha256	7d6aefbdbae1ac46a6620912fab54056f0a5ca9f994bf63304d1b8fbdeb1d7f1
response_state	SUPPLY_RESPONSE_PREPARED_REVIEW_REQUIRED
next_state	REVIEW_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_01_RESPONSE
