profile_id	lock_kind	selected_evidence_row_id	package	version	artifact_sha256	artifact_member_path	installed_source_path	member_type	mode	size	content_sha256	link_target	soname	semantic_authority	provider_authority_state	source_recipe_state	candidate_recipe_trees	update_domain	materialization_state
printing-provider	ALIAS	selected:87750cf46616db4ba0f1	e2fsprogs-glibc	1.47.2	b1ae59a6213520b1cc0bf5bc8b0b7af8abd5c238ab9688fe0d0c5cbb64267599	data/data/com.termux/files/usr/glibc/lib/libcom_err.so	/data/data/com.termux/files/usr/glibc/lib/libcom_err.so	SYMLINK	777	0	-	libcom_err.so.2	libcom_err.so.2	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	e0e140e5cb36f660188ee633e4eae6479e3f2ef8	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	ALIAS	selected:87750cf46616db4ba0f1	e2fsprogs-glibc	1.47.2	b1ae59a6213520b1cc0bf5bc8b0b7af8abd5c238ab9688fe0d0c5cbb64267599	data/data/com.termux/files/usr/glibc/lib/libcom_err.so.2	/data/data/com.termux/files/usr/glibc/lib/libcom_err.so.2	SYMLINK	777	0	-	libcom_err.so.2.1	libcom_err.so.2	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	e0e140e5cb36f660188ee633e4eae6479e3f2ef8	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	CONTENT	selected:87750cf46616db4ba0f1	e2fsprogs-glibc	1.47.2	b1ae59a6213520b1cc0bf5bc8b0b7af8abd5c238ab9688fe0d0c5cbb64267599	data/data/com.termux/files/usr/glibc/lib/libcom_err.so.2.1	/data/data/com.termux/files/usr/glibc/lib/libcom_err.so.2.1	REGULAR	700	72584	54d50134426dc7a92595c9443514b54240731006a787943f553f64514dc9d0a9	-	libcom_err.so.2	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	e0e140e5cb36f660188ee633e4eae6479e3f2ef8	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	ALIAS	selected:c140680c37ea91583f9a	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libgssapi_krb5.so	/data/data/com.termux/files/usr/glibc/lib/libgssapi_krb5.so	SYMLINK	777	0	-	libgssapi_krb5.so.2.2	libgssapi_krb5.so.2	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	ALIAS	selected:c140680c37ea91583f9a	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libgssapi_krb5.so.2	/data/data/com.termux/files/usr/glibc/lib/libgssapi_krb5.so.2	SYMLINK	777	0	-	libgssapi_krb5.so.2.2	libgssapi_krb5.so.2	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	CONTENT	selected:c140680c37ea91583f9a	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libgssapi_krb5.so.2.2	/data/data/com.termux/files/usr/glibc/lib/libgssapi_krb5.so.2.2	REGULAR	700	460240	bd49087ccf47689e2badf203cc8976a14e1625d6c76589baab9547bfc013bf9c	-	libgssapi_krb5.so.2	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	ALIAS	selected:5af8d254bb4f5f98b907	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libk5crypto.so	/data/data/com.termux/files/usr/glibc/lib/libk5crypto.so	SYMLINK	777	0	-	libk5crypto.so.3.1	libk5crypto.so.3	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	ALIAS	selected:5af8d254bb4f5f98b907	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libk5crypto.so.3	/data/data/com.termux/files/usr/glibc/lib/libk5crypto.so.3	SYMLINK	777	0	-	libk5crypto.so.3.1	libk5crypto.so.3	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	CONTENT	selected:5af8d254bb4f5f98b907	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libk5crypto.so.3.1	/data/data/com.termux/files/usr/glibc/lib/libk5crypto.so.3.1	REGULAR	700	223472	0b323de9cae8be56bb950f6ebda6806eb93e70d1e4f84602ac239c473005104e	-	libk5crypto.so.3	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
printing-provider	ALIAS	selected:76fc1a69ba48351da14d	krb5-glibc	1.21.3	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	data/data/com.termux/files/usr/glibc/lib/libkrb5.so	/data/data/com.termux/files/usr/glibc/lib/libkrb5.so	SYMLINK	777	0	-	libkrb5.so.3.3	libkrb5.so.3	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_AUTHORITY	SOURCE_RECIPE_ACCEPTED	681f9cd4779e2af7713b3cb37f7c94a076056227	GENERIC_PROVIDER_UPDATE	DRAFT_LOCK_ONLY_BLOCKED
