membership_id	object_id	coverage_evidence_row_id	fragment_id	membership_scope	membership_state	necessity_evidence	target_inclusion_state	authority_issue_ids
membership:c3d14f47ab9fdaa0d145c02f	object:0245743bb594ee1ac2c13258	selected:f0e58d3f0ce7cc530cec	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:561882f728c9aa2443b24855	object:1a86c1656e55d68baa3b11cb	selected:d7a006bd7255eb7528fa	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_PASSIVE_BASE_PRESSURE;GRAPHICS_NARRATIVE_SECONDARY_PRESSURE_REJECTED_AS_MEMBERSHIP	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:f49adfc5fe4345cd183af68a	object:1a8bc733979360f2e3327d80	selected:4b6f97ce3153fa0686ed	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:39fcf6ddb28cdae5179ac6de	object:1d28ce6412b7919e6ad7592d	selected:af022a205bb264f563c7	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:d9a2defe6ae37c63fcf15379	object:22d5db25fece632754f7a0fb	selected:e97588cf8165c6be7ff8	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-009
membership:c4ad4ba4dd6b7fa7ad1d0fc7	object:48f8acf398ac16610f175b58	selected:9b67e335d60927004eaa	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-009
membership:114588e6cb5596208a6f3fd8	object:a93ba9939545c2ea11ebba52	selected:0edf3d0cc1b925601dec	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:d77e15d8760773009db71ef7	object:b57cfc342b0efd864caa8677	selected:4efe5ad7a1626aef3dac	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:e0b928be7e9d86bac9240a78	object:c1b8c73864685b43eeead0ae	selected:f0bbabff87ca0e031855	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
membership:01d088e1415983fa256dbcdb	object:d05d09c2acfd577d27b7cc02	selected:dff05f9cf975d0574e77	base-obsidian-x11-provider-fragment	PRIORITY_REVIEWED_OBJECT	BOUNDED_EVIDENCE_ACCEPTED_FINAL_PROVIDER_OPEN	PRIMARY_BASE_OR_WORLD_PRESSURE	BLOCKED_PENDING_APPLICATION_RUNTIME_COMPOSITION	AUTH-005
