object_id	coverage_evidence_row_id	package	content_sha256	label	semantic_role_state	termux_android_adaptation_state	adaptation_evidence_ref	candidate_source_comparison_state	exact_supply_artifact_state	supply_artifact_id	artifact_member_relative_path	artifact_to_recipe_binding_state	necessity	final	authority_issue_ids
object:46ae61c88b9a2f32b13dfe81	selected:c7119883ae6fa812e032	brotli-glibc	46ae61c88b9a2f32b13dfe81a3353a6aef2c83f3cbacf5270197878c47aab9be	libbrotlicommon.so.1	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:402c5b919f670e9d12438071	lib/libbrotlicommon.so.1.1.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003
object:8faac8e6d945bf1d5f113d98	selected:bff711efae3acc3ae92b	brotli-glibc	8faac8e6d945bf1d5f113d986502bf28883fa0cf7a0feb529840124d2b804a87	libbrotlidec.so.1	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:402c5b919f670e9d12438071	lib/libbrotlidec.so.1.1.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003
object:54d50134426dc7a92595c944	selected:87750cf46616db4ba0f1	e2fsprogs-glibc	54d50134426dc7a92595c9443514b54240731006a787943f553f64514dc9d0a9	libcom_err.so.2	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:b1ae59a6213520b1cc0bf5bc	lib/libcom_err.so.2.1	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:c560ec0574d7ee5b1b773869	selected:4561ee8198805d29e28d	gcc-libs-glibc	c560ec0574d7ee5b1b773869b805d1926970bcf81dd58cbea92e4b0a85593651	libatomic.so.1	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:919c2e80a629d674dd450b0a	lib/libatomic.so.1.2.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003
object:22d5db25fece632754f7a0fb	selected:e97588cf8165c6be7ff8	gcc-libs-glibc	22d5db25fece632754f7a0fb1c6586eb6e93eab6a5866da487b86f115d4e389d	libgcc_s.so.1	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:919c2e80a629d674dd450b0a	lib/libgcc_s.so.1	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-009
object:4205855cce5501831acbcb88	selected:3e33aa3d32bd66274006	gcc-libs-glibc	4205855cce5501831acbcb88b024f705ec0f355ca8ea0ad62228848081e9520d	libstdc++.so.6	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:919c2e80a629d674dd450b0a	lib/libstdc++.so.6.0.34	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:bd49087ccf47689e2badf203	selected:c140680c37ea91583f9a	krb5-glibc	bd49087ccf47689e2badf203cc8976a14e1625d6c76589baab9547bfc013bf9c	libgssapi_krb5.so.2	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:13972590dda51ac16fd201be	lib/libgssapi_krb5.so.2.2	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:0b323de9cae8be56bb950f6e	selected:5af8d254bb4f5f98b907	krb5-glibc	0b323de9cae8be56bb950f6ebda6806eb93e70d1e4f84602ac239c473005104e	libk5crypto.so.3	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:13972590dda51ac16fd201be	lib/libk5crypto.so.3.1	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:1aa7548de3759b97324cd8c0	selected:76fc1a69ba48351da14d	krb5-glibc	1aa7548de3759b97324cd8c07ecee887b6600986723b687ca70a2da33d902145	libkrb5.so.3	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:13972590dda51ac16fd201be	lib/libkrb5.so.3.3	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:e502dd3c7ee2526e1093dc6f	selected:4176ffe9b032818d53b8	krb5-glibc	e502dd3c7ee2526e1093dc6f876ff928aa6ff06b61942fbdf10fb20eacf01b38	libkrb5support.so.0	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:13972590dda51ac16fd201be	lib/libkrb5support.so.0.1	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-004
object:21d47963d42a5b1c4008c88a	selected:8fdf508a690beba4a440	libblkid-glibc	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	libblkid.so.1	GENERIC_CANDIDATE	UNRESOLVED	MIXED_RECIPE_EFFECT_UNRESOLVED	NOT_COMPARED	ACCEPTED	artifact:b6692956495dfd59ce70a854	lib/libblkid.so.1.1.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003
object:93de8c4bb245b253dfc35734	selected:4b1c2718defbff49e8bf	libbz2-glibc	93de8c4bb245b253dfc357349a9b81e5ed6fb01ac1c9513e0c36fbf5c5a84167	libbz2.so.1.0	GENERIC_CANDIDATE	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:984f6f80b4cd115d8adf99ae	lib/libbz2.so.1.0.8	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-003
