object_id	coverage_evidence_row_id	package	content_sha256	label	semantic_role_state	termux_android_adaptation_state	adaptation_evidence_ref	candidate_source_comparison_state	exact_supply_artifact_state	supply_artifact_id	artifact_member_relative_path	artifact_to_recipe_binding_state	necessity	final	authority_issue_ids
object:8eb7373d62cd66d8ddeb473a	selected:66ea89491001dc942569	glibc	8eb7373d62cd66d8ddeb473a2704ea06d5d4d4397b3440fca2a9e74929984ac6	ld-linux-aarch64.so.1	WORLD_CORE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/ld-linux-aarch64.so.1	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	WORLD_CURRENT_CONTRACT_OPEN	AUTH-001
object:665384fb6018e1a41ce21e54	selected:451b050248d455f4fecd	glibc	665384fb6018e1a41ce21e542c6e7b4ee67850ec7292ce90329623b25a673834	libc.so.6	WORLD_CORE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/libc.so.6	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	WORLD_CURRENT_CONTRACT_OPEN	AUTH-001
object:95e8df6a84408700b6e3718a	selected:7d0a43944e26da776c60	glibc	95e8df6a84408700b6e3718aa2015843e647872a6f01abc286124b180e936d91	libdl.so.2	WORLD_CORE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/libdl.so.2	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	WORLD_CURRENT_CONTRACT_OPEN	AUTH-001
object:b4875f58f4614f15bf7d23c6	selected:f72e23110fa3d8ff41aa	glibc	b4875f58f4614f15bf7d23c65d23bc3a1f6bd336099362bf9a9a2f73c5dfd48a	libm.so.6	WORLD_CORE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/libm.so.6	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	WORLD_CURRENT_CONTRACT_OPEN	AUTH-001
object:7f1eac5c1856f7531b39bfe2	selected:a9960bbcec973e04dc2f	glibc	7f1eac5c1856f7531b39bfe2a21ecb0b858bf46e9ecc6421b1c5d495c3782b59	libpthread.so.0	WORLD_CORE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/libpthread.so.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	WORLD_CURRENT_CONTRACT_OPEN	AUTH-001
object:7c7925a89670f9042b3cedde	selected:fbea1ad9fa73bc68c85f	glibc	7c7925a89670f9042b3cedded20811a05872e15e447bc66c8823fd274c6b38ff	libresolv.so.2	WORLD_CORE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/libresolv.so.2	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	WORLD_CURRENT_CONTRACT_OPEN	AUTH-001
object:c39329bc8f9fd0a7bd7faa92	selected:c56980366abb0f109634	glibc	c39329bc8f9fd0a7bd7faa9256cf3b8e39ec91ff989662066f243466269cc164	-	DATA_CAPABILITY_GLIBC_COUPLED_LOCALE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/locale/en_US.utf8/LC_ADDRESS	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-001;AUTH-008
object:f062bf818ec7c394208e4b12	selected:0bf683922a203d5e6cbf	glibc	f062bf818ec7c394208e4b12db855fbe3765ca1463b2e0cfe05e434f1c293981	-	DATA_CAPABILITY_GLIBC_COUPLED_LOCALE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/locale/en_US.utf8/LC_COLLATE	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-001;AUTH-008
object:1257597210f43630e7c8a745	selected:d5b550feb81ec3343b69	glibc	1257597210f43630e7c8a745ae95127e96b93a43515ac5163cab459ddc1664b3	-	DATA_CAPABILITY_GLIBC_COUPLED_LOCALE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/locale/en_US.utf8/LC_CTYPE	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-001;AUTH-008
object:2dfac9ea94abf72ba888bcbe	selected:1320eec056bc603c5bb6	glibc	2dfac9ea94abf72ba888bcbe5ba582a99fbca1b7c6a2598e80b1028d12a71ecf	-	DATA_CAPABILITY_GLIBC_COUPLED_LOCALE	PROVEN	GLIBC_ANDROID_PATCH_SET	TERMUX_WORLD_CURRENT_LIFECYCLE_OPEN	ACCEPTED	artifact:59e47a50b77ba9c0c1cc7cd0	lib/locale/en_US.utf8/LC_IDENTIFICATION	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-001;AUTH-008
