object_id	coverage_evidence_row_id	package	content_sha256	label	semantic_role_state	termux_android_adaptation_state	adaptation_evidence_ref	candidate_source_comparison_state	exact_supply_artifact_state	supply_artifact_id	artifact_member_relative_path	artifact_to_recipe_binding_state	necessity	final	authority_issue_ids
object:0f5f2499f00d8d98ed5ba1f8	-	termux-exec-glibc	0f5f2499f00d8d98ed5ba1f8d95e25cbf0248d031809a85a1bd87b46b7cc3b7d	libtermux-exec.so	PLATFORM_OPTIONAL	PROVEN	TERMUX_EXEC_INTERPOSER_PATCH	TERMUX_SPECIFIC_SOURCE_IDENTIFIED	ACCEPTED	artifact:c85fbe79b77c20951ab9dadd	lib/libtermux-exec.so	UNIQUE_CANDIDATE_UNATTESTED	OPTIONAL_OPEN	OPTIONAL_OPEN	AUTH-002
object:7ab88f66a4c53d8841cbfa3a	selected:8a9c16292d5355e28a1f	libx11-glibc	7ab88f66a4c53d8841cbfa3afa29e50eeff70678434c58c7171961b6da78cca5	libX11-xcb.so.1	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:a0c249dd82f5bcf46d61501a	lib/libX11-xcb.so.1.0.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:1d28ce6412b7919e6ad7592d	selected:af022a205bb264f563c7	libx11-glibc	1d28ce6412b7919e6ad7592d327e7ee5fdf72551868657b8d8eecc3f8ac69e04	libX11.so.6	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:a0c249dd82f5bcf46d61501a	lib/libX11.so.6.4.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:1a8bc733979360f2e3327d80	selected:4b6f97ce3153fa0686ed	libxau-glibc	1a8bc733979360f2e3327d805efe64f9306247bacb90cac9efdc0cf1e033bb89	libXau.so.6	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:7f2c0624638feed515899e3a	lib/libXau.so.6.0.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:8039415811aa6c775e594574	selected:def58839d764caaa6426	libxcb-glibc	8039415811aa6c775e59457436b02cd302d7973d9fbd69468fcc4177882614df	libxcb-dri3.so.0	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-dri3.so.0.1.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:1969de5b3ffa90af342e1574	selected:84b003c68194803bf259	libxcb-glibc	1969de5b3ffa90af342e15748c10eed14bd9c40d901ce4ade0275fd16457a981	libxcb-present.so.0	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-present.so.0.0.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:ef12d668682ac99dba386b01	selected:56706cfbedc0feb1aa04	libxcb-glibc	ef12d668682ac99dba386b017fc24609dfa81ad948accf5b3894d91850bf0679	libxcb-randr.so.0	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-randr.so.0.1.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:1a86c1656e55d68baa3b11cb	selected:d7a006bd7255eb7528fa	libxcb-glibc	1a86c1656e55d68baa3b11cb7d704b040f65ccec519d983c21995e94e37379b9	libxcb-render.so.0	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-render.so.0.0.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:e4e455da0829126d0fc2a4c2	selected:1db3e19f8149cb08a78c	libxcb-glibc	e4e455da0829126d0fc2a4c2554bce4d9b122bc26ff2b43ecb0bdec07c8d2c30	libxcb-shm.so.0	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-shm.so.0.0.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:2dc864a8050acf3ab0eb896d	selected:884a97ff626f34467a9e	libxcb-glibc	2dc864a8050acf3ab0eb896dae57a7991fdc4a76f7d583568b931137a0749e22	libxcb-sync.so.1	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-sync.so.1.0.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:db5ce18da1b567a27ecd1a9e	selected:f9a130c166e81e1375e4	libxcb-glibc	db5ce18da1b567a27ecd1a9e0550661dd196318448203bcf29a816d1193e9130	libxcb-xfixes.so.0	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb-xfixes.so.0.0.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
object:b57cfc342b0efd864caa8677	selected:4efe5ad7a1626aef3dac	libxcb-glibc	b57cfc342b0efd864caa86773b33e4af882c3863e99441468a76849cedf0b2e2	libxcb.so.1	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXCB_TERMUX_X11_SOCKET_PATCH	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:5e737e2bb57a0a1919be298b	lib/libxcb.so.1.1.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:0245743bb594ee1ac2c13258	selected:f0e58d3f0ce7cc530cec	libxdmcp-glibc	0245743bb594ee1ac2c1325873d70407c790f890477d8a0fe8323bda8803f705	libXdmcp.so.6	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:b07513746d141bb11ff2c5cd	lib/libXdmcp.so.6.0.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:a93ba9939545c2ea11ebba52	selected:0edf3d0cc1b925601dec	libxext-glibc	a93ba9939545c2ea11ebba52a720abb1e35223b2f3ee2a8a86ab93426ad5845c	libXext.so.6	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:09a989f92535f27343bf9d89	lib/libXext.so.6.4.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:c1b8c73864685b43eeead0ae	selected:f0bbabff87ca0e031855	libxrandr-glibc	c1b8c73864685b43eeead0ae3b3b49207b9b1db537326cb536a53479fd6a808b	libXrandr.so.2	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:2e403fc0d8f319933866f634	lib/libXrandr.so.2.2.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:d05d09c2acfd577d27b7cc02	selected:dff05f9cf975d0574e77	libxrender-glibc	d05d09c2acfd577d27b7cc02f59497841a8c38fec5634cfb8eab0eaa76cc2dce	libXrender.so.1	PLATFORM_OR_GENERIC	GENERIC_TERMUX_BUILD	NO_OBJECT_SPECIFIC_ADAPTATION_RECORDED	NOT_COMPARED	ACCEPTED	artifact:86b181007e83f8055f77b964	lib/libXrender.so.1.3.0	UNIQUE_CANDIDATE_UNATTESTED	BASE_OR_WORLD	PROVISIONAL	AUTH-005
object:5a0652d801ce63a2e33ccb1b	selected:0708bc3a0fd4e2c42619	libxshmfence-glibc	5a0652d801ce63a2e33ccb1ba035a91f3212a89570083239ff6ee66e2effb9cb	libxshmfence.so.1	PLATFORM_CANDIDATE_ADAPTED	PROVEN	LIBXSHMFENCE_TERMUX_SHM_DIR	ADAPTATION_PROVEN_COMPARISON_OPEN	ACCEPTED	artifact:dca9418b1c3bd24b7bb47261	lib/libxshmfence.so.1.0.0	UNIQUE_CANDIDATE_UNATTESTED	CONDITIONAL	PROVISIONAL	AUTH-005
