alias_id	object_id	supply_artifact_id	artifact_alias_relative_path	literal_link_target	alias_class	classification_evidence	dependent_fragment_ids	target_alias_inclusion_state	target_population_state
alias:5429d0ef8f166cdda70cb6e2	object:46ae61c88b9a2f32b13dfe81	artifact:402c5b919f670e9d12438071	lib/libbrotlicommon.so	libbrotlicommon.so.1	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:7466ff14b408b44cb0cf1ecf	object:8faac8e6d945bf1d5f113d98	artifact:402c5b919f670e9d12438071	lib/libbrotlidec.so	libbrotlidec.so.1	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:0bb5475e13939b924f921927	object:54d50134426dc7a92595c944	artifact:b1ae59a6213520b1cc0bf5bc	lib/libcom_err.so	libcom_err.so.2	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:cc18e8dd68a865ada234e957	object:c560ec0574d7ee5b1b773869	artifact:919c2e80a629d674dd450b0a	lib/libatomic.so	libatomic.so.1.2.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:4f6e72d0fadfa36f6bb92ea4	object:4205855cce5501831acbcb88	artifact:919c2e80a629d674dd450b0a	lib/libstdc++.so	libstdc++.so.6.0.34	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	graphics-freedreno-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:a9d558aa3edea23c85cb5fa9	object:7c7925a89670f9042b3cedde	artifact:59e47a50b77ba9c0c1cc7cd0	lib/libresolv.so	libresolv.so.2	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	world-core-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:d73c6ffe4053e481469b2179	object:bd49087ccf47689e2badf203	artifact:13972590dda51ac16fd201be	lib/libgssapi_krb5.so	libgssapi_krb5.so.2.2	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:fc09b44a8159bcfdb15960a4	object:0b323de9cae8be56bb950f6e	artifact:13972590dda51ac16fd201be	lib/libk5crypto.so	libk5crypto.so.3.1	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:2d17053aa6abf877e07a63f2	object:1aa7548de3759b97324cd8c0	artifact:13972590dda51ac16fd201be	lib/libkrb5.so	libkrb5.so.3.3	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:5de2abcae30cdc6744b0b8b6	object:e502dd3c7ee2526e1093dc6f	artifact:13972590dda51ac16fd201be	lib/libkrb5support.so	libkrb5support.so.0.1	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:b7570057414e381b328364ef	object:21d47963d42a5b1c4008c88a	artifact:b6692956495dfd59ce70a854	lib/libblkid.so	libblkid.so.1	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:7fbe6339f2d6497ed39d531a	object:93de8c4bb245b253dfc35734	artifact:984f6f80b4cd115d8adf99ae	lib/libbz2.so	libbz2.so.1.0.8	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:9fd3edf749f26d7f077c82da	object:e86d7a0f2c3be107c901c4c3	artifact:8beffad4a426122b276b1b63	lib/libcap.so	libcap.so.2	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment;printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:b63d2f5217420b4797bf6127	object:9cca00af0761fdaf9e29d1ee	artifact:08efad935d3e88f5f359346b	lib/libdrm.so	libdrm.so.2	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	graphics-freedreno-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:670dce623466418121bc5cba	object:48f8acf398ac16610f175b58	artifact:f911eb4f29a2f1f048562db8	lib/libexpat.so	libexpat.so.1.10.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	base-obsidian-x11-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:032082ebe9bb4ef21558f389	object:79a8128d9967c2a2fdc73416	artifact:19811ab9f293fd711ea5d2d2	lib/libffi.so	libffi.so.8.1.4	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment;printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:f7ac003abf754519adae9225	object:3c819f7e21c052411be1fa98	artifact:949244528741732444a89976	lib/libgmp.so	libgmp.so.10.5.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:9364219ca3aa26def8ce0d58	object:578e986a2ad698ae4063d218	artifact:36a478c9a797900e12907f7a	lib/libidn2.so	libidn2.so.0.4.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:170e26a0fc6e3086dd8e3f25	object:4a793b4fed75b236775f74dd	artifact:4adb3b76dfaf0ab7e4fb12d8	lib/libunistring.so	libunistring.so.5.2.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	printing-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:2ee20f877c9bf50792e2dd0f	object:8a6f8fad77f495d7a0947ae6	artifact:dedc307a6a818b028343e00e	lib/libwayland-client.so	libwayland-client.so.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
alias:692a0da9b27ad71fcfad1861	object:57e7e3396724848d94c04c4a	artifact:dedc307a6a818b028343e00e	lib/libwayland-cursor.so	libwayland-cursor.so.0	LINKER_DEVELOPMENT_ALIAS	unversioned .so package alias	gtk-font-device-compat-provider-fragment	EXCLUDED_RUNTIME_RESEARCH_BUILD_ONLY	BLOCKED
