alias_id	object_id	supply_artifact_id	artifact_alias_relative_path	literal_link_target	alias_class	classification_evidence	dependent_fragment_ids	target_alias_inclusion_state	target_population_state
alias:3f55852b179f068edec4a547	object:46ae61c88b9a2f32b13dfe81	artifact:402c5b919f670e9d12438071	lib/libbrotlicommon.so.1	libbrotlicommon.so.1.1.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:bb955028dd508e1f6264ebd4	object:8faac8e6d945bf1d5f113d98	artifact:402c5b919f670e9d12438071	lib/libbrotlidec.so.1	libbrotlidec.so.1.1.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:7b75fcf829b0a0572b841a8f	object:54d50134426dc7a92595c944	artifact:b1ae59a6213520b1cc0bf5bc	lib/libcom_err.so.2	libcom_err.so.2.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:5f4684b88d92d62e2345f6a6	object:c560ec0574d7ee5b1b773869	artifact:919c2e80a629d674dd450b0a	lib/libatomic.so.1	libatomic.so.1.2.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:197907b8158a90e86d5e41b4	object:4205855cce5501831acbcb88	artifact:919c2e80a629d674dd450b0a	lib/libstdc++.so.6	libstdc++.so.6.0.34	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:e4d92c4d706110b7161d6a8e	object:bd49087ccf47689e2badf203	artifact:13972590dda51ac16fd201be	lib/libgssapi_krb5.so.2	libgssapi_krb5.so.2.2	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:d92afd6b538bcd10eb502e95	object:0b323de9cae8be56bb950f6e	artifact:13972590dda51ac16fd201be	lib/libk5crypto.so.3	libk5crypto.so.3.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:fb7920827f731ee4f9d1db56	object:1aa7548de3759b97324cd8c0	artifact:13972590dda51ac16fd201be	lib/libkrb5.so.3	libkrb5.so.3.3	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:dbf7033f4a38d5dab719364c	object:e502dd3c7ee2526e1093dc6f	artifact:13972590dda51ac16fd201be	lib/libkrb5support.so.0	libkrb5support.so.0.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:3e1b59b5dcb26e3dd9902475	object:21d47963d42a5b1c4008c88a	artifact:b6692956495dfd59ce70a854	lib/libblkid.so.1	libblkid.so.1.1.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:edd30aeec2e22694add85d46	object:93de8c4bb245b253dfc35734	artifact:984f6f80b4cd115d8adf99ae	lib/libbz2.so.1.0	libbz2.so.1.0.8	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:e82e58bcacce9c53c02b2275	object:e86d7a0f2c3be107c901c4c3	artifact:8beffad4a426122b276b1b63	lib/libcap.so.2	libcap.so.2.69	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment;printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:67803c6693bb0a7ea057eda6	object:9cca00af0761fdaf9e29d1ee	artifact:08efad935d3e88f5f359346b	lib/libdrm.so.2	libdrm.so.2.124.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:4e0ea16a1bbaf3aba0ce0fc2	object:48f8acf398ac16610f175b58	artifact:f911eb4f29a2f1f048562db8	lib/libexpat.so.1	libexpat.so.1.10.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	base-obsidian-x11-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:8cccbc93cfaac000684d4867	object:79a8128d9967c2a2fdc73416	artifact:19811ab9f293fd711ea5d2d2	lib/libffi.so.8	libffi.so.8.1.4	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment;printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:35d7312d602d4fa37bae1139	object:3c819f7e21c052411be1fa98	artifact:949244528741732444a89976	lib/libgmp.so.10	libgmp.so.10.5.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:88db3438e9f80e951dce7aac	object:578e986a2ad698ae4063d218	artifact:36a478c9a797900e12907f7a	lib/libidn2.so.0	libidn2.so.0.4.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:cb498b463d539a4da71f6de2	object:4a793b4fed75b236775f74dd	artifact:4adb3b76dfaf0ab7e4fb12d8	lib/libunistring.so.5	libunistring.so.5.2.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	printing-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:6f0e2fbbb1d0925406a65e9e	object:8a6f8fad77f495d7a0947ae6	artifact:dedc307a6a818b028343e00e	lib/libwayland-client.so.0	libwayland-client.so.0.23.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:ae28d93ad9ffe5dd73a2a94a	object:57e7e3396724848d94c04c4a	artifact:dedc307a6a818b028343e00e	lib/libwayland-cursor.so.0	libwayland-cursor.so.0.23.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:b83c85767ba26b91db6211d6	object:eb3060f4c34f9e1f10b249fd	artifact:dedc307a6a818b028343e00e	lib/libwayland-egl.so.1	libwayland-egl.so.1.23.1	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	gtk-font-device-compat-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
alias:4cbf32224aab392c6127cce3	object:7ab88f66a4c53d8841cbfa3a	artifact:a0c249dd82f5bcf46d61501a	lib/libX11-xcb.so.1	libX11-xcb.so.1.0.0	SONAME_RUNTIME_ALIAS	basename equals DT_SONAME	graphics-freedreno-provider-fragment	ELIGIBLE_IF_EXTERNALIZED_OBJECT_LOOKUP_REQUIRES_ALIAS	BLOCKED
