artifact_id	package	version	architecture	priority_tier	repository_metadata_id	repository_filename	artifact_size	artifact_sha256	exact_index_identity_state	artifact_acquisition_state	artifact_retention_state	future_acquisition_state	installed_artifact_equivalence	recipe_lineage_state	candidate_recipe_tree_ids	artifact_to_recipe_binding_state	source_archive_binding_state	target_population_state
artifact:0ce36481955702c0f57cb829	glibc-runner	2.0-3	all	T0_BOOTSTRAP_CONTEXT	repository-metadata:01	pool/stable/g/glibc-runner/glibc-runner_2.0-3_all.deb	3784	0ce36481955702c0f57cb8293bfa2dd8a043e91ae2d6f325c2b53cb6b9268544	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	d03c9dbbae5cde705ed8b3cef45cd16b1b17977f	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:59e47a50b77ba9c0c1cc7cd0	glibc	2.42	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/g/glibc/glibc_2.42_aarch64.deb	9599004	59e47a50b77ba9c0c1cc7cd0dafbb1558528cb544a740858faad0263e8b9b27f	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	cb065e824000e7aa2ecf99c4a146c181287a3226	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:a0c249dd82f5bcf46d61501a	libx11-glibc	1.8.11	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libx11-glibc/libx11-glibc_1.8.11_aarch64.deb	1984312	a0c249dd82f5bcf46d61501a436fcfc2e317869a06913c4b8488c9d3d19dca1a	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	e7ec2c34d030119954edfe3e9d28e68b4da27b0f	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:7f2c0624638feed515899e3a	libxau-glibc	1.0.12	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxau-glibc/libxau-glibc_1.0.12_aarch64.deb	10528	7f2c0624638feed515899e3acbb1ec475ba97c9442b5a276dabaea652d9db62c	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	d6c020d125b60cecb673fc102ed7dbc041ad9fd3	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:5e737e2bb57a0a1919be298b	libxcb-glibc	1.17.0-1	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxcb-glibc/libxcb-glibc_1.17.0-1_aarch64.deb	952208	5e737e2bb57a0a1919be298b5f60c8a6b8f9cc79225f1b90c566bcdba73133a0	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	4cd7d799304e6ea67ef5de174e77991022015129	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:b07513746d141bb11ff2c5cd	libxdmcp-glibc	1.1.5	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxdmcp-glibc/libxdmcp-glibc_1.1.5_aarch64.deb	25556	b07513746d141bb11ff2c5cd496c0131da3ddbdb24bf92d51635d6b3c93ad1fb	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	77b9e105680453fb061b8bc09ac7d05cdc87a0ba	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:09a989f92535f27343bf9d89	libxext-glibc	1.3.6	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxext-glibc/libxext-glibc_1.3.6_aarch64.deb	101604	09a989f92535f27343bf9d8904bf43e7a8a7827f5ef910eed45d112ad5bf0590	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	41641853a3c83b450ee37070ff580997029378f5	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:2e403fc0d8f319933866f634	libxrandr-glibc	1.5.4	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxrandr-glibc/libxrandr-glibc_1.5.4_aarch64.deb	25140	2e403fc0d8f319933866f63478148f436757c801c5162362d3aa6732d7a567b8	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	cafe7be276b3530873afc4fdabbc3eac076cdfeb	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:86b181007e83f8055f77b964	libxrender-glibc	0.9.12	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxrender-glibc/libxrender-glibc_0.9.12_aarch64.deb	26984	86b181007e83f8055f77b964aa77dce2fd48949c04b5d5f1f7be9f8c83cfab52	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	da40bf3242b2b13acdf7eb121fdfd73180fff1f8	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
artifact:dca9418b1c3bd24b7bb47261	libxshmfence-glibc	1.3.3	aarch64	T0_WORLD_PLATFORM	repository-metadata:01	pool/stable/libx/libxshmfence-glibc/libxshmfence-glibc_1.3.3_aarch64.deb	5904	dca9418b1c3bd24b7bb47261eda17a40646c7f4fb903b10c77a9e6c08d38c1c7	PASS_EXACT_PACKAGES_INDEX_SIZE_SHA256_CONTROL	DOWNLOADED_VERIFIED	WORKSPACE_COPY_OBSERVED_NO_CANONICAL_IMMUTABLE_SNAPSHOT_CONTRACT	CURRENT_HOST_PATH_VERIFIED_FUTURE_AVAILABILITY_UNPROVEN	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	RECIPE_VERSION_UNIQUE_TREE_MATCH	aa0134357901f24dbfe1991b2c705c1b719e0908	UNIQUE_VERSION_RECIPE_CANDIDATE_NOT_BUILD_ATTESTED	CURRENT_RECIPE_SOURCE_FIELDS_CAPTURED_INSTALLED_ARTIFACT_BINDING_UNPROVEN	BLOCKED
