row_scope	identity_key	identity_label	fg	review	disposition	canonical_registry_ref	authority_issue_ids	authority
OBJECT:SEMANTIC	selected:0b18b06fa4677d21f2ca	libvulkan_freedreno.so	-	OUTSIDE	EXCLUDED_CPU_BASE_CONDITIONAL	-	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:038ff19f8fcdc358c1af	libVkLayer_MESA_device_select.so	-	OUTSIDE	EXCLUDED_CPU_BASE_CONDITIONAL	-	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:8a9c16292d5355e28a1f	libX11-xcb.so.1.0.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:7ab88f66a4c53d8841cbfa3a	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:3e33aa3d32bd66274006	libstdc++.so.6.0.34	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:4205855cce5501831acbcb88	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:def58839d764caaa6426	libxcb-dri3.so.0.1.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:8039415811aa6c775e594574	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:84b003c68194803bf259	libxcb-present.so.0.0.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:1969de5b3ffa90af342e1574	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:56706cfbedc0feb1aa04	libxcb-randr.so.0.1.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:ef12d668682ac99dba386b01	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:884a97ff626f34467a9e	libxcb-sync.so.1.0.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:2dc864a8050acf3ab0eb896d	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:f9a130c166e81e1375e4	libxcb-xfixes.so.0.0.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:db5ce18da1b567a27ecd1a9e	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:0708bc3a0fd4e2c42619	libxshmfence.so.1.0.0	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:5a0652d801ce63a2e33ccb1b	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:f4ed015674a377a1eb16	libzstd.so.1.5.7	-	PRIORITY	EXCLUDED_CPU_BASE_CONDITIONAL	object:4c03a9a2d4770a862c70dc16	AUTH-005	EXCLUDED_CPU_BASE
OBJECT:SEMANTIC	selected:c51f2e0f8bdd909d5644	kgsl-3d0	-	OUTSIDE	CONDITIONAL_DEVICE_RELATION	-	AUTH-005	REFERENCE_ONLY_NO_TARGET_NODE_POPULATION
