row_scope	identity_key	identity_label	fg	review	disposition	canonical_registry_ref	authority_issue_ids	authority
OBJECT:SEMANTIC	selected:8db9ffea93d86ccefb84	Cookies	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:f9b7861b496cc0504f8b	DIPS	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:65c453343674d44511b2	data_0	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:c0b6e8b1eb8f1209db5e	data_1	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:8a95e0fd854820ac5eef	data_2	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:5cd25b90158318a3cd51	data_3	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:3269eea4900f8ca97b85	index	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:c6677f8e4d94dc0a2a4d	data_0	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:6092b82931c325320379	data_1	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:29ec92df9f6b9192a14a	data_2	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:517b660e041b39e18818	data_3	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:88ad6a1097e1e76d76ec	index	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:93a18531eabe60fb37b9	en-US-10-1.bdic	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:6cfcb234268dfa4c0e19	data_0	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:cc0038e14dcc2d232f5e	data_1	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:e297b2fcdf040633760f	data_2	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:f16d701d87cd3243fcf1	data_3	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:a23403aab882966c415e	index	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:fed889814a150cdbf7cb	QuotaManager	-	OUTSIDE	MUTABLE_APPLICATION_STATE	-	-	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:0f1696a25746a575a17d	93ab9db1f7245cf63b8a184421cb92bc-le64.cache-11	-	OUTSIDE	REGENERATED_MUTABLE_CACHE	-	AUTH-008	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:54ff78b13b51e69f3d47	93ab9db1f7245cf63b8a184421cb92bc-le64.cache-9	-	OUTSIDE	REGENERATED_MUTABLE_CACHE	-	AUTH-008	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:10eecef298f4aada66fd	ec6cd66331fa1dbbce26ec7b88426c07-le64.cache-11	-	OUTSIDE	REGENERATED_MUTABLE_CACHE	-	AUTH-008	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:12d1a366f660655f078c	ec6cd66331fa1dbbce26ec7b88426c07-le64.cache-9	-	OUTSIDE	REGENERATED_MUTABLE_CACHE	-	AUTH-008	EXCLUDED_FROM_IMMUTABLE_CONTENT
OBJECT:SEMANTIC	selected:257b15d6a93d4a29f2a8	index	-	OUTSIDE	REGENERATED_MUTABLE_CACHE	-	AUTH-005	EXCLUDED_FROM_IMMUTABLE_CONTENT
