row_scope	identity_key	identity_label	fg	review	disposition	canonical_registry_ref	authority_issue_ids	authority
OBJECT:SEMANTIC	selected:b18230900edbf9d622da	libfreeblpriv3.so	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:911d8dab068c4de24f35	libnssckbi.so	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:6a6ba4328524e39e3b4b	libsoftokn3.so	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:9e92e4a04c351aabb559	libsqlite3.so.0.8.6	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:9f95a9cc7b1ea3e0cdc6	libgbm.so.1.0.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-005	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:325be465ce7f532f8ff1	libXcomposite.so.1.0.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:e57423d1cb58b1b78ba4	libXcursor.so.1.0.2	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:b0a8934c10bddecfc8ae	libXdamage.so.1.1.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:83bc985c49ec2d778e60	libXfixes.so.3.1.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:b869b82b3c70ee88cb30	libXi.so.6.1.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:26a520f7c61bdc61e17c	libXinerama.so.1.0.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:05c00883459557230afc	libasound.so.2.0.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:292a5f56eeea3bd65c4b	libatk-1.0.so.0.25611.1	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
OBJECT:SEMANTIC	selected:bcc68afe696f548e1b77	libatk-bridge-2.0.so.0.0.0	FG_COPIED_ELF	OUTSIDE	NON_PRIORITY_PROVIDER_AUTHORITY_OPEN	-	AUTH-009	UNREVIEWED_FINAL_PROVIDER
