row_scope	identity_key	identity_label	fg	review	disposition	canonical_registry_ref	authority_issue_ids	authority
OBJECT:SEMANTIC	selected:af022a205bb264f563c7	libX11.so.6.4.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_BASE_PRESSURE	object:1d28ce6412b7919e6ad7592d	AUTH-005	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:4b6f97ce3153fa0686ed	libXau.so.6.0.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_BASE_PRESSURE	object:1a8bc733979360f2e3327d80	AUTH-005	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:f0e58d3f0ce7cc530cec	libXdmcp.so.6.0.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_BASE_PRESSURE	object:0245743bb594ee1ac2c13258	AUTH-005	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:0edf3d0cc1b925601dec	libXext.so.6.4.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_BASE_PRESSURE	object:a93ba9939545c2ea11ebba52	AUTH-005	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:f0bbabff87ca0e031855	libXrandr.so.2.2.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_BASE_PRESSURE	object:c1b8c73864685b43eeead0ae	AUTH-005	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:dff05f9cf975d0574e77	libXrender.so.1.3.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_BASE_PRESSURE	object:d05d09c2acfd577d27b7cc02	AUTH-005	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:4561ee8198805d29e28d	libatomic.so.1.2.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_CONDITIONAL	object:c560ec0574d7ee5b1b773869	AUTH-003	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:8fdf508a690beba4a440	libblkid.so.1.1.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_CONDITIONAL	object:21d47963d42a5b1c4008c88a	AUTH-003	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:c7119883ae6fa812e032	libbrotlicommon.so.1.1.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_CONDITIONAL	object:46ae61c88b9a2f32b13dfe81	AUTH-003	FINAL_PROVIDER_OPEN
OBJECT:SEMANTIC	selected:bff711efae3acc3ae92b	libbrotlidec.so.1.1.0	FG_COPIED_ELF	PRIORITY	BOUNDED_PRIORITY_PROVIDER_OBJECT_CONDITIONAL	object:8faac8e6d945bf1d5f113d98	AUTH-003	FINAL_PROVIDER_OPEN
