key	value
schema_version	1
review_state	ACQUISITION_REVIEWED_PARTIAL_NEXT_SOURCE_BUILD_DEFINED
result_archive_sha256	e96fb0e2d8fa1c16a228e41d60801abac0b8a43584a86b7e63f8adddfc4f5692
repository_head	206153638a8d19b656bdc92afbc12ed707b1cb48
repository_tree	e86ca4dbeaa3ece53b103f48dcd47238ce905233
source_repository_head	fd2ae25e04f3ea26d6c7b4678020814889331d86
pinned_packages_index_state	NOT_FOUND_CURRENT_INDEXES_PARSED
glib_artifact_sha256	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6
libpng_artifact_sha256	b2835404d3b0f54b75eb464a58ad5eb46f2d64d4fe1167a7984031f0e990b33f
exact_candidate_identity_count	5
expected_identity_count	6
gdkpixbuf_package_state	NOT_FOUND_IN_PINNED_SOURCE_OR_CURRENT_TERMUX_INDEXES
protected_state_reported_rc	1
protected_state_disposition	FALSE_POSITIVE_NESTED_GIT_METADATA_MTIME
tracked_repository_mutation	NO
live_glibc_mutation	NO
home_gl_mutation	NO
next_task	PRODUCE_GDKPIXBUF_2_42_12_PROVIDER_CANDIDATE
target_manifest_allowed	NO
authority_effect	CANDIDATE_IDENTITIES_ONLY_NO_PROVIDER_COMPOSITION_TARGET_OR_ACTIVATION
