artifact_id	repository_metadata_id	package	version	architecture	repository_filename	artifact_size	artifact_sha256	packages_index_sha256	artifact_class	comparison_scope_state	download_state	member_inventory_state	authority_state	target_population_state
generic-artifact:5e9c487411c76170da4f	repository-metadata:01	alsa-lib-glibc	1.2.13	aarch64	pool/stable/a/alsa-lib-glibc/alsa-lib-glibc_1.2.13_aarch64.deb	511200	5e9c487411c76170da4fd67253625398d4de00462a477d00cea73e287a8ed23d	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:a1ee6a6519c54ebfcd61	repository-metadata:01	dbus-glibc	1.15.6-2	aarch64	pool/stable/d/dbus-glibc/dbus-glibc_1.15.6-2_aarch64.deb	1568152	a1ee6a6519c54ebfcd6157c89481265d5aafe2d7ddb25bd9df0d3308c3a9bda1	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:c6bc4c9801ee7a45b506	repository-metadata:01	fontconfig-glibc	2.15.0-1	aarch64	pool/stable/f/fontconfig-glibc/fontconfig-glibc_2.15.0-1_aarch64.deb	278740	c6bc4c9801ee7a45b506d3cc501f1c73a2fe6f1d4b5690eddede158f2b78aafb	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:8e1d9d34f13c6c95aba5	repository-metadata:01	freetype-glibc	2.13.3	aarch64	pool/stable/f/freetype-glibc/freetype-glibc_2.13.3_aarch64.deb	447360	8e1d9d34f13c6c95aba5e9a5f636facc94e0ca7c073f68cf605858a499a54e7b	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:9e99711a88e10441c0ee	repository-metadata:01	fribidi-glibc	1.0.16	aarch64	pool/stable/f/fribidi-glibc/fribidi-glibc_1.0.16_aarch64.deb	68532	9e99711a88e10441c0eee7af77c64b9ee1a6c93484b0e16ac381ed242057219f	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:d91fe1202c51f7e59b12	repository-metadata:01	glib-glibc	2.82.2-2	aarch64	pool/stable/g/glib-glibc/glib-glibc_2.82.2-2_aarch64.deb	9097100	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:d11c9b4fa85e6a3927dd	repository-metadata:01	gnutls-glibc	3.8.9	aarch64	pool/stable/g/gnutls-glibc/gnutls-glibc_3.8.9_aarch64.deb	249860	d11c9b4fa85e6a3927dd9df18685589caa3586bc0e8586d47e530003ad400973	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:d0e4a83180560341dc02	repository-metadata:01	harfbuzz-glibc	10.1.0	aarch64	pool/stable/h/harfbuzz-glibc/harfbuzz-glibc_10.1.0_aarch64.deb	1026848	d0e4a83180560341dc02fccd3b2df1892338a84c4cecfa4c7f6bc1c2566eacfc	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:3250dba4dc3312b4fcaa	repository-metadata:01	libcairo-glibc	1.18.2	aarch64	pool/stable/libc/libcairo-glibc/libcairo-glibc_1.18.2_aarch64.deb	579172	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
generic-artifact:62b4d4f5263a7750f56e	repository-metadata:01	libcloudproviders-glibc	0.3.6	aarch64	pool/stable/libc/libcloudproviders-glibc/libcloudproviders-glibc_0.3.6_aarch64.deb	39412	62b4d4f5263a7750f56e4655fdf91011ec5dc2e137f4e73a08506ddbaa64c1ae	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a	DYNAMIC_OR_SPLIT_RUNTIME_CANDIDATE	NAMED_DOWNLOAD_ONLY_MEMBER_INVENTORY_SCOPE	NOT_DOWNLOADED_CONTRACT_ONLY	OPEN	UNRESOLVED	BLOCKED
