field	value
source_evidence_apt_candidates_sha256	328b5df70eba851036ba8069d0bace69d5a0d29f1e433b0a9a8d2a6bb3f942f6
reviewed_receipt_sha256	cc160e340e78491a6b6e1659ff8e4a52636da99dcc382a16498d67c6c2b95e11
repository_metadata_registry_sha256	e93aa88ee92143815909477e84093af11577134671708dba7be1ff7a719ca107
repository_metadata_id	repository-metadata:01
repository_base_uri	https://packages-cf.termux.dev/apt/termux-glibc/
packages_index_sha256	565df3058a51a200fd83e851cce2d99a2faa2277142c50adc20f071d6c7b4a3a
direct_identity_rows	37
download_scope_artifacts	34
download_scope_edges	44
download_scope_compressed_bytes	51771348
excluded_static_or_dev_artifacts	15
artifact_set_sha256	3327f4e16d1a3ae3c165b80cd9a3b03bba4e5a30122d018de546201f042374fe
edge_set_sha256	7ee2ab04ac81915f45e2cdd61be4d0f93f3b293f1ae058eef78535cbea2d37eb
exclusion_set_sha256	167d4a42b220b7c8777d26b4f613322e4a3a51054f015bdcc19dc35575635f6c
network_download_performed	NO
deb_extraction_performed	NO
authority_decisions_accepted	0
target_rows_populated	0
next_state	IMPLEMENT_BOUNDED_GENERIC_ARTIFACT_MEMBER_INVENTORY_COLLECTOR
