field	value
source_result_archive	termux-native-desktop-generic-artifact-member-inventory-recovery-result-20260713T054649Z.tar.zst
source_result_archive_sha256	e42db95f816700d1cf80cae7b747e876f831924c5f3df7f416c22243b0e83274
source_repository_head	69f6fb137cc43e42135dbc655a8e172e5a0ac7d4
source_repository_tree	4ae2bf1359eb8b5673686d53f7c17e7e92a0d38f
named_member_observations_sha256	0bddbf6516ac7c1a23b9cbdc36972479920fa70ca65ff659036b0cfa49e3465f
artifact_data_member_inventory_sha256	996d1a282d75a3a578760c789fe0a8c14844e14035ec0778a1620c9018438a96
downloaded_artifacts_sha256	8eb7d8cd7fea08e7f8576b8df397153c8f5649022b0a1be10d0345c6c956df9c
input_verification_sha256	039458addb6895266110e1cf76903e4221da16168f3bb7961bdd5f6a6eae9484
collector_summary_sha256	43365a2d83eab6c1936a9e4a7ad18df14654967919fd272694ae4ab11154c9d4
review_rules_sha256	02d9b1e27da84a4a693baa74d1b960dc9e001e79fd279f7a09028a08be6f73a7
review_receipt_sha256	3f95333462601648d267e080ee0bb6db59ac42bf96dacfdea293f9f5a8c4db03
review_identity_rows	37
exact_concrete_member_and_expected_soname_observed	21
expected_soname_alias_symlink_present_concrete_filename_drift	15
expected_soname_alias_not_observed	1
authority_decisions_accepted	0
target_rows_populated	0
next_state	DEFINE_BOUNDED_GENERIC_RECIPE_BINDING_AND_DRIFT_TARGET_ELF_REVIEW
