evidence_row_id	capability_partition	identity_label	expected_soname_alias	candidate_artifact_ids	candidate_packages	exact_artifact_id	exact_member_path	exact_member_sha256	exact_observed_elf_soname	alias_artifact_id	alias_member_path	alias_link_target	alias_target_member_path	family_observed_basenames	review_state	object_member_evidence_state	artifact_to_recipe_binding_state	termux_android_adaptation_state	final_provider_state	target_population_state
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	libVkLayer_MESA_device_select.so	generic-artifact:5f4640c28a8217a9319a;generic-artifact:f45523463ae7a6b19c5c;generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc;mesa-vulkan-icd-freedreno-glibc;mesa-vulkan-icd-swrast-glibc	generic-artifact:fc88e9a3b2ca583b6398	data/data/com.termux/files/usr/glibc/lib/libVkLayer_MESA_device_select.so	e8a46300a502cc16c47f18022813f7d055fe8ce2fee7de80c22fcbc112d6817a	libVkLayer_MESA_device_select.so	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:05c00883459557230afc	audio	libasound.so.2.0.0	libasound.so.2	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	generic-artifact:5e9c487411c76170da4f	data/data/com.termux/files/usr/glibc/lib/libasound.so.2.0.0	cf7f12113479ef4f59f1780c3645041730b8882acfcc1f46953c97388f81ebc6	libasound.so.2	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	libepoxy.so.0	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	generic-artifact:e53dc3b7f5419f13eb09	data/data/com.termux/files/usr/glibc/lib/libepoxy.so.0.0.0	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	libepoxy.so.0	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	libvulkan_freedreno.so	generic-artifact:f45523463ae7a6b19c5c	mesa-vulkan-icd-freedreno-glibc	generic-artifact:f45523463ae7a6b19c5c	data/data/com.termux/files/usr/glibc/lib/libvulkan_freedreno.so	98940908fad4896751fd3fefee9f90877cae11a074c4ed4d4e9e14d36f1f7e30	libvulkan_freedreno.so	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	libxkbcommon.so.0	generic-artifact:e58eca6f9c0e0d068d80	libxkbcommon-glibc	-	-	-	-	generic-artifact:e58eca6f9c0e0d068d80	./data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0	libxkbcommon.so.0.8.0	./data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0.8.0	libxkbcommon.so;libxkbcommon.so.0;libxkbcommon.so.0.8.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	libgobject-2.0.so.0	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	-	-	-	-	generic-artifact:d91fe1202c51f7e59b12	./data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0	libgobject-2.0.so.0.8200.2	./data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	libgobject-2.0.so;libgobject-2.0.so.0;libgobject-2.0.so.0.8200.2;libgobject-2.0.so.0.8200.2-gdb.py	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	libpango-1.0.so.0	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	-	-	-	-	generic-artifact:7fdbef58f2a4fff712db	./data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0	libpango-1.0.so.0.5400.0	./data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	libpango-1.0.so;libpango-1.0.so.0;libpango-1.0.so.0.5400.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	libnettle.so.8	generic-artifact:8583729139206b5b11da;generic-artifact:ca80686373a3bf340b2a	libnettle-glibc;nettle-glibc	generic-artifact:8583729139206b5b11da	data/data/com.termux/files/usr/glibc/lib/libnettle.so.8.10	837665a62a1490edf39c239b399f8ab35a0f051fbf591a78b39e6eb3d8d509ef	libnettle.so.8	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	libXinerama.so.1	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	generic-artifact:e849c9e0a6ea5f42d9cf	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	libXinerama.so.1	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	libXcomposite.so.1	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	generic-artifact:6dc0ea80780ab017ce1e	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	libXcomposite.so.1	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:33fe337448a19e2c6f2f	gtk-gui	libfontconfig.so.1.12.1	libfontconfig.so.1	generic-artifact:c6bc4c9801ee7a45b506	fontconfig-glibc	-	-	-	-	generic-artifact:c6bc4c9801ee7a45b506	./data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1	libfontconfig.so.1.14.0	./data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1.14.0	libfontconfig.so;libfontconfig.so.1;libfontconfig.so.1.14.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:4a768de6fd1891617456	gtk-gui	libpng16.so.16.48.0	libpng16.so.16	generic-artifact:b2835404d3b0f54b75eb	libpng-glibc	-	-	-	-	generic-artifact:b2835404d3b0f54b75eb	./data/data/com.termux/files/usr/glibc/lib/libpng16.so.16	libpng16.so.16.47.0	./data/data/com.termux/files/usr/glibc/lib/libpng16.so.16.47.0	libpng16.so;libpng16.so.16;libpng16.so.16.47.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:5112da4dd8080fe0687f	printing	libdbus-1.so.3.38.3	libdbus-1.so.3	generic-artifact:a1ee6a6519c54ebfcd61	dbus-glibc	-	-	-	-	generic-artifact:a1ee6a6519c54ebfcd61	./data/data/com.termux/files/usr/glibc/lib/libdbus-1.so.3	libdbus-1.so.3.37.0	./data/data/com.termux/files/usr/glibc/lib/libdbus-1.so.3.37.0	libdbus-1.so;libdbus-1.so.3;libdbus-1.so.3.37.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:553839925ebeb658612d	gtk-gui	libcairo.so.2.11804.4	libcairo.so.2	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	-	-	-	-	generic-artifact:3250dba4dc3312b4fcaa	./data/data/com.termux/files/usr/glibc/lib/libcairo.so.2	libcairo.so.2.11802.2	./data/data/com.termux/files/usr/glibc/lib/libcairo.so.2.11802.2	libcairo.so;libcairo.so.2;libcairo.so.2.11802.2	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:5909031aa9e67d50214b	gtk-gui	libdatrie.so.1.4.0	libdatrie.so.1	generic-artifact:d553cf0a49e324e2595d	libdatrie-glibc	generic-artifact:d553cf0a49e324e2595d	data/data/com.termux/files/usr/glibc/lib/libdatrie.so.1.4.0	8052746b4003c367e811dc26686373455f687e11bf95cbbe8772a2069b86e7dd	libdatrie.so.1	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:5d210dfa49b6cf4c1077	gtk-gui	libfribidi.so.0.4.0	libfribidi.so.0	generic-artifact:9e99711a88e10441c0ee	fribidi-glibc	generic-artifact:9e99711a88e10441c0ee	data/data/com.termux/files/usr/glibc/lib/libfribidi.so.0.4.0	71668fd02e89fa7546446bb7961bb618f6d22e1506f7444bbea6788befbb7895	libfribidi.so.0	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6052b6396205eed6dbb6	gtk-gui	libgio-2.0.so.0.8400.4	libgio-2.0.so.0	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	-	-	-	-	generic-artifact:d91fe1202c51f7e59b12	./data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0	libgio-2.0.so.0.8200.2	./data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0.8200.2	libgio-2.0.so;libgio-2.0.so.0;libgio-2.0.so.0.8200.2	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:654806f659f7b97ba9d1	gtk-gui	libfreetype.so.6.20.2	libfreetype.so.6	generic-artifact:8e1d9d34f13c6c95aba5	freetype-glibc	generic-artifact:8e1d9d34f13c6c95aba5	data/data/com.termux/files/usr/glibc/lib/libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	libfreetype.so.6	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6d981b8963608a8e0e6b	printing	libhogweed.so.6.10	libhogweed.so.6	generic-artifact:8583729139206b5b11da;generic-artifact:ca80686373a3bf340b2a	libnettle-glibc;nettle-glibc	generic-artifact:8583729139206b5b11da	data/data/com.termux/files/usr/glibc/lib/libhogweed.so.6.10	d2348defa0c9c0c320b6a3825c49f75d5d942895990cd86b5d276c628309d917	libhogweed.so.6	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:6e7f73b2a1ff4758f39a	gtk-gui	libgmodule-2.0.so.0.8400.4	libgmodule-2.0.so.0	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	-	-	-	-	generic-artifact:d91fe1202c51f7e59b12	./data/data/com.termux/files/usr/glibc/lib/libgmodule-2.0.so.0	libgmodule-2.0.so.0.8200.2	./data/data/com.termux/files/usr/glibc/lib/libgmodule-2.0.so.0.8200.2	libgmodule-2.0.so;libgmodule-2.0.so.0;libgmodule-2.0.so.0.8200.2	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:83bc985c49ec2d778e60	gtk-gui	libXfixes.so.3.1.0	libXfixes.so.3	generic-artifact:23fe7f6003d9607db6af	libxfixes-glibc	generic-artifact:23fe7f6003d9607db6af	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	libXfixes.so.3	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:8415133f42365efb9394	printing	libgnutls.so.30.40.3	libgnutls.so.30	generic-artifact:d11c9b4fa85e6a3927dd;generic-artifact:e072748f2ddba21f0193	gnutls-glibc;libgnutls-glibc	generic-artifact:e072748f2ddba21f0193	data/data/com.termux/files/usr/glibc/lib/libgnutls.so.30.40.3	53fb8f500bbc0c3e900fc26701ef58641ad018993682dba3fff76525e7923244	libgnutls.so.30	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9c9dbf2702e796a10c69	printing	libtasn1.so.6.6.4	libtasn1.so.6	generic-artifact:51ed5e4d2e3fcd5ed966	libtasn1-glibc	generic-artifact:51ed5e4d2e3fcd5ed966	data/data/com.termux/files/usr/glibc/lib/libtasn1.so.6.6.4	a66b335b8311c8006067a4b1df490a3ed4fbd68e9d9dd71eedc79e3c46838c0f	libtasn1.so.6	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	libsqlite3.so.0	generic-artifact:cfa4595cd0bfd7dc6bb5;generic-artifact:d377605da9efe94727a1	libsqlite-glibc;sqlite-glibc	-	-	-	-	generic-artifact:d377605da9efe94727a1	./data/data/com.termux/files/usr/glibc/lib/libsqlite3.so.0	libsqlite3.so.3.49.1	./data/data/com.termux/files/usr/glibc/lib/libsqlite3.so.3.49.1	libsqlite3.so;libsqlite3.so.0;libsqlite3.so.3.49.1	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	EXPECTED_SONAME_ALIAS_PRESENT_TARGET_ELF_NOT_REVIEWED	OPEN	OPEN	UNRESOLVED	BLOCKED
selected:9f95a9cc7b1ea3e0cdc6	graphics	libgbm.so.1.0.0	libgbm.so.1	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	generic-artifact:fc88e9a3b2ca583b6398	data/data/com.termux/files/usr/glibc/lib/libgbm.so.1.0.0	edf92bc03c229f21ebd6f7eb6dfe048be1da45f27c4ab8acbbea081fb1a96eeb	libgbm.so.1	-	-	-	-	-	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	EXACT_MEMBER_AND_SONAME_OBSERVED_CANDIDATE_ONLY	OPEN	OPEN	UNRESOLVED	BLOCKED
