evidence_row_id	capability_partition	identity_label	expected_soname_alias	family_member_prefix	review_policy	authority_state
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	libVkLayer_MESA_device_select.so	libVkLayer_MESA_device_select.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:05c00883459557230afc	audio	libasound.so.2.0.0	libasound.so.2	libasound.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	libepoxy.so.0	libepoxy.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	libvulkan_freedreno.so	libvulkan_freedreno.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	libxkbcommon.so.0	libxkbcommon.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	libgobject-2.0.so.0	libgobject-2.0.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	libpango-1.0.so.0	libpango-1.0.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	libnettle.so.8	libnettle.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	libXinerama.so.1	libXinerama.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	libXcomposite.so.1	libXcomposite.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:33fe337448a19e2c6f2f	gtk-gui	libfontconfig.so.1.12.1	libfontconfig.so.1	libfontconfig.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:4a768de6fd1891617456	gtk-gui	libpng16.so.16.48.0	libpng16.so.16	libpng16.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5112da4dd8080fe0687f	printing	libdbus-1.so.3.38.3	libdbus-1.so.3	libdbus-1.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:553839925ebeb658612d	gtk-gui	libcairo.so.2.11804.4	libcairo.so.2	libcairo.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5909031aa9e67d50214b	gtk-gui	libdatrie.so.1.4.0	libdatrie.so.1	libdatrie.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5d210dfa49b6cf4c1077	gtk-gui	libfribidi.so.0.4.0	libfribidi.so.0	libfribidi.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6052b6396205eed6dbb6	gtk-gui	libgio-2.0.so.0.8400.4	libgio-2.0.so.0	libgio-2.0.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:654806f659f7b97ba9d1	gtk-gui	libfreetype.so.6.20.2	libfreetype.so.6	libfreetype.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6d981b8963608a8e0e6b	printing	libhogweed.so.6.10	libhogweed.so.6	libhogweed.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6e7f73b2a1ff4758f39a	gtk-gui	libgmodule-2.0.so.0.8400.4	libgmodule-2.0.so.0	libgmodule-2.0.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:83bc985c49ec2d778e60	gtk-gui	libXfixes.so.3.1.0	libXfixes.so.3	libXfixes.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:8415133f42365efb9394	printing	libgnutls.so.30.40.3	libgnutls.so.30	libgnutls.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:9c9dbf2702e796a10c69	printing	libtasn1.so.6.6.4	libtasn1.so.6	libtasn1.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	libsqlite3.so.0	libsqlite3.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:9f95a9cc7b1ea3e0cdc6	graphics	libgbm.so.1.0.0	libgbm.so.1	libgbm.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:a7e42baafca8ed4717e3	gtk-gui	libjpeg.so.62.3.0	libjpeg.so.62	libjpeg.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b869b82b3c70ee88cb30	gtk-gui	libXi.so.6.1.0	libXi.so.6	libXi.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b912b41387c558b52895	gtk-gui	libcloudproviders.so.0.3.6	libcloudproviders.so.0	libcloudproviders.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:beb2bb532f0a84c2835f	gtk-gui	libpangoft2-1.0.so.0.5600.3	libpangoft2-1.0.so.0	libpangoft2-1.0.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:c41cd8cc82847fba1410	gtk-gui	libharfbuzz.so.0.61020.0	libharfbuzz.so.0	libharfbuzz.so	EXACT_OR_ALIAS_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
