field	value
source_receipt_archive	termux-native-desktop-build-attestation-adaptation-evidence-collector-result-20260713T163504Z.tar.zst
source_receipt_sha256	34e5fa934f05b4eb035925adfcb22a646983a53bbae9fa39897a0d61dd69d169
source_repository_branch	docs/post-graphics-architecture-audit
source_repository_head	540976e7bb8bc49e2d2ab732f8c2f75a90c3b63a
source_repository_tree	bd042154b7eadd0655d52477677129fa54bfdbd1
requirements_sha256	bd906bbb1dc8cb5a4d886c169284bd63c32c016b3989f534f17273d4df26cd8e
root_review_set_sha256	4e9d1e9ca6f3b549c6d6363d0172201557210cc25c974d79823c22e9fb4792ff
object_review_set_sha256	3a9a32f64055349b14e88f1824429a5c67d71f1cfec3eda83dbf785de7265026
review_rules_sha256	63a5e2d4ea6a8c5a0c45e90674ad9984d572046b73c2f50f95d1c1f9e98aac05
requirement_receipt_sha256	37b436a27251cae13873e0f8ce6b70350eb2975ffc8a5e18f0aa19ad917ac76d
root_observations_sha256	eb7cfd8bcb6eb7801b927d9563c1269a77629bb7d03aa25149d6433d7ced7c06
artifact_member_output_sha256	f0fc0aef4369cb9e7b4ed39e52e76d38760b4c0de814ace283e8b4383f02f9ac
external_gaps_sha256	21927f5d0658257de8ab1ad6a817e1f38e09af7279f6b2a95d195959b765ead6
requirement_review_sha256	338a99173cba976da922c1d6ce1bcf6015523ad6d82f35b5fa70ef0b4391a064
root_review_sha256	d72f7b4dfc38565f643ae6342d6f293ff42df36c4e8b7766355959aac3806ed6
object_review_sha256	c82cb3bf8257fb1cf1ac32898305f7b124303e4604e3dfee2ef024caed0105e6
requirement_rows	16
local_evidence_requirement_rows	6
gap_requirement_rows	10
root_review_rows	28
object_review_rows	37
exact_output_rows	21
drift_output_rows	15
blocked_object_rows	1
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
next_state	DEFINE_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_CLOSURE_SET
