field	value
source_receipt_archive	termux-native-desktop-gap-closure-collector-result-20260713T234326Z.tar.zst
source_receipt_sha256	35560345126fcc7a50b61beece5a04d44f85af4ad12a610bfba1df670c37196d
source_branch	docs/post-graphics-architecture-audit
source_head	ac0ed827321bc3e42c8c81b533ad024cd7b1ed69
source_tree	b86d78c327f6fad99578f29120e8c08156b0a359
closure_lanes	6
requirements	16
root_work_units	28
object_work_units	37
candidate_evidence_files	0
candidate_requirements	0
local_foundation_only_requirements	6
explicit_gap_no_candidate_requirements	10
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
object_corrections_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
rules_sha256	9efd40b9e5fb60a1345522c76026cb4063c81aa70ad74b6aedb2899dd108bdef
requirement_review_sha256	4ff45a9c269d13e593d0ee69f1048d2991f89ecee3a69397de3d6ae6b3a43cf8
lane_review_sha256	b81edb67df92e01543249abe7a28e08b0a15fdcf88e002689315daa3239589ea
root_review_sha256	cbfa058187d7d1272dee69b8ef0e45b170d91b0e384dad0f0285a97271463c30
object_review_sha256	eabccb3cc0c375bca9725fb4b8a6b5b63fc4c60556f2deee2bddc368dba35648
next_state	DEFINE_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_ACQUISITION_SET
