field	value
requirements_sha256	bd906bbb1dc8cb5a4d886c169284bd63c32c016b3989f534f17273d4df26cd8e
root_review_set_sha256	4e9d1e9ca6f3b549c6d6363d0172201557210cc25c974d79823c22e9fb4792ff
object_review_set_sha256	3a9a32f64055349b14e88f1824429a5c67d71f1cfec3eda83dbf785de7265026
requirement_receipt_review_sha256	338a99173cba976da922c1d6ce1bcf6015523ad6d82f35b5fa70ef0b4391a064
root_receipt_review_sha256	d72f7b4dfc38565f643ae6342d6f293ff42df36c4e8b7766355959aac3806ed6
object_receipt_review_sha256	c82cb3bf8257fb1cf1ac32898305f7b124303e4604e3dfee2ef024caed0105e6
source_metadata_sha256	64c35fe65962ea9232d09e612f12e7d8bc48d7d369ff24616084ab4421f0935c
closure_lanes_sha256	b6683d11ce96795cb4fa0da177adfe0cd7eb39206aead1ec55df3cf7b4800cc1
closure_requirements_sha256	fb99ed7fe42e789c5d5256363a7155814954867bfc86de4184b58b76c592ecbf
root_closure_set_sha256	315004ccbea3f7ae737a7d9ccc8e49510e416d305fe2670ea75c0f4cbdbd8580
object_closure_set_sha256	c7d004ad131244b1b9d29cd64b42f2b57f0af8f8219f2e8191fcf76471305bf3
closure_lane_rows	6
requirement_rows	16
direct_gap_requirement_rows	10
local_foundation_completion_rows	6
root_work_units	28
object_work_units	37
exact_object_work_units	21
drift_object_work_units	15
blocked_object_work_units	1
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
next_state	IMPLEMENT_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_CLOSURE_COLLECTOR
