field	value
source_receipt_review_head	ac0ed827321bc3e42c8c81b533ad024cd7b1ed69
source_receipt_review_tree	b86d78c327f6fad99578f29120e8c08156b0a359
closure_lane_rows	6
requirement_rows	16
direct_gap_requirement_rows	10
local_foundation_completion_rows	6
source_contract_rows	10
root_acquisition_rows	28
object_acquisition_rows	37
root_requirement_edges	303
object_requirement_edges	414
primary_source_kind_counts	AUTHORITATIVE_REFERENCE=1;CONSUMER_REFERENCE=2;CONTINUITY_POLICY=4;IMMUTABLE_BUILD_RECORD=2;INDEPENDENT_REPRODUCTION=1;OUTPUT_MANIFEST=1;PINNED_UPSTREAM_BASELINE=1;SEMANTIC_REVIEW=4
candidate_evidence_files_acquired	0
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
object_corrections_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
sha256:generic-build-attestation-adaptation-gap-evidence-source-contracts.tsv	97cf1d4c06f32119e14cb026532e8a107c52ba7238c09cceab894701fb967f04
sha256:generic-build-attestation-adaptation-gap-evidence-acquisition-lanes.tsv	bde6e8b421e4f5e669896acfc91bbe1246a6b3e0951ce842b4e1c4752e28c88b
sha256:generic-build-attestation-adaptation-gap-evidence-acquisition-requirements.tsv	900dc80c0785185b83b2fd4a1cc9428a08e8cc1afd459eb6412871a1aaf6e025
sha256:generic-build-attestation-adaptation-root-gap-evidence-acquisition-set.tsv	ff6fb1dd71d7fdb1cc3566817face077d80ff96270a5f6c270da5402f4ec2e24
sha256:generic-build-attestation-adaptation-object-gap-evidence-acquisition-set.tsv	c8ed9478efb239f352a77564aec42226a7ec616715bc090d607e3e74c68b098e
source_lanes_sha256	b6683d11ce96795cb4fa0da177adfe0cd7eb39206aead1ec55df3cf7b4800cc1
source_requirements_sha256	fb99ed7fe42e789c5d5256363a7155814954867bfc86de4184b58b76c592ecbf
source_requirement_review_sha256	4ff45a9c269d13e593d0ee69f1048d2991f89ecee3a69397de3d6ae6b3a43cf8
source_lane_review_sha256	b81edb67df92e01543249abe7a28e08b0a15fdcf88e002689315daa3239589ea
source_root_review_sha256	cbfa058187d7d1272dee69b8ef0e45b170d91b0e384dad0f0285a97271463c30
source_object_review_sha256	eabccb3cc0c375bca9725fb4b8a6b5b63fc4c60556f2deee2bddc368dba35648
source_metadata_sha256	3b2c4a5afc5494ce562ba63daf01134be265c3e9dcc5077df64c77d31fc29877
next_state	IMPLEMENT_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_ACQUIRER
