field	value
source_head	8bcbf79d1e79b6fdcbe4c4440ccee144372853e7
source_tree	297775f099d7b8b21a3b2e356e8f999360acee2d
source_archive_sha256	91698e4737ab101e4798cfc555c31f0eaa9d885c07c606111a1227e61a1db6bc
root_request_rows	28
supply_batch_rows	6
locator_root_rows_reviewed	28
complete_custodian_exports	0
partial_custodian_exports	0
absent_custodian_exports	28
record_files_reviewed	0
github_locator_surfaces_reviewed	3
build_attestations_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
rules_sha256	a011dc293432caa51c48d1905019ba35edc147192c6d322db8049e418af26bb7
source_inventory_sha256	9fbb75590b80fba8ed05fb9d44679e77cee6077fc0f105632dd640e3b5d552ee
source_root_locator_sha256	6a1ebf861761b947f06724c25030763a66cb5f57b05074b1255da3013ac78f94
source_custodian_surface_sha256	dcaeb11ed64be1d1a3ebdb51fbbd672e1373fff570bb6275b28ad05fbc056ab5
source_summary_sha256	ef170513e2312f642720f335ad41d33ff8f8c5e23cf1d3511886ff1c84d4bc21
receipt_review_sha256	d93d017a821e64a39c218e06ba1b9ae0a3b8b4c990cc0273abd8407f27459c96
root_review_sha256	cc22d0fb6fffb95e4b6b1cb726bf5734baa8f9786eecf072faceada62187dbb4
surface_review_sha256	eab20b051df1702b4934cf45ade0240564cc6ca5cc956f24f024a5d05ffff0fd
next_state	DEFINE_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
