acquisition_unit_id	root_review_id	recipe_root	recipe_tree	locator_receipt_state	build_invocation_state	build_environment_state	build_output_linkage_state	receipt_review_decision	build_attestation_state	final_provider_state	target_population_state	next_action
generic-root-acquisition:ecae061e1cab89766d12	generic-root-review:0263d4b55d6a43edad7b	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:4aa34a8335180e0f2556	generic-root-review:0dacddae106c6bd1006b	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:7078b9ee8e60636b38c7	generic-root-review:146b55949f1c16bde2a2	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:25f2deb2aec04d17b8ab	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:63ab31bc56156d262034	generic-root-review:2f6c3972ae083cff8dd2	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:889e40698d89cf6badc2	generic-root-review:3d9be682f93850cf8f44	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:4d95eb08047ec75633bf	generic-root-review:4a78f00ce210555e73bc	gpkg/p11-kit	ad0661176a924458c36e3d6243aa83a52fe0fd55	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:d0f2d37c88dc2f39be01	generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:43a4c8a6dfe981d38191	generic-root-review:54ab99c9280e70c43600	gpkg/libxcursor	bb2495e04b246f60203d48720225ef13fa8a25bf	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
generic-root-acquisition:a2a24f630531a05086db	generic-root-review:59aa2f063b98cf767441	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	CONFIRMED_NO_EXISTING_CUSTODIAN_EXPORT	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	OPEN_CUSTODIAN_EXPORT_REQUIRED	ACCEPT_ABSENCE_AS_GAP_EVIDENCE_ONLY	OPEN_NO_ACCEPTANCE	UNRESOLVED	UNPOPULATED	INCLUDE_IN_SUP_02_CUSTODIAN_EXPORT_REQUEST_SET
