field	value
source_contract_rows	10
closure_lane_rows	6
requirement_request_rows	16
supply_batch_rows	6
dependency_component_rows	14
cyclic_dependency_component_rows	1
cyclic_dependency_requirement_rows	3
root_supply_request_rows	28
object_supply_request_rows	37
root_request_edges	303
object_request_edges	414
agent_reference_request_rows	1
producer_custodian_request_rows	3
independent_witness_request_rows	1
agent_semantic_request_rows	5
device_capture_request_rows	1
agent_consumer_review_request_rows	1
agent_policy_request_rows	4
requests_issued	0
responses_received	0
candidate_evidence_files_acquired	0
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
object_corrections_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
source_contracts_sha256	97cf1d4c06f32119e14cb026532e8a107c52ba7238c09cceab894701fb967f04
acquisition_lanes_sha256	bde6e8b421e4f5e669896acfc91bbe1246a6b3e0951ce842b4e1c4752e28c88b
acquisition_requirements_sha256	900dc80c0785185b83b2fd4a1cc9428a08e8cc1afd459eb6412871a1aaf6e025
root_acquisition_set_sha256	ff6fb1dd71d7fdb1cc3566817face077d80ff96270a5f6c270da5402f4ec2e24
object_acquisition_set_sha256	c8ed9478efb239f352a77564aec42226a7ec616715bc090d607e3e74c68b098e
acquisition_receipt_review_sha256	c4341c4947b180c1352528bbed7742edbe7f4b65eec8ead454edfb53c28fe628
acquisition_receipt_metadata_sha256	f2c958a2d7e252832b485c9f9da33c4903a804db4017a399640f9c711aa0dee6
supply_batches_sha256	2d97ada3d107723a0da50878209e83b2bd9791e73e0d94cd03c40fe7e65ce8a4
supply_requests_sha256	d26fb629a05c36f012f4fd18391d1f1e3caf9a636b0a07190eb8b9f9212ee2ae
root_supply_request_set_sha256	ce1bb08048c205dce61025d0a1b28b1033e1132ede449b925ebfc5a7f20ae381
object_supply_request_set_sha256	8c5caf678b09125db9f79067297c7adc0b5054da0f93d31b1c765a240869a007
first_batch_id	SUP-01
claim_boundary	SUPPLY_REQUEST_ONLY_NO_EVIDENCE_OR_AUTHORITY_EFFECT
next_state	FULFILL_BOUNDED_GENERIC_BUILD_ATTESTATION_ADAPTATION_GAP_EVIDENCE_SUPPLY_BATCH_SUP_01
