object_review_id	evidence_row_id	review_tier	capability_partition	identity_label	artifact_id	artifact_package	artifact_version	artifact_sha256	recipe_root	recipe_tree	member_path	member_sha256	observed_soname	alias_member_path	alias_link_target	object_class	closure_lane_ids	root_requirement_set	object_requirement_set	direct_gap_requirement_set	local_foundation_completion_set	prerequisite_requirement_set	completion_gate	work_state	final_provider_state	authority_state	target_population_state
generic-object-review:014a5a9607c33528a746	selected:beb2bb532f0a84c2835f	T5_NO_TOKEN_AND_DRIFT	gtk-gui	libpangoft2-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0.5400.0	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	libpangoft2-1.0.so.0	data/data/com.termux/files/usr/glibc/lib/libpangoft2-1.0.so.0	libpangoft2-1.0.so.0.5400.0	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-002;AD-004;AD-006;BA-003;CF-002	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:0281572fbebd46151a77	selected:6052b6396205eed6dbb6	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libgio-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0.8200.2	aa9fa8876fac7334570273064be05c3e65ba0f16d30a77a5929f48b12bfe64b3	libgio-2.0.so.0	data/data/com.termux/files/usr/glibc/lib/libgio-2.0.so.0	libgio-2.0.so.0.8200.2	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:04b50f00464718fa02ec	selected:83bc985c49ec2d778e60	T6_NO_TOKEN_EXACT	gtk-gui	libXfixes.so.3.1.0	generic-artifact:23fe7f6003d9607db6af	libxfixes-glibc	6.0.1	23fe7f6003d9607db6af5c31b995616270c319f2af11ddcd6292facd43b25b66	gpkg/libxfixes	14916897595c88d8dc9c346884799171c22b4c15	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	libXfixes.so.3	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:05200a10be8fe8ed5235	selected:325be465ce7f532f8ff1	T6_NO_TOKEN_EXACT	gtk-gui	libXcomposite.so.1.0.0	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	0.4.6	6dc0ea80780ab017ce1ec52c1c6d827a544f8d74746c1fc2165f67e2600f73bd	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	libXcomposite.so.1	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:069310d28c63e1a63e78	selected:9c9dbf2702e796a10c69	T6_NO_TOKEN_EXACT	printing	libtasn1.so.6.6.4	generic-artifact:51ed5e4d2e3fcd5ed966	libtasn1-glibc	4.20.0	51ed5e4d2e3fcd5ed96630635edf75ed6f50ecd4bafdcbed478bbd3822f6864b	gpkg/libtasn1	3601f2ed3c9fd4d03c20c0d854d7b3aa05628482	data/data/com.termux/files/usr/glibc/lib/libtasn1.so.6.6.4	a66b335b8311c8006067a4b1df490a3ed4fbd68e9d9dd71eedc79e3c46838c0f	libtasn1.so.6	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:201f8c8f70f3e4e93724	selected:0802b57eadc2dd33925a	T6_NO_TOKEN_EXACT	gtk-gui	libepoxy.so.0.0.0	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	1.5.10	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	data/data/com.termux/files/usr/glibc/lib/libepoxy.so.0.0.0	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	libepoxy.so.0	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-002;AD-003;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;BA-001;BA-002;BA-004;BA-005	AD-002;AD-004;AD-006;BA-003	AD-001;AD-002;AD-003;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:2b5361cb8871759532b7	selected:553839925ebeb658612d	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libcairo.so.2.11804.4	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	1.18.2	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	data/data/com.termux/files/usr/glibc/lib/libcairo.so.2.11802.2	43cd64f07e1c33e5bd574fe7f50a20062a2ab6836adf80e1b5f4b6846e05264d	libcairo.so.2	data/data/com.termux/files/usr/glibc/lib/libcairo.so.2	libcairo.so.2.11802.2	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:4f7fe5692de493966070	selected:654806f659f7b97ba9d1	T2_MATERIAL_DELTA_EXACT	gtk-gui	libfreetype.so.6.20.2	generic-artifact:8e1d9d34f13c6c95aba5	freetype-glibc	2.13.3	8e1d9d34f13c6c95aba5e9a5f636facc94e0ca7c073f68cf605858a499a54e7b	gpkg/freetype	3a92f7895a8a4ef5cfe33fcc8b806acccffd0313	data/data/com.termux/files/usr/glibc/lib/libfreetype.so.6.20.2	04723b724b36bd516936461db4ee32a692f15af7abb99cd52cd287afa36118cf	libfreetype.so.6	-	-	EXACT_MEMBER	GC-02;GC-03;GC-04;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005	AD-001;AD-002;AD-004;BA-003	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_OBJECT_OUTPUT_AND_IMPACT_REVIEW	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:4fb85bf5b3875d51f2b8	selected:4a768de6fd1891617456	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libpng16.so.16.48.0	generic-artifact:b2835404d3b0f54b75eb	libpng-glibc	1.6.47	b2835404d3b0f54b75eb464a58ad5eb46f2d64d4fe1167a7984031f0e990b33f	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	data/data/com.termux/files/usr/glibc/lib/libpng16.so.16.47.0	00c9fd06c139699552c086b60d116a01d067ceddddb29c56600bf9fd3bae746f	libpng16.so.16	data/data/com.termux/files/usr/glibc/lib/libpng16.so.16	libpng16.so.16.47.0	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-review:51683b408de57af1b5c9	selected:33fe337448a19e2c6f2f	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libfontconfig.so.1.12.1	generic-artifact:c6bc4c9801ee7a45b506	fontconfig-glibc	2.15.0-1	c6bc4c9801ee7a45b506d3cc501f1c73a2fe6f1d4b5690eddede158f2b78aafb	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1.14.0	33769b91e5bc82e4453766c957733fecc45cf6d0c696fe52c3cdb4084daa591e	libfontconfig.so.1	data/data/com.termux/files/usr/glibc/lib/libfontconfig.so.1	libfontconfig.so.1.14.0	ALIAS_TARGET_DRIFT	GC-02;GC-03;GC-04;GC-05;GC-06	AD-001;AD-002;AD-003;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	AD-004;CF-001;CF-002;CF-003;CF-004	AD-003;AD-005;BA-001;BA-002;BA-004;BA-005;CF-001;CF-003;CF-004	AD-001;AD-002;AD-004;BA-003;CF-002	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;CF-001;CF-002;CF-003;CF-004	ROOT_BUILD_AND_ADAPTATION_CLOSURE_PLUS_CONSUMER_BINDING_AND_FILENAME_CONTINUITY_POLICY	GAP_CLOSURE_WORK_UNIT_DEFINED_AUTHORITY_BLOCKED	UNRESOLVED	OPEN_NO_ACCEPTANCE	UNPOPULATED
