acquisition_unit_id	object_review_id	evidence_row_id	identity_label	artifact_id	artifact_sha256	recipe_root	object_class	requirement_ids	candidate_input_count	missing_requirement_ids	receipt_review_state	completion_gate	final_provider_state	closure_state	authority_state	target_population_state
generic-object-acquisition:0ab3fd06c5ac7c1319aa	generic-object-review:e6ef5a2c907136047cd8	selected:d73a4eb5d9d5ee688632	libpangocairo-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	gpkg/pango	ALIAS_TARGET_DRIFT	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:0edf54da15861291b4fb	generic-object-review:5207928d6f9460b95d6d	selected:038ff19f8fcdc358c1af	libVkLayer_MESA_device_select.so	generic-artifact:fc88e9a3b2ca583b6398	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	gpkg/mesa	EXACT_MEMBER	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:137c176bae17a83bff5a	generic-object-review:f6ed3b97327067c5e9f9	selected:6e7f73b2a1ff4758f39a	libgmodule-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	gpkg/glib	ALIAS_TARGET_DRIFT	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:14d15b47bb284cfbc6fb	generic-object-review:6cbec002686204181f6b	selected:b912b41387c558b52895	libcloudproviders.so.0.3.6	generic-artifact:62b4d4f5263a7750f56e	62b4d4f5263a7750f56e4655fdf91011ec5dc2e137f4e73a08506ddbaa64c1ae	gpkg/libcloudproviders	EXACT_MEMBER	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:18081f303861103e439b	generic-object-review:e0e8124cbdfc02fed759	selected:f81e2ae2dd9ff402c2fc	libp11-kit.so.0.4.1	generic-artifact:66a84ee486990761f3d2	66a84ee486990761f3d2125186027e009781d92171d50c0b88a74b391f56b960	gpkg/p11-kit	EXACT_MEMBER	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:1853a7ede99ed5c9f337	generic-object-review:51683b408de57af1b5c9	selected:33fe337448a19e2c6f2f	libfontconfig.so.1.12.1	generic-artifact:c6bc4c9801ee7a45b506	c6bc4c9801ee7a45b506d3cc501f1c73a2fe6f1d4b5690eddede158f2b78aafb	gpkg/fontconfig	ALIAS_TARGET_DRIFT	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:229d408a4326c3853f3c	generic-object-review:201f8c8f70f3e4e93724	selected:0802b57eadc2dd33925a	libepoxy.so.0.0.0	generic-artifact:e53dc3b7f5419f13eb09	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	gpkg/libepoxy	EXACT_MEMBER	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:2332b47985403a486348	generic-object-review:562c6344503ccb5d7666	selected:05c00883459557230afc	libasound.so.2.0.0	generic-artifact:5e9c487411c76170da4f	5e9c487411c76170da4fd67253625398d4de00462a477d00cea73e287a8ed23d	gpkg/alsa-lib	EXACT_MEMBER	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-001;AD-002;AD-003;AD-004;BA-001;BA-002;BA-003;BA-004;BA-005	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:2660245b2896481d004f	generic-object-review:7ce853ca3ee3ee667757	selected:e57423d1cb58b1b78ba4	libXcursor.so.1.0.2	generic-artifact:7901dd136016df9d694e	7901dd136016df9d694e38bb17923812f539241475e7ac97935c8dcdfcceb902	gpkg/libxcursor	EXACT_MEMBER	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	0	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:2924ff0f8656de38b8da	generic-object-review:014a5a9607c33528a746	selected:beb2bb532f0a84c2835f	libpangoft2-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	gpkg/pango	ALIAS_TARGET_DRIFT	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-002;AD-003;AD-004;AD-006;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:359f558063cb3796b66d	generic-object-review:cab2fdee3ac4e25f1141	selected:9e92e4a04c351aabb559	libsqlite3.so.0.8.6	generic-artifact:d377605da9efe94727a1	d377605da9efe94727a1d77f0e3566a27e7206edfb31535a92152cf39fe7461f	gpkg/libsqlite	ALIAS_TARGET_DRIFT	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
generic-object-acquisition:3f923afaa2d72de1afc6	generic-object-review:2b5361cb8871759532b7	selected:553839925ebeb658612d	libcairo.so.2.11804.4	generic-artifact:3250dba4dc3312b4fcaa	3250dba4dc3312b4fcaa763c788614c63ba611ee82451224ba10da50622a0db2	gpkg/libcairo	ALIAS_TARGET_DRIFT	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	0	AD-001;AD-002;AD-003;AD-004;AD-005;BA-001;BA-002;BA-003;BA-004;BA-005;CF-001;CF-002;CF-003;CF-004	BOUNDED_ACQUISITION_INPUTS_REVIEWED_INCOMPLETE	ROOT_ACQUISITION_PREREQUISITES_PLUS_OBJECT_SPECIFIC_ACQUISITION_RECORDS_SEPARATELY_REVIEWED	UNRESOLVED	OPEN_EVIDENCE_SUPPLY_REQUIRED	OPEN_NO_ACCEPTANCE	UNPOPULATED
