object_review_id	evidence_row_id	review_tier	capability_partition	identity_label	artifact_id	artifact_package	artifact_version	artifact_sha256	recipe_root	recipe_tree	recipe_resolved_full_version	adaptation_evidence_tokens	object_member_review_state	build_attestation_requirement_set	adaptation_requirement_set	concrete_filename_requirement_set	object_correction_requirement_set	review_eligibility_state	authority_state	target_population_state	next_action
generic-object-review:5207928d6f9460b95d6d	selected:038ff19f8fcdc358c1af	T2_MATERIAL_DELTA_EXACT	graphics	libVkLayer_MESA_device_select.so	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:562c6344503ccb5d7666	selected:05c00883459557230afc	T4_CONFIGURATION_OR_PACKAGING_EXACT	audio	libasound.so.2.0.0	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	1.2.13	5e9c487411c76170da4fd67253625398d4de00462a477d00cea73e287a8ed23d	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	1.2.13	BUILD_IN_SRC;EXTRA_CONFIGURE_ARGS;TERMUX_PREFIX_REFERENCE	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:201f8c8f70f3e4e93724	selected:0802b57eadc2dd33925a	T6_NO_TOKEN_EXACT	gtk-gui	libepoxy.so.0.0.0	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	1.5.10	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	1.5.10	NONE_DECLARED	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:f571857f3fb7afa01572	selected:0b18b06fa4677d21f2ca	T2_MATERIAL_DELTA_EXACT	graphics	libvulkan_freedreno.so	generic-artifact:f45523463ae7a6b19c5c	mesa-vulkan-icd-freedreno-glibc	24.2.6	f45523463ae7a6b19c5c4e77bf42eff38124dfe13cc97fce34fc2bf820f41c6a	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:f7cd8d1f2115948790df	selected:0eab80f8c75b58f5c92a	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libxkbcommon.so.0.0.0	generic-artifact:e58eca6f9c0e0d068d80	libxkbcommon-glibc	1.8.0	e58eca6f9c0e0d068d80dabd3b289d6b1b4cdaa25fc91053d21392ecfbf54f97	gpkg/libxkbcommon	5fda5da07e6b38230082785d352adc4e6fb9c4da	1.8.0	CUSTOM_TERMUX_STEP	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:94116582b88bbac114f6	selected:1997bce83f1eb5ffef9a	T1_MATERIAL_DELTA_AND_DRIFT	gtk-gui	libgobject-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2-2	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;LAYOUT_OR_HOOK;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:73f453d78aa059fd9048	selected:1ae5e5d5ff7893c87e25	T5_NO_TOKEN_AND_DRIFT	gtk-gui	libpango-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	NONE_DECLARED	DRIFT_TARGET_ELF_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	CF-001;CF-002;CF-003;CF-004	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_ADAPTATION_AND_DRIFT_POLICY_EVIDENCE
generic-object-review:f2e71ab7c45982edc26d	selected:1db5922d01fc2d9e4533	T4_CONFIGURATION_OR_PACKAGING_EXACT	printing	libnettle.so.8.10	generic-artifact:8583729139206b5b11da	libnettle-glibc	3.10.1	8583729139206b5b11da3b9e38934d90f5f632a8dd99b2f864dbdb6c37ad3e3f	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	3.10.1	SUBPACKAGE_SCRIPT	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:708105f7f5955823c305	selected:26a520f7c61bdc61e17c	T6_NO_TOKEN_EXACT	gtk-gui	libXinerama.so.1.0.0	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	1.1.5	e849c9e0a6ea5f42d9cf3421aece4153cae17ed0c5d5df8ef7b9eee4d428db4d	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	1.1.5	NONE_DECLARED	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-object-review:05200a10be8fe8ed5235	selected:325be465ce7f532f8ff1	T6_NO_TOKEN_EXACT	gtk-gui	libXcomposite.so.1.0.0	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	0.4.6	6dc0ea80780ab017ce1ec52c1c6d827a544f8d74746c1fc2165f67e2600f73bd	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	0.4.6	NONE_DECLARED	EXACT_MEMBER_EXPECTED_SONAME_CANDIDATE_CONFIRMED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	EVIDENCE_COLLECTION_ELIGIBLE_AUTHORITY_BLOCKED	OPEN_NO_ACCEPTANCE	UNPOPULATED	COLLECT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
