field	value
source_receipt_review_sha256	40c228d3f6f3033cff2bbc6f8b2a1e3692e1a4f49eccf92941d704984c38698d
source_receipt_metadata_sha256	423fb751f8da3268a6a099598b0e7b6829d26d3782ec82bb4603f1ed42e7edaa
requirements_sha256	bd906bbb1dc8cb5a4d886c169284bd63c32c016b3989f534f17273d4df26cd8e
root_review_set_sha256	4e9d1e9ca6f3b549c6d6363d0172201557210cc25c974d79823c22e9fb4792ff
object_review_set_sha256	3a9a32f64055349b14e88f1824429a5c67d71f1cfec3eda83dbf785de7265026
requirement_rows	16
root_review_rows	28
object_review_rows	37
exact_member_rows	21
drift_target_rows	15
unsatisfied_object_rows	1
object_tier_T0_OBJECT_REQUIREMENT_CORRECTION	1
object_tier_T1_MATERIAL_DELTA_AND_DRIFT	12
object_tier_T2_MATERIAL_DELTA_EXACT	8
object_tier_T4_CONFIGURATION_OR_PACKAGING_EXACT	7
object_tier_T5_NO_TOKEN_AND_DRIFT	3
object_tier_T6_NO_TOKEN_EXACT	6
root_tier_T0_OBJECT_REQUIREMENT_CORRECTION	1
root_tier_T1_MATERIAL_DELTA_AND_DRIFT	8
root_tier_T2_MATERIAL_DELTA_EXACT	6
root_tier_T4_CONFIGURATION_OR_PACKAGING_EXACT	6
root_tier_T5_NO_TOKEN_AND_DRIFT	1
root_tier_T6_NO_TOKEN_EXACT	6
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
next_state	COLLECT_BOUNDED_GENERIC_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
