root_review_id	review_tier	recipe_root	recipe_tree	recipe_resolved_full_version	artifact_ids	artifact_packages	artifact_count	identity_count	adaptation_evidence_tokens	build_attestation_requirement_set	adaptation_requirement_set	concrete_filename_requirement_set	object_correction_requirement_set	eligible_object_count	blocked_object_count	review_state	authority_state	next_action
generic-root-review:89ca3d57915910fa5a81	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	1.2.13	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	1	1	BUILD_IN_SRC;EXTRA_CONFIGURE_ARGS;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:4cbb42bdf636a480b0f6	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/dbus	d7c789ccea51cdb6d13196fd106f32daf6c75822	1.15.6-2	generic-artifact:a1ee6a6519c54ebfcd61	dbus-glibc	1	1	BUILD_IN_SRC;CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:26c46ad7612eb40ca721	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/fontconfig	c5c62dc15d6a897251c88cb7c2306b2a12dd16ba	2.15.0-1	generic-artifact:c6bc4c9801ee7a45b506	fontconfig-glibc	1	1	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:af39bbec812180537c5a	T2_MATERIAL_DELTA_EXACT	gpkg/freetype	3a92f7895a8a4ef5cfe33fcc8b806acccffd0313	2.13.3	generic-artifact:8e1d9d34f13c6c95aba5	freetype-glibc	1	1	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:c38f6cb7aef89fe33a48	T2_MATERIAL_DELTA_EXACT	gpkg/fribidi	41ad596c81980f710112cd74d4f1b428cfbc6d6a	1.0.16	generic-artifact:9e99711a88e10441c0ee	fribidi-glibc	1	1	CUSTOM_TERMUX_STEP	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:c59af7056fbbff435bc8	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2-2	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	1	4	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;LAYOUT_OR_HOOK;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	4	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:706bd01fdd0555fcabc9	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/harfbuzz	f353d5f116250f7bcab7ecf062cdb13728b0ecc8	10.1.0	generic-artifact:d0e4a83180560341dc02	harfbuzz-glibc	1	1	CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PATCH_FILE;SUBPACKAGE_SCRIPT	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:0263d4b55d6a43edad7b	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libcairo	b80a0990d43609e09f1480394225d2b068ce5881	1.18.2	generic-artifact:3250dba4dc3312b4fcaa	libcairo-glibc	1	2	EXTRA_CONFIGURE_ARGS;PATCH_FILE;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	2	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:d5acfe552821242c8bec	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libcloudproviders	ca7597d86cb1610e64f209ff2b84c3ea13c4357a	0.3.6	generic-artifact:62b4d4f5263a7750f56e	libcloudproviders-glibc	1	1	EXTRA_CONFIGURE_ARGS	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:7ddd185f55bd2a91009e	T2_MATERIAL_DELTA_EXACT	gpkg/libdatrie	d773dbb3e0ad7eb29f323f75cb731e30eff66904	0.2.13	generic-artifact:d553cf0a49e324e2595d	libdatrie-glibc	1	1	BUILD_IN_SRC;CUSTOM_TERMUX_STEP	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:2f6c3972ae083cff8dd2	T6_NO_TOKEN_EXACT	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	1.5.10	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	1	1	NONE_DECLARED	BA-001;BA-002;BA-003;BA-004;BA-005	AD-002;AD-003;AD-004;AD-006	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:9147ecc3cb3d2ae95b32	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libgnutls	8851cd93d2e7c823b86e3940d7b61fd1965594e6	3.8.9	generic-artifact:e072748f2ddba21f0193	libgnutls-glibc	1	1	BUILD_IN_SRC;EXTRA_CONFIGURE_ARGS;SUBPACKAGE_SCRIPT	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:59aa2f063b98cf767441	T0_OBJECT_REQUIREMENT_CORRECTION	gpkg/libjpeg-turbo	cb58a7c1d7f4a1f89d036e4c80da596c0c61234c	3.1.0	generic-artifact:e672a721d7a949048cab	libjpeg-turbo-glibc	1	1	EXTRA_CONFIGURE_ARGS;SUBPACKAGE_SCRIPT	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	OJ-001	0	1	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:f358ae77e439240484e8	T4_CONFIGURATION_OR_PACKAGING_EXACT	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	3.10.1	generic-artifact:8583729139206b5b11da	libnettle-glibc	1	2	SUBPACKAGE_SCRIPT	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004	NONE	NONE	2	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:146b55949f1c16bde2a2	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libpng	c28b21ff2f072e880bce82fe81e4022b88945c22	1.6.47	generic-artifact:b2835404d3b0f54b75eb	libpng-glibc	1	1	CUSTOM_TERMUX_STEP;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
generic-root-review:68be7e5a4186aff4fd0d	T1_MATERIAL_DELTA_AND_DRIFT	gpkg/libsqlite	f40cf35fe65fe08cdcc5dc69d36e19c5bbcca408	3.49.1	generic-artifact:d377605da9efe94727a1	libsqlite-glibc	1	1	BUILD_IN_SRC;CUSTOM_TERMUX_STEP;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE	BA-001;BA-002;BA-003;BA-004;BA-005	AD-001;AD-002;AD-003;AD-004;AD-005	CF-001;CF-002;CF-003;CF-004	NONE	1	0	REQUIREMENTS_DEFINED_EVIDENCE_NOT_COLLECTED	OPEN_NO_ACCEPTANCE	COLLECT_ROOT_BUILD_ATTESTATION_AND_ADAPTATION_EVIDENCE
