field	value
receipt_archive	termux-native-desktop-generic-exact-candidate-evidence-result-20260713T034510Z.tar.zst
receipt_archive_sha256	361d2105c57c6ce3f446de16aedd966a55593fbba4e77d8a40e92b857ca02ea7
collector_project_head	3b689cd7d5f1b46da61ac9b7587e434c6386b138
collector_source_head	fd2ae25e04f3ea26d6c7b4678020814889331d86
collector_source_tree	e502a4c18ab9092ec119e3a498a0bf192ef60e6f
collector_summary_sha256	0e58b37bced6fd78e37057dcfb33f97053e80bd2db0d50c22653b27e673b11b9
collector_object_edges_sha256	756fd197851c262ae59859f73caa1d7a8f6454420214baa5e91a195069c59031
collector_apt_candidates_sha256	328b5df70eba851036ba8069d0bace69d5a0d29f1e433b0a9a8d2a6bb3f942f6
collector_recipe_candidates_sha256	790df1818af7768734dae2d7230bd46602e5bbcedd996c0ab66f76962dc7859d
review_rules_sha256	4538f620dd0314cc851d8b491ec854fa71f518f20d151c83d4f5e2acd20bb05c
receipt_review_sha256	cc160e340e78491a6b6e1659ff8e4a52636da99dcc382a16498d67c6c2b95e11
review_identity_rows	61
direct_apt_and_recipe_family_candidates	37
indirect_token_only	13
no_retained_candidate	11
authority_decisions_accepted	0
deb_extraction_performed	NO
target_rows_populated	0
