evidence_row_id	capability_partition	identity_label	direct_family_roots	direct_apt_packages	direct_recipe_packages	indirect_apt_candidate_rows	indirect_recipe_candidate_rows	review_state	artifact_member_binding_state	final_provider_state	target_population_state
selected:4aa35ed7433cf18f6fa8	security	libnspr4.so	nspr	-	-	0	0	NO_RETAINED_CANDIDATE	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:55a067b8e47e3b0ae140	security	libplc4.so	nspr	-	-	0	0	NO_RETAINED_CANDIDATE	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:24c8cbbad1b138adae0c	security	libplds4.so	nspr	-	-	0	0	NO_RETAINED_CANDIDATE	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:b18230900edbf9d622da	security	libfreeblpriv3.so	nss	-	-	21	34	INDIRECT_TOKEN_ONLY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:01549b41d2566811cf1a	security	libnss3.so	nss	-	-	21	34	INDIRECT_TOKEN_ONLY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:911d8dab068c4de24f35	security	libnssckbi.so	nss	-	-	21	34	INDIRECT_TOKEN_ONLY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:1c56bc12a7e9c1f5a436	security	libnssutil3.so	nss	-	-	21	34	INDIRECT_TOKEN_ONLY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:8051b47090a20ef3ee6e	security	libsmime3.so	nss	-	-	21	34	INDIRECT_TOKEN_ONLY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:6a6ba4328524e39e3b4b	security	libsoftokn3.so	nss	-	-	21	34	INDIRECT_TOKEN_ONLY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	sqlite;libsqlite	libsqlite-glibc;sqlite-glibc	lemon;libsqlite;sqlite;sqlite-analyzer;sqlite-tcl	4	14	DIRECT_APT_AND_RECIPE_FAMILY_CANDIDATE	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
selected:9f95a9cc7b1ea3e0cdc6	graphics	libgbm.so.1.0.0	mesa;mesa-dev	mesa-dev-glibc;mesa-glibc	mesa;mesa-d3dadapter;mesa-dev;mesa-vulkan-icd-freedreno;mesa-vulkan-icd-swrast;osmesa	7	4	DIRECT_APT_AND_RECIPE_FAMILY_CANDIDATE	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	BLOCKED
