evidence_row_id	capability_partition	identity_label	direct_family_roots	review_policy	authority_state
selected:4aa35ed7433cf18f6fa8	security	libnspr4.so	nspr	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:55a067b8e47e3b0ae140	security	libplc4.so	nspr	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:24c8cbbad1b138adae0c	security	libplds4.so	nspr	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b18230900edbf9d622da	security	libfreeblpriv3.so	nss	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:01549b41d2566811cf1a	security	libnss3.so	nss	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:911d8dab068c4de24f35	security	libnssckbi.so	nss	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1c56bc12a7e9c1f5a436	security	libnssutil3.so	nss	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:8051b47090a20ef3ee6e	security	libsmime3.so	nss	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6a6ba4328524e39e3b4b	security	libsoftokn3.so	nss	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	sqlite;libsqlite	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:9f95a9cc7b1ea3e0cdc6	graphics	libgbm.so.1.0.0	mesa;mesa-dev	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	mesa-vulkan-icd-freedreno	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	mesa;mesa-vulkan-icd-freedreno;mesa-vulkan-icd-swrast	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:bcc68afe696f548e1b77	gtk-gui	libatk-bridge-2.0.so.0.0.0	at-spi2-core;atk	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:292a5f56eeea3bd65c4b	gtk-gui	libatk-1.0.so.0.25611.1	at-spi2-core;atk	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:36e7af00d16415ae9efa	gtk-gui	libatspi.so.0.0.1	at-spi2-core;at-spi	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:e8ccf42491e69aba6284	gtk-gui	libcairo-gobject.so.2.11804.4	libcairo	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:553839925ebeb658612d	gtk-gui	libcairo.so.2.11804.4	libcairo	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b912b41387c558b52895	gtk-gui	libcloudproviders.so.0.3.6	libcloudproviders	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5909031aa9e67d50214b	gtk-gui	libdatrie.so.1.4.0	libdatrie	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	libepoxy	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:33fe337448a19e2c6f2f	gtk-gui	libfontconfig.so.1.12.1	fontconfig	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:654806f659f7b97ba9d1	gtk-gui	libfreetype.so.6.20.2	freetype	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5d210dfa49b6cf4c1077	gtk-gui	libfribidi.so.0.4.0	fribidi	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:b577593923c28a50a012	gtk-gui	libgdk_pixbuf-2.0.so.0.4200.12	gdk-pixbuf	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6052b6396205eed6dbb6	gtk-gui	libgio-2.0.so.0.8400.4	glib	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:d8dfbc099c8bd2072e3f	gtk-gui	libglib-2.0.so.0.8400.4	glib	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:6e7f73b2a1ff4758f39a	gtk-gui	libgmodule-2.0.so.0.8400.4	glib	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	glib	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:5de74dd687fd1dd5ee3a	gtk-gui	libgraphite2.so.3.2.1	graphite2	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:3b13f088b32606984a58	gtk-gui	libgdk-3.so.0.2417.32	gtk3	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:7bf9d7a4d1980f5e0a95	gtk-gui	libgtk-3.so.0.2417.32	gtk3	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:c41cd8cc82847fba1410	gtk-gui	libharfbuzz.so.0.61020.0	harfbuzz	FAMILY_NAME_MATCH_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
