evidence_row_id	capability_partition	identity_label	lookup_name	soname	oracle_package_or_source	oracle_version	search_tokens	candidate_binding_state	artifact_member_binding_state	final_provider_state	authority_issue_ids	target_population_state
selected:4aa35ed7433cf18f6fa8	security	libnspr4.so	libnspr4.so	libnspr4.so	libnspr4:arm64	2:4.36-1	nspr;nspr4;libnspr	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:55a067b8e47e3b0ae140	security	libplc4.so	libplc4.so	libplc4.so	libnspr4:arm64	2:4.36-1	nspr;plc4;libnspr	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:24c8cbbad1b138adae0c	security	libplds4.so	libplds4.so	libplds4.so	libnspr4:arm64	2:4.36-1	nspr;plds4;libnspr	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:b18230900edbf9d622da	security	libfreeblpriv3.so	libfreeblpriv3.so	libfreeblpriv3.so	libnss3:arm64	2:3.110-1+deb13u2	nss;freeblpriv3;libnss	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:01549b41d2566811cf1a	security	libnss3.so	libnss3.so	libnss3.so	libnss3:arm64	2:3.110-1+deb13u2	nss;nss3;libnss	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:911d8dab068c4de24f35	security	libnssckbi.so	libnssckbi.so	libnssckbi.so	libnss3:arm64	2:3.110-1+deb13u2	nss;nssckbi;libnss	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:1c56bc12a7e9c1f5a436	security	libnssutil3.so	libnssutil3.so	libnssutil3.so	libnss3:arm64	2:3.110-1+deb13u2	nss;nssutil3;libnss	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:8051b47090a20ef3ee6e	security	libsmime3.so	libsmime3.so	libsmime3.so	libnss3:arm64	2:3.110-1+deb13u2	nss;smime3;libnss	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:6a6ba4328524e39e3b4b	security	libsoftokn3.so	libsoftokn3.so	libsoftokn3.so	libnss3:arm64	2:3.110-1+deb13u2	nss;softokn3;libnss	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:9e92e4a04c351aabb559	security	libsqlite3.so.0.8.6	libsqlite3.so.0	libsqlite3.so.0	libsqlite3-0:arm64	3.46.1-7+deb13u1	sqlite;sqlite3;libsqlite3-	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-009	BLOCKED
selected:9f95a9cc7b1ea3e0cdc6	graphics	libgbm.so.1.0.0	libgbm.so.1	libgbm.so.1	libgbm1:arm64	25.0.7-2	mesa;gbm;libgbm	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-005	BLOCKED
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	libvulkan_freedreno.so	libvulkan_freedreno.so	UNKNOWN	UNKNOWN	mesa;vulkan;freedreno;vulkan-freedreno;unknown	SEARCH_ONLY_NOT_AUTHORITY	OPEN_NO_DEB_EXTRACTION	UNRESOLVED	AUTH-005	BLOCKED
