field	value
source_repository_head	fd2ae25e04f3ea26d6c7b4678020814889331d86
source_repository_tree	e502a4c18ab9092ec119e3a498a0bf192ef60e6f
source_repository_origin	https://github.com/termux-pacman/glibc-packages.git
source_exact_candidate_receipt_archive	termux-native-desktop-generic-exact-candidate-evidence-result-20260713T034510Z.tar.zst
source_exact_candidate_receipt_sha256	361d2105c57c6ce3f446de16aedd966a55593fbba4e77d8a40e92b857ca02ea7
source_member_inventory_receipt_archive	termux-native-desktop-generic-artifact-member-inventory-recovery-result-20260713T054649Z.tar.zst
source_member_inventory_receipt_sha256	e42db95f816700d1cf80cae7b747e876f831924c5f3df7f416c22243b0e83274
rules_sha256	358159738d19e68f2b84f87fecd5f3a6d51d7e60cad9d93b3b5da2b26916c1a4
review_identity_rows	37
selected_unique_artifacts_referenced	29
unique_recipe_roots	28
recipe_family_version_aligned_rows	37
exact_member_rows_not_requiring_target_reinspection	21
drift_target_elf_rows	15
expected_alias_absent_correct_candidate_required	1
verified_artifact_cache_rows_required	34
artifact_to_recipe_bindings_accepted	0
termux_android_adaptations_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
next_state	RUN_BOUNDED_GENERIC_RECIPE_BINDING_AND_DRIFT_TARGET_ELF_COLLECTOR
