field	value
source_receipt_archive	termux-native-desktop-recipe-drift-stream-drain-recovery-result-20260713T130022Z.tar.zst
source_receipt_sha256	a415601cb3cfd6d3d85a69c589f38f9d2ba4151483b887c0e611d40a17beccd0
source_repository_head	fd2ae25e04f3ea26d6c7b4678020814889331d86
source_repository_tree	e502a4c18ab9092ec119e3a498a0bf192ef60e6f
review_rules_sha256	83444cd0ac0d38f18df6e1685799a691682de34d1baf8c90a305a9a4ba3a4842
binding_receipt_sha256	7dbf6ecac0af6b24468f67ed5e51ddc0b9fd19608af49631115ccf1672082c6e
drift_receipt_sha256	9544ca421f24a09d970fe41184d0f1ce5cab36c60330dd6aeb9a40b4cdea80fd
artifact_verification_sha256	9184b7e9341c7f91265b2794330a66e79f1f075ca05ffa40c6e170c970eb0e08
artifact_registry_sha256	3327f4e16d1a3ae3c165b80cd9a3b03bba4e5a30122d018de546201f042374fe
recipe_file_inventory_sha256	346e3e05b9f576657942925cfe0757c9dbc57a29009fc93207064a88c6abf54f
source_repository_state_sha256	dae27ebd649dce583c8a3abd561999ebd40a2fd1ac1b710d50845d8ebe4aa4a0
collector_summary_sha256	186d916bddb530a85749cf1cbb74b69adc3d0806e67a2d88aabc969865f71d19
review_receipt_sha256	40c228d3f6f3033cff2bbc6f8b2a1e3692e1a4f49eccf92941d704984c38698d
review_identity_rows	37
selected_artifacts_referenced	29
verified_cached_artifacts	34
unique_recipe_roots	28
recipe_file_inventory_rows	84
exact_member_expected_soname_candidate_confirmed	21
drift_target_elf_expected_soname_candidate_confirmed	15
expected_soname_alias_absent_correct_candidate_required	1
material_recipe_delta_review_required	20
configuration_or_packaging_delta_review_required	8
no_explicit_delta_token_semantic_review_open	9
artifact_build_attestations_accepted	0
termux_android_adaptations_accepted	0
concrete_filename_drifts_accepted	0
final_provider_decisions_accepted	0
target_rows_populated	0
next_state	DEFINE_BOUNDED_GENERIC_BUILD_ATTESTATION_AND_ADAPTATION_REVIEW_SET
