evidence_row_id	capability_partition	identity_label	expected_artifact_id	expected_artifact_package	expected_artifact_version	expected_artifact_sha256	expected_soname_alias	expected_member_receipt_review_state	expected_alias_member_path	expected_alias_target_member_path	expected_recipe_root	expected_recipe_tree	expected_recipe_resolved_full_version	expected_recipe_source_url_raw	expected_recipe_source_sha256	expected_recipe_file_manifest_sha256	expected_drift_target_input_state	receipt_review_policy	authority_state
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	libVkLayer_MESA_device_select.so	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	https://mesa.freedesktop.org/archive/mesa-${TERMUX_PKG_VERSION}.tar.xz	2b68c4a6f204c1999815a457299f81c41ba7bf48c4674b0b2d1d8864f41f3709	d1236805b79050dec0729239048afb743071cd1822a7b229260ba20de7d389b5	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:05c00883459557230afc	audio	libasound.so.2.0.0	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	1.2.13	5e9c487411c76170da4fd67253625398d4de00462a477d00cea73e287a8ed23d	libasound.so.2	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	1.2.13	https://www.alsa-project.org/files/pub/lib/alsa-lib-$TERMUX_PKG_VERSION.tar.bz2	8c4ff37553cbe89618e187e4c779f71a9bb2a8b27b91f87ed40987cc9233d8f6	8454f1d6c8bb9f012a34a0595e328ccc7711c4d390cb77f54b986bcef531b93a	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	1.5.10	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	libepoxy.so.0	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	1.5.10	https://github.com/anholt/libepoxy/archive/refs/tags/${TERMUX_PKG_VERSION}.tar.gz	a7ced37f4102b745ac86d6a70a9da399cc139ff168ba6b8002b4d8d43c900c15	440b5538d204a67491ef80451454aa84a5d33fbc5ddb2ae0e018f0aa84a5eada	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	generic-artifact:f45523463ae7a6b19c5c	mesa-vulkan-icd-freedreno-glibc	24.2.6	f45523463ae7a6b19c5c4e77bf42eff38124dfe13cc97fce34fc2bf820f41c6a	libvulkan_freedreno.so	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	https://mesa.freedesktop.org/archive/mesa-${TERMUX_PKG_VERSION}.tar.xz	2b68c4a6f204c1999815a457299f81c41ba7bf48c4674b0b2d1d8864f41f3709	d1236805b79050dec0729239048afb743071cd1822a7b229260ba20de7d389b5	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	generic-artifact:e58eca6f9c0e0d068d80	libxkbcommon-glibc	1.8.0	e58eca6f9c0e0d068d80dabd3b289d6b1b4cdaa25fc91053d21392ecfbf54f97	libxkbcommon.so.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	./data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0	./data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0.8.0	gpkg/libxkbcommon	5fda5da07e6b38230082785d352adc4e6fb9c4da	1.8.0	https://github.com/xkbcommon/libxkbcommon/archive/xkbcommon-${TERMUX_PKG_VERSION}.tar.gz	025c53032776ed850fbfb92683a703048cd70256df4ac1a1ec41ed3455d5d39c	fc8e6984be5ab87277f64ae4c5073748288560ac157cb45599032d6c5fc2d526	PENDING_READ_ONLY_TARGET_ELF_INSPECTION	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	libgobject-2.0.so.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	./data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0	./data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2-2	https://ftp.gnome.org/pub/gnome/sources/glib/${TERMUX_PKG_VERSION%.*}/glib-${TERMUX_PKG_VERSION}.tar.xz	ab45f5a323048b1659ee0fbda5cecd94b099ab3e4b9abf26ae06aeb3e781fd63	c4af35a4067163db30f93aca1d82160ec6c53d2160d4bc8099e719d4c1ac5eac	PENDING_READ_ONLY_TARGET_ELF_INSPECTION	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	libpango-1.0.so.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	./data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0	./data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	https://gitlab.gnome.org/GNOME/pango/-/archive/${TERMUX_PKG_VERSION}/pango-${TERMUX_PKG_VERSION}.tar.gz	317f366bb255282d3e64ccf95b1d57cbea8636578b199c158235e1f257e5167f	1b600fab119cdad78653aa4b59c7eb293c560d4de3683280556e37e956e29cc0	PENDING_READ_ONLY_TARGET_ELF_INSPECTION	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	generic-artifact:8583729139206b5b11da	libnettle-glibc	3.10.1	8583729139206b5b11da3b9e38934d90f5f632a8dd99b2f864dbdb6c37ad3e3f	libnettle.so.8	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	3.10.1	https://mirrors.kernel.org/gnu/nettle/nettle-${TERMUX_PKG_VERSION}.tar.gz	b0fcdd7fc0cdea6e80dcf1dd85ba794af0d5b4a57e26397eee3bc193272d9132	f536431aa6d0c80dee221f3b252e0fbbe2f72a1c4638f8542f8d68eb25d264e6	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	1.1.5	e849c9e0a6ea5f42d9cf3421aece4153cae17ed0c5d5df8ef7b9eee4d428db4d	libXinerama.so.1	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	1.1.5	https://xorg.freedesktop.org/releases/individual/lib/libXinerama-${TERMUX_PKG_VERSION}.tar.xz	5094d1f0fcc1828cb1696d0d39d9e866ae32520c54d01f618f1a3c1e30c2085c	4a45cdb0e81dbe070f2c098fdd7782aebf24d8e3ee141dc3def5987ab535595d	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	0.4.6	6dc0ea80780ab017ce1ec52c1c6d827a544f8d74746c1fc2165f67e2600f73bd	libXcomposite.so.1	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	-	-	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	0.4.6	https://xorg.freedesktop.org/releases/individual/lib/libXcomposite-${TERMUX_PKG_VERSION}.tar.xz	fe40bcf0ae1a09070eba24088a5eb9810efe57453779ec1e20a55080c6dc2c87	832df052fb68c001b6c64ca3c19b27b14ce5257f359e38a263b7615752f1afd7	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	LINEAGE_ADAPTATION_AND_OBJECT_EVIDENCE_ONLY_NOT_AUTHORITY	CANDIDATE_ONLY
