evidence_row_id	capability_partition	identity_label	member_receipt_review_state	artifact_id	artifact_package	artifact_version	artifact_architecture	artifact_sha256	expected_soname_alias	alias_member_path	alias_target_member_path	recipe_root	recipe_tree	recipe_declared_version_raw	recipe_revision_raw	recipe_resolved_full_version	recipe_source_url_raw	recipe_source_sha256	recipe_build_sh_blob	recipe_build_sh_sha256	recipe_file_manifest_sha256	recipe_file_count	patch_file_count	subpackage_file_count	layout_hook_file_count	other_recipe_file_count	recipe_lineage_candidate_state	termux_android_adaptation_state	drift_target_elf_review_state	artifact_to_recipe_binding_state	final_provider_state	target_population_state
selected:038ff19f8fcdc358c1af	graphics	libVkLayer_MESA_device_select.so	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:fc88e9a3b2ca583b6398	mesa-glibc	24.2.6	aarch64	fc88e9a3b2ca583b639834ff9b6005df28b97e70f70e57b689f68548a94163ec	libVkLayer_MESA_device_select.so	-	-	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	0	24.2.6	https://mesa.freedesktop.org/archive/mesa-${TERMUX_PKG_VERSION}.tar.xz	2b68c4a6f204c1999815a457299f81c41ba7bf48c4674b0b2d1d8864f41f3709	af1897b9f7912176425f77a3fb0b676f580f632f	b379d526cc834e81102d7b201abd28f00cf53388724e7af971c6748dc66754ab	d1236805b79050dec0729239048afb743071cd1822a7b229260ba20de7d389b5	17	10	5	0	1	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:05c00883459557230afc	audio	libasound.so.2.0.0	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:5e9c487411c76170da4f	alsa-lib-glibc	1.2.13	aarch64	5e9c487411c76170da4fd67253625398d4de00462a477d00cea73e287a8ed23d	libasound.so.2	-	-	gpkg/alsa-lib	56309a1362140190ab6b3cadd4725447d8a9eb59	1.2.13	0	1.2.13	https://www.alsa-project.org/files/pub/lib/alsa-lib-$TERMUX_PKG_VERSION.tar.bz2	8c4ff37553cbe89618e187e4c779f71a9bb2a8b27b91f87ed40987cc9233d8f6	eda63e9f21eb689f313194165e15f9d2fcf16e17	035016a13dfe7b7f1f6b2c944503c6b19d3995da793d4a5254cb29cd621d2665	8454f1d6c8bb9f012a34a0595e328ccc7711c4d390cb77f54b986bcef531b93a	1	0	0	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:0802b57eadc2dd33925a	gtk-gui	libepoxy.so.0.0.0	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:e53dc3b7f5419f13eb09	libepoxy-glibc	1.5.10	aarch64	e53dc3b7f5419f13eb0948d2e16994061d2d593c1db2c535022c0d504af6a0e8	libepoxy.so.0	-	-	gpkg/libepoxy	bb827daab0491d4ff49c822f96dd4bbb80102ef0	1.5.10	0	1.5.10	https://github.com/anholt/libepoxy/archive/refs/tags/${TERMUX_PKG_VERSION}.tar.gz	a7ced37f4102b745ac86d6a70a9da399cc139ff168ba6b8002b4d8d43c900c15	3ae102c143a964738eca883ec4d80b32f0811c20	62961fff2e39a4ae2c0eb8534ee0e1da83a6cfcab18867eb8f4a24bc6f4b7c89	440b5538d204a67491ef80451454aa84a5d33fbc5ddb2ae0e018f0aa84a5eada	1	0	0	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:0b18b06fa4677d21f2ca	graphics	libvulkan_freedreno.so	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:f45523463ae7a6b19c5c	mesa-vulkan-icd-freedreno-glibc	24.2.6	aarch64	f45523463ae7a6b19c5c4e77bf42eff38124dfe13cc97fce34fc2bf820f41c6a	libvulkan_freedreno.so	-	-	gpkg/mesa	722eafd0258762f44c50228b3b66cc7a29cfcb3e	24.2.6	0	24.2.6	https://mesa.freedesktop.org/archive/mesa-${TERMUX_PKG_VERSION}.tar.xz	2b68c4a6f204c1999815a457299f81c41ba7bf48c4674b0b2d1d8864f41f3709	af1897b9f7912176425f77a3fb0b676f580f632f	b379d526cc834e81102d7b201abd28f00cf53388724e7af971c6748dc66754ab	d1236805b79050dec0729239048afb743071cd1822a7b229260ba20de7d389b5	17	10	5	0	1	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:0eab80f8c75b58f5c92a	gtk-gui	libxkbcommon.so.0.0.0	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	generic-artifact:e58eca6f9c0e0d068d80	libxkbcommon-glibc	1.8.0	aarch64	e58eca6f9c0e0d068d80dabd3b289d6b1b4cdaa25fc91053d21392ecfbf54f97	libxkbcommon.so.0	./data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0	./data/data/com.termux/files/usr/glibc/lib/libxkbcommon.so.0.8.0	gpkg/libxkbcommon	5fda5da07e6b38230082785d352adc4e6fb9c4da	1.8.0	0	1.8.0	https://github.com/xkbcommon/libxkbcommon/archive/xkbcommon-${TERMUX_PKG_VERSION}.tar.gz	025c53032776ed850fbfb92683a703048cd70256df4ac1a1ec41ed3455d5d39c	cc2f8554e83ee435400d0e5231f3870b8316fc91	3d4e9d3c4d8150c4f8f3d06d0441d40509a9b171f2a1a3256881cfe810563803	fc8e6984be5ab87277f64ae4c5073748288560ac157cb45599032d6c5fc2d526	1	0	0	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	PENDING_READ_ONLY_TARGET_ELF_INSPECTION	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:1997bce83f1eb5ffef9a	gtk-gui	libgobject-2.0.so.0.8400.4	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	generic-artifact:d91fe1202c51f7e59b12	glib-glibc	2.82.2-2	aarch64	d91fe1202c51f7e59b120d3b475e24cdc2ac2cc28f2804e9bcf4919b775978e6	libgobject-2.0.so.0	./data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0	./data/data/com.termux/files/usr/glibc/lib/libgobject-2.0.so.0.8200.2	gpkg/glib	de335e6ba82f295978c17dcf3666a38bfd51538f	2.82.2	2	2.82.2-2	https://ftp.gnome.org/pub/gnome/sources/glib/${TERMUX_PKG_VERSION%.*}/glib-${TERMUX_PKG_VERSION}.tar.xz	ab45f5a323048b1659ee0fbda5cecd94b099ab3e4b9abf26ae06aeb3e781fd63	02617bd57417de8705e0e10d1084bac005ec11d2	065a5ffd36631cb456e66b58e3873c312f6058eef3f30f611aa7a0f6fc0fb5d1	c4af35a4067163db30f93aca1d82160ec6c53d2160d4bc8099e719d4c1ac5eac	13	8	1	3	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	PENDING_READ_ONLY_TARGET_ELF_INSPECTION	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:1ae5e5d5ff7893c87e25	gtk-gui	libpango-1.0.so.0.5600.3	EXPECTED_SONAME_ALIAS_SYMLINK_PRESENT_CONCRETE_FILENAME_DRIFT	generic-artifact:7fdbef58f2a4fff712db	pango-glibc	1.54.0	aarch64	7fdbef58f2a4fff712db62b7fcd0cab0bde91373eb4d1d133e97e947b9f43084	libpango-1.0.so.0	./data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0	./data/data/com.termux/files/usr/glibc/lib/libpango-1.0.so.0.5400.0	gpkg/pango	f9e9e2303e2c91322f7edcf1bc0c3b99f2d1d74a	1.54.0	0	1.54.0	https://gitlab.gnome.org/GNOME/pango/-/archive/${TERMUX_PKG_VERSION}/pango-${TERMUX_PKG_VERSION}.tar.gz	317f366bb255282d3e64ccf95b1d57cbea8636578b199c158235e1f257e5167f	f481d5abd776722d24bba66966ae32f1a23bbc80	6f2b33f578ca6d82a486cf362341c37480494c21e39d1b92219c44456e3a8fab	1b600fab119cdad78653aa4b59c7eb293c560d4de3683280556e37e956e29cc0	1	0	0	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	PENDING_READ_ONLY_TARGET_ELF_INSPECTION	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:1db5922d01fc2d9e4533	printing	libnettle.so.8.10	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:8583729139206b5b11da	libnettle-glibc	3.10.1	aarch64	8583729139206b5b11da3b9e38934d90f5f632a8dd99b2f864dbdb6c37ad3e3f	libnettle.so.8	-	-	gpkg/libnettle	123402f8505f9f9af168f50f1d32f026f12be5f0	3.10.1	0	3.10.1	https://mirrors.kernel.org/gnu/nettle/nettle-${TERMUX_PKG_VERSION}.tar.gz	b0fcdd7fc0cdea6e80dcf1dd85ba794af0d5b4a57e26397eee3bc193272d9132	ac889c1bc5960fb32e551a1a0dc0312ab5103f9f	11c4b6f7c78231381748f58c19954c4581b7c7642ebe7fef3e1b60b768239b03	f536431aa6d0c80dee221f3b252e0fbbe2f72a1c4638f8542f8d68eb25d264e6	2	0	1	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:26a520f7c61bdc61e17c	gtk-gui	libXinerama.so.1.0.0	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:e849c9e0a6ea5f42d9cf	libxinerama-glibc	1.1.5	aarch64	e849c9e0a6ea5f42d9cf3421aece4153cae17ed0c5d5df8ef7b9eee4d428db4d	libXinerama.so.1	-	-	gpkg/libxinerama	0ecad3a5840978f10eb6964f073d0ffb6a1a69c0	1.1.5	0	1.1.5	https://xorg.freedesktop.org/releases/individual/lib/libXinerama-${TERMUX_PKG_VERSION}.tar.xz	5094d1f0fcc1828cb1696d0d39d9e866ae32520c54d01f618f1a3c1e30c2085c	cb2015eea71aa7378c1111ee37f0f459cebb1ff5	91acfb5dec2177be62da59b583fa378dee58e15c22ba8a7723d4ae6bd8c8e2ad	4a45cdb0e81dbe070f2c098fdd7782aebf24d8e3ee141dc3def5987ab535595d	1	0	0	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
selected:325be465ce7f532f8ff1	gtk-gui	libXcomposite.so.1.0.0	EXACT_CONCRETE_MEMBER_AND_EXPECTED_SONAME_OBSERVED	generic-artifact:6dc0ea80780ab017ce1e	libxcomposite-glibc	0.4.6	aarch64	6dc0ea80780ab017ce1ec52c1c6d827a544f8d74746c1fc2165f67e2600f73bd	libXcomposite.so.1	-	-	gpkg/libxcomposite	5df15021d34e11560691926e2054272b5d3b6984	0.4.6	0	0.4.6	https://xorg.freedesktop.org/releases/individual/lib/libXcomposite-${TERMUX_PKG_VERSION}.tar.xz	fe40bcf0ae1a09070eba24088a5eb9810efe57453779ec1e20a55080c6dc2c87	dca84ef38d921ab602ab4f8f4caff54e0bb05714	b82a07e1540f26f0767e728d1dbcdf9b5d83a116bf694695f0844d652d883175	832df052fb68c001b6c64ca3c19b27b14ce5257f359e38a263b7615752f1afd7	1	0	0	0	0	PINNED_RECIPE_FAMILY_VERSION_ALIGNED_NO_BUILD_ATTESTATION	PINNED_RECIPE_EVIDENCE_INVENTORY_PENDING_REVIEW	NOT_REQUIRED_EXACT_MEMBER_ALREADY_OBSERVED	OPEN_NO_BUILD_ATTESTATION	UNRESOLVED	BLOCKED
