evidence_row_id	identity_label	content_sha256	package_or_source	version	lookup_name	soname	primary_capability	observed_supply_origin	semantic_role_state	termux_android_adaptation_state	exact_supply_artifact_state	profile_necessity_state	provisional_final_provider_state	authority_issue_ids	target_population_state
selected:bcc68afe696f548e1b77	libatk-bridge-2.0.so.0.0.0	1ffdc45101000def35ecf0ac8b19aaba459c6a76d56e75f4d53abe3976a290b3	libatk-bridge2.0-0t64:arm64	2.56.2-1+deb13u1	libatk-bridge-2.0.so.0	libatk-bridge-2.0.so.0	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:292a5f56eeea3bd65c4b	libatk-1.0.so.0.25611.1	256545424d7451824177845375f943428118036c3bdbba679f4888670cabe1d5	libatk1.0-0t64:arm64	2.56.2-1+deb13u1	libatk-1.0.so.0	libatk-1.0.so.0	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:36e7af00d16415ae9efa	libatspi.so.0.0.1	465b3abc9c4033f60999f089dc3bf414e1c2ced553e6b5f82021d55e85796b52	libatspi2.0-0t64:arm64	2.56.2-1+deb13u1	libatspi.so.0	libatspi.so.0	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:e8ccf42491e69aba6284	libcairo-gobject.so.2.11804.4	8774fb4e40d1abef82eaa2a6f42b2be9f1340c62d0a8efa1171d42b988b96e13	libcairo-gobject2:arm64	1.18.4-1+b1	libcairo-gobject.so.2	libcairo-gobject.so.2	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:553839925ebeb658612d	libcairo.so.2.11804.4	b521e34150ccce3a2338197bcb399ea13b4ccef6d3e1e5ce406fd7eef1c35de6	libcairo2:arm64	1.18.4-1+b1	libcairo.so.2	libcairo.so.2	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:b912b41387c558b52895	libcloudproviders.so.0.3.6	cce1cc0c45dabcc886d39488fb9b4c22e74f68f58a6e808232ce32d4a82e105c	libcloudproviders0:arm64	0.3.6-2	libcloudproviders.so.0	libcloudproviders.so.0	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:5909031aa9e67d50214b	libdatrie.so.1.4.0	ee763715bba3095402e1d5713c95acbc1efaf47081e8c01b21ad27c2aa877a45	libdatrie1:arm64	0.2.13-3+b1	libdatrie.so.1	libdatrie.so.1	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:0802b57eadc2dd33925a	libepoxy.so.0.0.0	353deaad528597e58b65eb9f7a321eb2a45cb775c7cd05f4c69bbd8da56de18e	libepoxy0:arm64	1.5.10-2	libepoxy.so.0	libepoxy.so.0	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:33fe337448a19e2c6f2f	libfontconfig.so.1.12.1	6a9db1b9262267a0c291de43c0e827263fed8d3f39138d1d7853d2a8d45ba8ad	libfontconfig1:arm64	2.15.0-2.3	libfontconfig.so.1	libfontconfig.so.1	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:654806f659f7b97ba9d1	libfreetype.so.6.20.2	037c1e131385f08bf00cf6159b5f4a8063876312787d754407ca228d75dafc3e	libfreetype6:arm64	2.13.3+dfsg-1+deb13u1	libfreetype.so.6	libfreetype.so.6	electron.gui.gtk3	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
