evidence_row_id	identity_label	content_sha256	package_or_source	version	lookup_name	soname	primary_capability	observed_supply_origin	semantic_role_state	termux_android_adaptation_state	exact_supply_artifact_state	profile_necessity_state	provisional_final_provider_state	authority_issue_ids	target_population_state
selected:35b1c9007c3c83cca870	libavahi-client.so.3.2.9	f291bd2912d683787a99a459cbf497d405a807760d45ef1d4e285eb908e48173	libavahi-client3:arm64	0.8-16	libavahi-client.so.3	libavahi-client.so.3	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:3dcc0e9505902abee7cd	libavahi-common.so.3.5.4	be3403fa46d9272836a7b874032ceec08a538d2ece9d3a1a6b59ec450018294e	libavahi-common3:arm64	0.8-16	libavahi-common.so.3	libavahi-common.so.3	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:abf1f2bcc689273af482	libcups.so.2	8714ab7b4e0d8554db5ad40956f687213dfeb93ecedebcf3f11f308c03d8dba5	libcups2t64:arm64	2.4.10-3+deb13u2	libcups.so.2	libcups.so.2	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:8415133f42365efb9394	libgnutls.so.30.40.3	560c04722d04d0331b0eeda8a249491139ba46bf0e294897ebceb04993380596	libgnutls30t64:arm64	3.8.9-3+deb13u4	libgnutls.so.30	libgnutls.so.30	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:6d981b8963608a8e0e6b	libhogweed.so.6.10	047d4fde470f4664a0e84ce80c84c9b03672948214be50f51f3915070c9ca4b6	libhogweed6t64:arm64	3.10.1-1	libhogweed.so.6	libhogweed.so.6	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:1db5922d01fc2d9e4533	libnettle.so.8.10	81f40d719e01fc7241e60eb8295aca2109cb15197c9080fa6d26175f6defc897	libnettle8t64:arm64	3.10.1-1	libnettle.so.8	libnettle.so.8	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:f81e2ae2dd9ff402c2fc	libp11-kit.so.0.4.1	6664704a1baa3f6541a7a3af752ab2c008256d56438f70ba18acc59aee3978c7	libp11-kit0:arm64	0.25.5-3	libp11-kit.so.0	libp11-kit.so.0	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:9c9dbf2702e796a10c69	libtasn1.so.6.6.4	20a6aa3d1526507a1886366b37471d48c63b9bd4065e4fd1f64159fc84a14c08	libtasn1-6:arm64	4.20.0-2	libtasn1.so.6	libtasn1.so.6	electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004	BLOCKED
selected:5112da4dd8080fe0687f	libdbus-1.so.3.38.3	33dc83ad1eb603068542245eab12d67bca6c6f8323c08fe4600ef3b0868966af	libdbus-1-3:arm64	1.16.2-2	libdbus-1.so.3	libdbus-1.so.3	electron.gui.gtk3;electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004;AUTH-009	BLOCKED
selected:941f74c36395eb5983c4	libsystemd.so.0.40.0	e3ecd5cf99aa5a9aa88422ab21bde152e998be07b38ebed7ac20cc7d2dd6fe8f	libsystemd0:arm64	257.13-1~deb13u1	libsystemd.so.0	libsystemd.so.0	electron.gui.gtk3;electron.printing.cups	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-004;AUTH-009	BLOCKED
