evidence_row_id	identity_label	content_sha256	package_or_source	version	lookup_name	soname	primary_capability	observed_supply_origin	semantic_role_state	termux_android_adaptation_state	exact_supply_artifact_state	profile_necessity_state	provisional_final_provider_state	authority_issue_ids	target_population_state
selected:4aa35ed7433cf18f6fa8	libnspr4.so	00396daf5ba60830460f12aa64c9e4edf52cb57dcb3546de772ac5b1f12c3807	libnspr4:arm64	2:4.36-1	libnspr4.so	libnspr4.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:55a067b8e47e3b0ae140	libplc4.so	b60e885a26b70575b1219c8d0fae0a64c02991ebb736b2100757cadd558c933f	libnspr4:arm64	2:4.36-1	libplc4.so	libplc4.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:24c8cbbad1b138adae0c	libplds4.so	903249eda3f6875f93df3ec68a84666c6d1b4d3ae78f9c9fab49d6f1ecef5500	libnspr4:arm64	2:4.36-1	libplds4.so	libplds4.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:b18230900edbf9d622da	libfreeblpriv3.so	d723a10fa0449d90a6a82d861bb0240808c3a50778a4b89f3a33e0da2d154a36	libnss3:arm64	2:3.110-1+deb13u2	libfreeblpriv3.so	libfreeblpriv3.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:01549b41d2566811cf1a	libnss3.so	a195728b132bee4202cb20b56642c3e9e841f5782b17ec6d1a8fe4ecb1bc6d8a	libnss3:arm64	2:3.110-1+deb13u2	libnss3.so	libnss3.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:911d8dab068c4de24f35	libnssckbi.so	d75ba71ffa51d7a6e7cc94abad92becd9c015aa9579494a3759e3060cc9d20d6	libnss3:arm64	2:3.110-1+deb13u2	libnssckbi.so	libnssckbi.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:1c56bc12a7e9c1f5a436	libnssutil3.so	e3d3e8cb1ded1e829aa5316c28e6da50cbdcc55f29f57a0597a6c4d107ba10c0	libnss3:arm64	2:3.110-1+deb13u2	libnssutil3.so	libnssutil3.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:8051b47090a20ef3ee6e	libsmime3.so	2177122a49c7faabffc323b57013573d43815c761d1e02feaf8c29fcac696c11	libnss3:arm64	2:3.110-1+deb13u2	libsmime3.so	libsmime3.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:6a6ba4328524e39e3b4b	libsoftokn3.so	7318f3a16d7c337a874aa5f08592fe56c9a1c399a1c8035c03b18ca59f68c27b	libnss3:arm64	2:3.110-1+deb13u2	libsoftokn3.so	libsoftokn3.so	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
selected:9e92e4a04c351aabb559	libsqlite3.so.0.8.6	9865b5990181843284595a2c290e5aa9e1df1b3ee438ce7fc6cdc2ec1c411985	libsqlite3-0:arm64	3.46.1-7+deb13u1	libsqlite3.so.0	libsqlite3.so.0	electron.security.nss	DEBIAN_ROOTFS_ORACLE_BYTES	UNREVIEWED_GENERIC_OR_PLATFORM	NOT_ASSESSED	NOT_LOCKED_PRIORITY	FIRST_GEN_PRESSURE	UNRESOLVED	AUTH-009	BLOCKED
