package	version	priority_tier	semantic_authority	authority_review_state	profile_disposition	accepted_runtime_scope	explicitly_excluded_scope	source_authority	recipe_lineage_state	candidate_recipe_trees	supply_authority	artifact_sha256	artifact_bytes	installed_artifact_equivalence	update_domain	remaining_open_evidence
brotli-glibc	1.1.0	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER	GTK_FONT_COMPAT	libbrotlicommon.so.1 and libbrotlidec.so.1	libbrotlienc.so.1 and brotli CLI	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	b93dea91e600d380f42b01bae7d2e808546b959a	EXACT_INDEXED_DEB_OBJECT_SUBSET	402c5b919f670e9d12438071c3daf02c6ed9d561f4dac2e7acd1b5939ec621ed	343044	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after GTK/font provider selection.
e2fsprogs-glibc	1.47.2	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER_REJECT_PACKAGE	PRINTING_CONDITIONAL	libcom_err.so.2 only	filesystem utilities, additional libraries and executables	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	e0e140e5cb36f660188ee633e4eae6479e3f2ef8	EXACT_INDEXED_DEB_OBJECT_SUBSET	b1ae59a6213520b1cc0bf5bc8b0b7af8abd5c238ab9688fe0d0c5cbb64267599	803324	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after printing provider selection.
gcc-libs-glibc	14.2.1-1	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_MIXED_OBJECT_PROVIDER_REJECT_PACKAGE	BASE_COMPILER_RUNTIME;GRAPHICS_FREEDRENO_CONDITIONAL;GTK_COMPAT_CONDITIONAL	libgcc_s.so.1 base; libstdc++.so.6 graphics; libatomic.so.1 GTK compatibility	sanitizers, Fortran/OpenMP/ITM runtimes and toolchain surface	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	5c6db1111e6af1cecc905f83e22c88f5b8ccb398	EXACT_INDEXED_DEB_OBJECT_SUBSET	919c2e80a629d674dd450b0a0edd11378284f1ed9d2a8fd3c9c91d7ac72f041f	24314568	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after application and graphics ABI updates.
krb5-glibc	1.21.3	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER_REJECT_PACKAGE	PRINTING_CONDITIONAL	libgssapi_krb5.so.2, libk5crypto.so.3, libkrb5.so.3, libkrb5support.so.0	administration clients/servers, KDC plugins and unselected Kerberos libraries	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	681f9cd4779e2af7713b3cb37f7c94a076056227	EXACT_INDEXED_DEB_OBJECT_SUBSET	13972590dda51ac16fd201bef82bc22f11c88ebf36bd060c5b0c07a144ed742a	1180668	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after printing provider selection.
libblkid-glibc	2.40.2-1	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER	GTK_COMPAT_CONDITIONAL	libblkid.so.1	all util-linux sibling tools and packages	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	e91a0c476ef4355dbfff46e2bcab23d0085ddd01	EXACT_INDEXED_DEB_OBJECT_SUBSET	b6692956495dfd59ce70a854db5af86bae5f63791440e2cc5f21c26194b965fe	116032	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after GTK/libmount provider selection.
libbz2-glibc	1.0.8-3	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER	GTK_FONT_COMPAT	libbz2.so.1.0	bzip2 command surface	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	127065e922e893ef54d0dcad0c79964535d78acd	EXACT_INDEXED_DEB_OBJECT_SUBSET	984f6f80b4cd115d8adf99aee79f3cbbc5c073bc1fc708e8decd0a13323df4f0	32892	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after font/freetype provider selection.
libcap-glibc	2.69-1	T1_SELECTED_RUNTIME_PRESSURE	PLATFORM_INTEGRATION_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER_REJECT_PACKAGE	DEVICE_UDEV_GTK_CONDITIONAL	libcap.so.2	capsh/getcap/setcap/getpcaps and libpsx unless separately required	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	6ea98ca0f193e0db74f8441f0a63a98077b3fc1a	EXACT_INDEXED_DEB_OBJECT_SUBSET	8beffad4a426122b276b1b632fb4749837456393934a138d6dd77259cb6fcbad	87980	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	PLATFORM_INTEGRATION_UPDATE	Re-evaluate after device/udev provider selection.
libdrm-glibc	2.4.124	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER_REJECT_PACKAGE	GRAPHICS_FREEDRENO_CONDITIONAL	libdrm.so.2	19 diagnostic binaries and unselected GPU-backend libraries	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	d29d466cef8d119f868f23266510c646a13ba03a	EXACT_INDEXED_DEB_OBJECT_SUBSET	08efad935d3e88f5f359346b56894f46fd287072361b7f76884ebb88dfa4b19e	330252	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after graphics provider update.
libexpat-glibc	2.6.4	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_OBJECT_SCOPED_GENERIC_PROVIDER	BASE_OBSIDIAN;GRAPHICS_FREEDRENO	libexpat.so.1	xmlwf and development surface	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	b1b735cd8ea1225980312baea62ec10b0c2cb869	EXACT_INDEXED_DEB_OBJECT_SUBSET	f911eb4f29a2f1f048562db880152b633334b59a2a705b4c5077b5c579ec7d5a	107364	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after Obsidian or graphics provider ABI update.
libffi-glibc	3.4.7	T1_SELECTED_RUNTIME_PRESSURE	GENERIC_SHARED_CAPABILITY_PROVIDER	ACCEPTED_CONDITIONAL_OBJECT_PROVIDER	GTK_WAYLAND_PRINTING_CONDITIONAL	libffi.so.8	development surface	TERMUX_GLIBC_PACKAGE_RECIPE	RECIPE_VERSION_UNIQUE_TREE_MATCH	3e2d7bc74cf8646c3df5d2db53b48e83e127fa69	EXACT_INDEXED_DEB_OBJECT_SUBSET	19811ab9f293fd711ea5d2d27ca31bad4f6c47c139282b338e325f3de4c3ae7b	34768	ALL_ARCHIVE_MEMBERS_MATCH_LIVE	GENERIC_PROVIDER_UPDATE	Re-evaluate after GTK/Wayland/printing provider selection.
