key	value
schema_version	1
classification_policy	ADR-0005
root_count	28
object_count	37
claim_count	89
artifact_identity_claim_count	28
adaptation_claim_count	28
provider_authority_claim_count	28
object_requirement_claim_count	1
global_claim_count	4
class_a_claim_count	36
class_b_claim_count	49
class_c_claim_count	1
class_d_claim_count	3
sup02_request_count	28
sup02_still_necessary_count	0
sup02_narrowed_count	14
sup02_replaced_count	7
sup02_unnecessary_count	7
no_token_semantic_review_count	7
no_token_confirmed_a_count	7
no_token_reclassified_b_count	0
provider_review_count	6
provider_authority_accepted_count	6
provider_authority_open_count	22
authority_effect	SIX_BOUNDED_PROVIDER_CLAIMS_ACCEPTED_NO_COMPOSITION_TARGET_OR_ACTIVATION_EFFECT
next_review_tranche	PANGO_REFERENCE_CONSUMED_PROVIDER_AND_FILENAME_DRIFT
