claim_id	subject_kind	subject_id	subject_label	claim_type	requested_state	adr_class	supplier_or_reference_boundary	project_owned_changed_boundary	risk_modifiers	existing_evidence	remaining_gap	minimum_closure_action	explicitly_excluded_evidence	escalation_trigger	classification_state	authority_effect	prohibited_inference
PCC-ALSA-LIB-ARTIFACT	ROOT	generic-root-review:89ca3d57915910fa5a81	gpkg/alsa-lib	ARTIFACT_IDENTITY	EXACT_REFERENCE_ARTIFACT_AND_NAMED_MEMBER_CANDIDATE_IDENTITY	A	AUTHORITATIVE_TERMUX_GLIBC_PACKAGE_REPOSITORY_ARTIFACT	ACQUIRE_RETAIN_HASH_AND_BIND_NAMED_MEMBERS_WITHOUT_RECONSTRUCTING_SUPPLIER_BUILD_HISTORY	CONFIGURATION_OR_PACKAGING_DELTA;DEVICE_IO	generic-root-review:89ca3d57915910fa5a81;generic-artifact:5e9c487411c76170da4f;generic-object-review:562c6344503ccb5d7666;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv	NONE_FOR_EXACT_CANDIDATE_ARTIFACT_AND_NAMED_MEMBER_IDENTITY	NONE_RETAIN_EXACT_ARTIFACT_AND_MEMBER_DIGESTS_AT_TRANSFER	CUSTODIAN_BUILD_INVOCATION;FULL_BUILD_ENVIRONMENT;INDEPENDENT_REPRODUCTION	ARTIFACT_DIGEST_MISMATCH;MEMBER_OR_SONAME_MISMATCH;SUPPLIER_OPACITY_AFFECTING_THE_EXACT_IDENTITY_CLAIM	EVIDENCE_SUFFICIENT_FOR_CANDIDATE_IDENTITY_ONLY	CANDIDATE_IDENTITY_ONLY_NO_PROVIDER_OR_TARGET_EFFECT	EXACT_ARTIFACT_IDENTITY_DOES_NOT_IMPLY_ADAPTATION_ACCEPTANCE_PROVIDER_AUTHORITY_OR_TARGET_MEMBERSHIP
PCC-ALSA-LIB-ADAPTATION	ROOT	generic-root-review:89ca3d57915910fa5a81	gpkg/alsa-lib	ADAPTATION_SEMANTICS	REFERENCE_RECIPE_EQUIVALENCE_OR_BOUNDED_TERMUX_ANDROID_ADAPTATION	B	PINNED_TERMUX_GLIBC_RECIPE_TREE_AND_PINNED_UPSTREAM_SOURCE	EXACT_RECIPE_PATCH_HOOK_CONFIGURATION_AND_PACKAGING_DELTAS_RELIED_ON_BY_THE_PROJECT	CONFIGURATION_OR_PACKAGING_DELTA;DEVICE_IO	generic-root-review:89ca3d57915910fa5a81;recipe_tree=56309a1362140190ab6b3cadd4725447d8a9eb59;tokens=BUILD_IN_SRC;EXTRA_CONFIGURE_ARGS;TERMUX_PREFIX_REFERENCE;generic-recipe-binding-and-drift-target-receipt-review.tsv;generic-build-attestation-adaptation-root-evidence-receipt-review.tsv	AD-001_AD-002_AD-003_AD-004_SEMANTIC_DELTA_NECESSITY_AND_OBJECT_IMPACT_REVIEW	AGENT_SEMANTIC_DELTA_REVIEW_WITH_OBJECT_IMPACT_AND_PLATFORM_NECESSITY_CLASSIFICATION	SUP-02_CUSTODIAN_EXPORT_UNLESS_RECLASSIFICATION_OR_ESCALATION_TRIGGER_REQUIRES_CLASS_C_DEPTH	SEMANTIC_REVIEW_CANNOT_BOUND_GENERATED_OUTPUT;OBSERVED_ARTIFACT_BEHAVIOR_CONFLICTS_WITH_RECIPE;CLAIM_RECLASSIFIED_AS_INDEPENDENT_REPRODUCTION;HIGH_RISK_OUTPUT_REMAINS_OPAQUE	CLASSIFIED_OPEN_REVIEW_REQUIRED	REVIEW_PLAN_ONLY_NO_ADAPTATION_OR_PROVIDER_ACCEPTANCE	RECIPE_TOKEN_PRESENCE_OR_ABSENCE_DOES_NOT_BY_ITSELF_ESTABLISH_PLATFORM_NECESSITY_OR_EQUIVALENCE
PCC-ALSA-LIB-PROVIDER	ROOT	generic-root-review:89ca3d57915910fa5a81	gpkg/alsa-lib	PROVIDER_AUTHORITY	PACKAGE_MEMBERS_AUTHORIZED_AS_RUNTIME_PROVIDER_FOR_THEIR_CAPABILITY_SCOPE	B	AUTHORITATIVE_PACKAGE_MEMBERS_FOR_CAPABILITY_PARTITIONS=audio	PROJECT_SELECTION_AND_INTEGRATION_OF_REFERENCE_MEMBERS_IN_A_CUSTOM_MIXED_WORLD_APPLICATION_RUNTIME	CONFIGURATION_OR_PACKAGING_DELTA;DEVICE_IO	generic-root-review:89ca3d57915910fa5a81;generic-artifact:5e9c487411c76170da4f;generic-object-review:562c6344503ccb5d7666;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv;authority-coverage-ledger.tsv;generic-source-authority-boundary.tsv;selected-object-authority-base.tsv	ADAPTATION_CLASSIFICATION;CAPABILITY_NECESSITY_AND_CONSUMER_BINDING;CONFLICT_AND_EXCLUSION_REVIEW;UPDATE_AND_ROLLBACK_BOUNDARY	CAPABILITY_LEVEL_PROVIDER_REVIEW_AFTER_ADAPTATION_CLASSIFICATION_WITH_TARGETED_PASSIVE_CONSUMER_BINDING_ONLY_WHERE_AMBIGUOUS	SUPPLIER_BUILD_PROVENANCE_AS_A_SUBSTITUTE_FOR_PROVIDER_SELECTION_OR_RUNTIME_BINDING	AMBIGUOUS_CONSUMER_BINDING;ABI_OR_SECURITY_CONFLICT;MULTIPLE_NON_EQUIVALENT_PROVIDER_CANDIDATES;NO_OBSERVABLE_FALLBACK;ARTIFACT_MEMBER_RECIPE_OR_CONSUMER_BINDING_CHANGE	CLASSIFIED_OPEN_PROVIDER_AUTHORITY_NOT_ACCEPTED	NO_PROVIDER_COMPOSITION_TARGET_OR_ACTIVATION_EFFECT	PACKAGE_MEMBER_AND_RECIPE_EVIDENCE_DO_NOT_IMPLY_PROVIDER_AUTHORITY_OR_COMPLETE_RUNTIME_COMPOSITION
PCC-DBUS-ARTIFACT	ROOT	generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	ARTIFACT_IDENTITY	EXACT_REFERENCE_ARTIFACT_AND_NAMED_MEMBER_CANDIDATE_IDENTITY	A	AUTHORITATIVE_TERMUX_GLIBC_PACKAGE_REPOSITORY_ARTIFACT	ACQUIRE_RETAIN_HASH_AND_BIND_NAMED_MEMBERS_WITHOUT_RECONSTRUCTING_SUPPLIER_BUILD_HISTORY	CONCRETE_FILENAME_DRIFT;MATERIAL_RECIPE_DELTA;SERVICE_TLS_OR_NETWORK_INTEGRATION	generic-root-review:4cbb42bdf636a480b0f6;generic-artifact:a1ee6a6519c54ebfcd61;generic-object-review:de033a9cfea119d21aa3;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv	NONE_FOR_EXACT_CANDIDATE_ARTIFACT_AND_NAMED_MEMBER_IDENTITY	NONE_RETAIN_EXACT_ARTIFACT_AND_MEMBER_DIGESTS_AT_TRANSFER	CUSTODIAN_BUILD_INVOCATION;FULL_BUILD_ENVIRONMENT;INDEPENDENT_REPRODUCTION	ARTIFACT_DIGEST_MISMATCH;MEMBER_OR_SONAME_MISMATCH;SUPPLIER_OPACITY_AFFECTING_THE_EXACT_IDENTITY_CLAIM	EVIDENCE_SUFFICIENT_FOR_CANDIDATE_IDENTITY_ONLY	CANDIDATE_IDENTITY_ONLY_NO_PROVIDER_OR_TARGET_EFFECT	EXACT_ARTIFACT_IDENTITY_DOES_NOT_IMPLY_ADAPTATION_ACCEPTANCE_PROVIDER_AUTHORITY_OR_TARGET_MEMBERSHIP
PCC-DBUS-ADAPTATION	ROOT	generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	ADAPTATION_SEMANTICS	REFERENCE_RECIPE_EQUIVALENCE_OR_BOUNDED_TERMUX_ANDROID_ADAPTATION	B	PINNED_TERMUX_GLIBC_RECIPE_TREE_AND_PINNED_UPSTREAM_SOURCE	EXACT_RECIPE_PATCH_HOOK_CONFIGURATION_AND_PACKAGING_DELTAS_RELIED_ON_BY_THE_PROJECT	CONCRETE_FILENAME_DRIFT;MATERIAL_RECIPE_DELTA;SERVICE_TLS_OR_NETWORK_INTEGRATION	generic-root-review:4cbb42bdf636a480b0f6;recipe_tree=d7c789ccea51cdb6d13196fd106f32daf6c75822;tokens=BUILD_IN_SRC;CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;TERMUX_PREFIX_REFERENCE;generic-recipe-binding-and-drift-target-receipt-review.tsv;generic-build-attestation-adaptation-root-evidence-receipt-review.tsv	AD-001_AD-002_AD-003_AD-004_SEMANTIC_DELTA_NECESSITY_AND_OBJECT_IMPACT_REVIEW;CF-001_CF-002_CF-003_CF-004_ALIAS_SUCCESSOR_AND_ROLLBACK_POLICY	AGENT_SEMANTIC_DELTA_REVIEW_WITH_OBJECT_IMPACT_AND_PLATFORM_NECESSITY_CLASSIFICATION;REVIEW_CONSUMER_ALIAS_BINDING_AND_VERSION_DRIFT_POLICY	SUP-02_CUSTODIAN_EXPORT_UNLESS_RECLASSIFICATION_OR_ESCALATION_TRIGGER_REQUIRES_CLASS_C_DEPTH	SEMANTIC_REVIEW_CANNOT_BOUND_GENERATED_OUTPUT;OBSERVED_ARTIFACT_BEHAVIOR_CONFLICTS_WITH_RECIPE;CLAIM_RECLASSIFIED_AS_INDEPENDENT_REPRODUCTION;HIGH_RISK_OUTPUT_REMAINS_OPAQUE	CLASSIFIED_OPEN_REVIEW_REQUIRED	REVIEW_PLAN_ONLY_NO_ADAPTATION_OR_PROVIDER_ACCEPTANCE	RECIPE_TOKEN_PRESENCE_OR_ABSENCE_DOES_NOT_BY_ITSELF_ESTABLISH_PLATFORM_NECESSITY_OR_EQUIVALENCE
PCC-DBUS-PROVIDER	ROOT	generic-root-review:4cbb42bdf636a480b0f6	gpkg/dbus	PROVIDER_AUTHORITY	PACKAGE_MEMBERS_AUTHORIZED_AS_RUNTIME_PROVIDER_FOR_THEIR_CAPABILITY_SCOPE	B	AUTHORITATIVE_PACKAGE_MEMBERS_FOR_CAPABILITY_PARTITIONS=printing	PROJECT_SELECTION_AND_INTEGRATION_OF_REFERENCE_MEMBERS_IN_A_CUSTOM_MIXED_WORLD_APPLICATION_RUNTIME	CONCRETE_FILENAME_DRIFT;MATERIAL_RECIPE_DELTA;SERVICE_TLS_OR_NETWORK_INTEGRATION	generic-root-review:4cbb42bdf636a480b0f6;generic-artifact:a1ee6a6519c54ebfcd61;generic-object-review:de033a9cfea119d21aa3;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv;authority-coverage-ledger.tsv;generic-source-authority-boundary.tsv;selected-object-authority-base.tsv	ADAPTATION_CLASSIFICATION;CAPABILITY_NECESSITY_AND_CONSUMER_BINDING;CONFLICT_AND_EXCLUSION_REVIEW;UPDATE_AND_ROLLBACK_BOUNDARY	CAPABILITY_LEVEL_PROVIDER_REVIEW_AFTER_ADAPTATION_CLASSIFICATION_WITH_TARGETED_PASSIVE_CONSUMER_BINDING_ONLY_WHERE_AMBIGUOUS	SUPPLIER_BUILD_PROVENANCE_AS_A_SUBSTITUTE_FOR_PROVIDER_SELECTION_OR_RUNTIME_BINDING	AMBIGUOUS_CONSUMER_BINDING;ABI_OR_SECURITY_CONFLICT;MULTIPLE_NON_EQUIVALENT_PROVIDER_CANDIDATES;NO_OBSERVABLE_FALLBACK;ARTIFACT_MEMBER_RECIPE_OR_CONSUMER_BINDING_CHANGE	CLASSIFIED_OPEN_PROVIDER_AUTHORITY_NOT_ACCEPTED	NO_PROVIDER_COMPOSITION_TARGET_OR_ACTIVATION_EFFECT	PACKAGE_MEMBER_AND_RECIPE_EVIDENCE_DO_NOT_IMPLY_PROVIDER_AUTHORITY_OR_COMPLETE_RUNTIME_COMPOSITION
PCC-FONTCONFIG-ARTIFACT	ROOT	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	ARTIFACT_IDENTITY	EXACT_REFERENCE_ARTIFACT_AND_NAMED_MEMBER_CANDIDATE_IDENTITY	A	AUTHORITATIVE_TERMUX_GLIBC_PACKAGE_REPOSITORY_ARTIFACT	ACQUIRE_RETAIN_HASH_AND_BIND_NAMED_MEMBERS_WITHOUT_RECONSTRUCTING_SUPPLIER_BUILD_HISTORY	CONCRETE_FILENAME_DRIFT;GUI_MULTI_CONSUMER;MATERIAL_RECIPE_DELTA	generic-root-review:26c46ad7612eb40ca721;generic-artifact:c6bc4c9801ee7a45b506;generic-object-review:51683b408de57af1b5c9;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv	NONE_FOR_EXACT_CANDIDATE_ARTIFACT_AND_NAMED_MEMBER_IDENTITY	NONE_RETAIN_EXACT_ARTIFACT_AND_MEMBER_DIGESTS_AT_TRANSFER	CUSTODIAN_BUILD_INVOCATION;FULL_BUILD_ENVIRONMENT;INDEPENDENT_REPRODUCTION	ARTIFACT_DIGEST_MISMATCH;MEMBER_OR_SONAME_MISMATCH;SUPPLIER_OPACITY_AFFECTING_THE_EXACT_IDENTITY_CLAIM	EVIDENCE_SUFFICIENT_FOR_CANDIDATE_IDENTITY_ONLY	CANDIDATE_IDENTITY_ONLY_NO_PROVIDER_OR_TARGET_EFFECT	EXACT_ARTIFACT_IDENTITY_DOES_NOT_IMPLY_ADAPTATION_ACCEPTANCE_PROVIDER_AUTHORITY_OR_TARGET_MEMBERSHIP
PCC-FONTCONFIG-ADAPTATION	ROOT	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	ADAPTATION_SEMANTICS	REFERENCE_RECIPE_EQUIVALENCE_OR_BOUNDED_TERMUX_ANDROID_ADAPTATION	B	PINNED_TERMUX_GLIBC_RECIPE_TREE_AND_PINNED_UPSTREAM_SOURCE	EXACT_RECIPE_PATCH_HOOK_CONFIGURATION_AND_PACKAGING_DELTAS_RELIED_ON_BY_THE_PROJECT	CONCRETE_FILENAME_DRIFT;GUI_MULTI_CONSUMER;MATERIAL_RECIPE_DELTA	generic-root-review:26c46ad7612eb40ca721;recipe_tree=c5c62dc15d6a897251c88cb7c2306b2a12dd16ba;tokens=CUSTOM_TERMUX_STEP;EXTRA_CONFIGURE_ARGS;PACKAGE_REVISION;PATCH_FILE;SUBPACKAGE_SCRIPT;TERMUX_PREFIX_REFERENCE;generic-recipe-binding-and-drift-target-receipt-review.tsv;generic-build-attestation-adaptation-root-evidence-receipt-review.tsv	AD-001_AD-002_AD-003_AD-004_SEMANTIC_DELTA_NECESSITY_AND_OBJECT_IMPACT_REVIEW;CF-001_CF-002_CF-003_CF-004_ALIAS_SUCCESSOR_AND_ROLLBACK_POLICY	AGENT_SEMANTIC_DELTA_REVIEW_WITH_OBJECT_IMPACT_AND_PLATFORM_NECESSITY_CLASSIFICATION;REVIEW_CONSUMER_ALIAS_BINDING_AND_VERSION_DRIFT_POLICY	SUP-02_CUSTODIAN_EXPORT_UNLESS_RECLASSIFICATION_OR_ESCALATION_TRIGGER_REQUIRES_CLASS_C_DEPTH	SEMANTIC_REVIEW_CANNOT_BOUND_GENERATED_OUTPUT;OBSERVED_ARTIFACT_BEHAVIOR_CONFLICTS_WITH_RECIPE;CLAIM_RECLASSIFIED_AS_INDEPENDENT_REPRODUCTION;HIGH_RISK_OUTPUT_REMAINS_OPAQUE	CLASSIFIED_OPEN_REVIEW_REQUIRED	REVIEW_PLAN_ONLY_NO_ADAPTATION_OR_PROVIDER_ACCEPTANCE	RECIPE_TOKEN_PRESENCE_OR_ABSENCE_DOES_NOT_BY_ITSELF_ESTABLISH_PLATFORM_NECESSITY_OR_EQUIVALENCE
PCC-FONTCONFIG-PROVIDER	ROOT	generic-root-review:26c46ad7612eb40ca721	gpkg/fontconfig	PROVIDER_AUTHORITY	PACKAGE_MEMBERS_AUTHORIZED_AS_RUNTIME_PROVIDER_FOR_THEIR_CAPABILITY_SCOPE	B	AUTHORITATIVE_PACKAGE_MEMBERS_FOR_CAPABILITY_PARTITIONS=gtk-gui	PROJECT_SELECTION_AND_INTEGRATION_OF_REFERENCE_MEMBERS_IN_A_CUSTOM_MIXED_WORLD_APPLICATION_RUNTIME	CONCRETE_FILENAME_DRIFT;GUI_MULTI_CONSUMER;MATERIAL_RECIPE_DELTA	generic-root-review:26c46ad7612eb40ca721;generic-artifact:c6bc4c9801ee7a45b506;generic-object-review:51683b408de57af1b5c9;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv;authority-coverage-ledger.tsv;generic-source-authority-boundary.tsv;selected-object-authority-base.tsv	ADAPTATION_CLASSIFICATION;CAPABILITY_NECESSITY_AND_CONSUMER_BINDING;CONFLICT_AND_EXCLUSION_REVIEW;UPDATE_AND_ROLLBACK_BOUNDARY	CAPABILITY_LEVEL_PROVIDER_REVIEW_AFTER_ADAPTATION_CLASSIFICATION_WITH_TARGETED_PASSIVE_CONSUMER_BINDING_ONLY_WHERE_AMBIGUOUS	SUPPLIER_BUILD_PROVENANCE_AS_A_SUBSTITUTE_FOR_PROVIDER_SELECTION_OR_RUNTIME_BINDING	AMBIGUOUS_CONSUMER_BINDING;ABI_OR_SECURITY_CONFLICT;MULTIPLE_NON_EQUIVALENT_PROVIDER_CANDIDATES;NO_OBSERVABLE_FALLBACK;ARTIFACT_MEMBER_RECIPE_OR_CONSUMER_BINDING_CHANGE	CLASSIFIED_OPEN_PROVIDER_AUTHORITY_NOT_ACCEPTED	NO_PROVIDER_COMPOSITION_TARGET_OR_ACTIVATION_EFFECT	PACKAGE_MEMBER_AND_RECIPE_EVIDENCE_DO_NOT_IMPLY_PROVIDER_AUTHORITY_OR_COMPLETE_RUNTIME_COMPOSITION
PCC-FREETYPE-ARTIFACT	ROOT	generic-root-review:af39bbec812180537c5a	gpkg/freetype	ARTIFACT_IDENTITY	EXACT_REFERENCE_ARTIFACT_AND_NAMED_MEMBER_CANDIDATE_IDENTITY	A	AUTHORITATIVE_TERMUX_GLIBC_PACKAGE_REPOSITORY_ARTIFACT	ACQUIRE_RETAIN_HASH_AND_BIND_NAMED_MEMBERS_WITHOUT_RECONSTRUCTING_SUPPLIER_BUILD_HISTORY	GUI_MULTI_CONSUMER;MATERIAL_RECIPE_DELTA	generic-root-review:af39bbec812180537c5a;generic-artifact:8e1d9d34f13c6c95aba5;generic-object-review:4f7fe5692de493966070;generic-artifact-member-comparison-artifacts.tsv;generic-recipe-binding-and-drift-target-receipt-review.tsv	NONE_FOR_EXACT_CANDIDATE_ARTIFACT_AND_NAMED_MEMBER_IDENTITY	NONE_RETAIN_EXACT_ARTIFACT_AND_MEMBER_DIGESTS_AT_TRANSFER	CUSTODIAN_BUILD_INVOCATION;FULL_BUILD_ENVIRONMENT;INDEPENDENT_REPRODUCTION	ARTIFACT_DIGEST_MISMATCH;MEMBER_OR_SONAME_MISMATCH;SUPPLIER_OPACITY_AFFECTING_THE_EXACT_IDENTITY_CLAIM	EVIDENCE_SUFFICIENT_FOR_CANDIDATE_IDENTITY_ONLY	CANDIDATE_IDENTITY_ONLY_NO_PROVIDER_OR_TARGET_EFFECT	EXACT_ARTIFACT_IDENTITY_DOES_NOT_IMPLY_ADAPTATION_ACCEPTANCE_PROVIDER_AUTHORITY_OR_TARGET_MEMBERSHIP
