composition_gap_id	selected_evidence_row_id	identity_label	lookup_name	soname	package_or_source	version	root_mapping	gap_class	priority_tranche	blocker_reason	minimum_next_action	authority_effect
COMP-GAP-001	selected:bcc68afe696f548e1b77	libatk-bridge-2.0.so.0.0.0	libatk-bridge-2.0.so.0	libatk-bridge-2.0.so.0	libatk-bridge2.0-0t64:arm64	2.56.2-1+deb13u1	NONE_REVIEWED_ROOT	NO_ACCEPTED_TERMUX_PROVIDER_CANDIDATE_OR_OUTSIDE_28_ROOTS	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-002	selected:292a5f56eeea3bd65c4b	libatk-1.0.so.0.25611.1	libatk-1.0.so.0	libatk-1.0.so.0	libatk1.0-0t64:arm64	2.56.2-1+deb13u1	NONE_REVIEWED_ROOT	NO_ACCEPTED_TERMUX_PROVIDER_CANDIDATE_OR_OUTSIDE_28_ROOTS	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-003	selected:36e7af00d16415ae9efa	libatspi.so.0.0.1	libatspi.so.0	libatspi.so.0	libatspi2.0-0t64:arm64	2.56.2-1+deb13u1	NONE_REVIEWED_ROOT	NO_ACCEPTED_TERMUX_PROVIDER_CANDIDATE_OR_OUTSIDE_28_ROOTS	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-004	selected:e8ccf42491e69aba6284	libcairo-gobject.so.2.11804.4	libcairo-gobject.so.2	libcairo-gobject.so.2	libcairo-gobject2:arm64	1.18.4-1+b1	gpkg/libcairo	OPEN_REVIEWED_ROOT_PROVIDER_AUTHORITY	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-005	selected:553839925ebeb658612d	libcairo.so.2.11804.4	libcairo.so.2	libcairo.so.2	libcairo2:arm64	1.18.4-1+b1	gpkg/libcairo	OPEN_REVIEWED_ROOT_PROVIDER_AUTHORITY	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-006	selected:33fe337448a19e2c6f2f	libfontconfig.so.1.12.1	libfontconfig.so.1	libfontconfig.so.1	libfontconfig1:arm64	2.15.0-2.3	gpkg/fontconfig	OPEN_REVIEWED_ROOT_PROVIDER_AUTHORITY	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-007	selected:654806f659f7b97ba9d1	libfreetype.so.6.20.2	libfreetype.so.6	libfreetype.so.6	libfreetype6:arm64	2.13.3+dfsg-1+deb13u1	gpkg/freetype	OPEN_REVIEWED_ROOT_PROVIDER_AUTHORITY	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-008	selected:5d210dfa49b6cf4c1077	libfribidi.so.0.4.0	libfribidi.so.0	libfribidi.so.0	libfribidi0:arm64	1.0.16-1	gpkg/fribidi	OPEN_REVIEWED_ROOT_PROVIDER_AUTHORITY	FRIBIDI_BOUNDED_PROVIDER_AUTHORITY	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_FRIBIDI_IDENTITY_CUSTOM_STEP_SEMANTICS_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-009	selected:5de74dd687fd1dd5ee3a	libgraphite2.so.3.2.1	libgraphite2.so.3	libgraphite2.so.3	libgraphite2-3:arm64	1.3.14-2+b1	NONE_REVIEWED_ROOT	NO_ACCEPTED_TERMUX_PROVIDER_CANDIDATE_OR_OUTSIDE_28_ROOTS	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
COMP-GAP-010	selected:3b13f088b32606984a58	libgdk-3.so.0.2417.32	libgdk-3.so.0	libgdk-3.so.0	libgtk-3-0t64:arm64	3.24.49-3	NONE_REVIEWED_ROOT	NO_ACCEPTED_TERMUX_PROVIDER_CANDIDATE_OR_OUTSIDE_28_ROOTS	LATER_GTK_COMPOSITION_TRANCHE	SELECTED_GTK_RUNTIME_IDENTITY_HAS_NO_ACCEPTED_PROVIDER_ROW_IN_CURRENT_COMPOSITION	REVIEW_EXACT_PROVIDER_IDENTITY_ADAPTATION_CONSUMER_BINDING_CONFLICT_UPDATE_AND_ROLLBACK	BLOCKS_COMPOSITION_ACCEPTANCE_AND_TARGET_MANIFEST_GENERATION
