composition_row_id	provider_review_id	recipe_root	artifact_package	artifact_version	member_basename	member_sha256	soname	alias_basename	alias_target_basename	capability_scope	composition_inclusion	inclusion_reason	collision_state	update_boundary	rollback_boundary	authority_effect	prohibited_inference
COMP-LIBEPOXY-PROV-001	LIBEPOXY-PROV-001	gpkg/libepoxy	libepoxy-glibc	1.5.10	libepoxy.so.0.0.0	403f566468fb5212173407d041a660af0ff459841e9b0ca2274e9c28ac98c723	libepoxy.so.0	libepoxy.so.0	libepoxy.so.0.0.0	GTK_3_24_49_X11_GLX_DISPATCH	INCLUDED_SELECTED_GTK_SCOPE	EXACT_SELECTED_GTK_X11_GLX_DISPATCH_PROVIDER_DECISION	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_ARTIFACT_VERSION_SHA_MEMBER_SHA_SONAME_RECIPE_TREE_GTK_TAG_OR_X11_GL_CONSUMER_BINDING_ON_CHANGE;REVIEW_BEFORE_ANY_EGL_WAYLAND_OR_NON_GTK_CONSUMER_SCOPE	BEFORE_MATERIALIZATION_REVOKE_PROVIDER_ROW;AFTER_FUTURE_MATERIALIZATION_REVERSE_SELECTOR_TO_PRIOR_IMMUTABLE_GENERATION_PRESERVING_THE_PREVIOUS_GRAPHICS_PROVIDER_SET	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	DOES_NOT_ACCEPT_EGL_OR_WAYLAND_CAPABILITY_COMPLETE_GL_OR_GRAPHICS_COMPOSITION_TARGET_POPULATION_MATERIALIZATION_ACTIVATION_OR_PRODUCING_BUILD_EQUIVALENCE
COMP-LIBJPEG-PROV-001	LIBJPEG-PROV-001	gpkg/libjpeg-turbo	project-libjpeg-turbo-v6b	3.1.0	libjpeg.so.62.4.0	a537840ef9da6135cb3284bc3b3e0d1fb4f624180a416c2a3964b94714eb7fe5	libjpeg.so.62	libjpeg.so.62	libjpeg.so.62.4.0	EXACT_GDKPIXBUF_2_42_12_JPEG_FILE_AND_MEMORY_DECODE_PROVIDER	INCLUDED_SELECTED_GTK_SCOPE	EXACT_GDKPIXBUF_JPEG_FILE_AND_MEMORY_DECODE_PROVIDER_DECISION	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION_LIBJPEG_SO_8_FAMILY_EXCLUDED	REVIEW_SOURCE_VERSION_SHA_BUILD_OPTIONS_TOOLCHAIN_CANDIDATE_SHA_SONAME_SYMBOL_VERSIONS_CONSUMER_SHA_DT_NEEDED_SYMBOL_SET_RUNTIME_LOADER_CORE_SHIM_FIXTURE_API_OR_OUTPUT_DIGEST_CHANGE	BEFORE_MATERIALIZATION_REVOKE_PROVIDER_ROW;AFTER_FUTURE_MATERIALIZATION_REVERSE_SELECTOR_TO_PRIOR_IMMUTABLE_GENERATION_AND_REMOVE_THE_PROJECT_V6B_MEMBER_FROM_THE_SUCCESSOR_TARGET	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	DOES_NOT_ACCEPT_LIBJPEG_SO_8_ALIAS_ORACLE_BYTES_AS_TARGET_COMPLETE_IMAGE_CODEC_OR_GTK_COMPOSITION_TARGET_POPULATION_MATERIALIZATION_DEPLOYMENT_OR_ACTIVATION
COMP-LIBTASN1-PROV-001	LIBTASN1-PROV-001	gpkg/libtasn1	libtasn1-glibc	4.20.0	libtasn1.so.6.6.4	a66b335b8311c8006067a4b1df490a3ed4fbd68e9d9dd71eedc79e3c46838c0f	libtasn1.so.6	libtasn1.so.6	libtasn1.so.6.6.4	EXTERNAL_ASN1_DER_PROVIDER_FOR_EXACT_LIBGNUTLS_3_8_9_X509_PKCS_AND_TLS_SECURITY_CAPABILITIES	DEFERRED_PROFILE_REQUIREMENT_OPEN	BOUNDED_PROVIDER_ACCEPTED_BUT_GNUTLS_SECURITY_OR_PRINTING_PROFILE_NOT_SELECTED_FOR_CURRENT_GTK_SCOPE	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_ARTIFACT_VERSION_SHA_MEMBER_SHA_SONAME_RECIPE_TREE_EXTERNAL_VS_INCLUDED_MODE_AND_EXACT_LIBGNUTLS_CONSUMER_BINDING_ON_CHANGE	BEFORE_MATERIALIZATION_REVOKE_PROVIDER_ROW;AFTER_FUTURE_MATERIALIZATION_REVERSE_SELECTOR_TO_PRIOR_IMMUTABLE_GENERATION_PRESERVING_THE_PRIOR_LIBGNUTLS_LIBTASN1_SECURITY_PAIR	ACCEPTED_PROVIDER_RETAINED_OUTSIDE_CURRENT_COMPOSITION_NO_TARGET_POPULATION	DOES_NOT_ACCEPT_LIBGNUTLS_ADAPTATION_OR_PROVIDER_AUTHORITY_COMPLETE_SECURITY_COMPOSITION_TARGET_POPULATION_MATERIALIZATION_OR_ACTIVATION
COMP-PANGO-PROV-001-1	PANGO-PROV-001	gpkg/pango	pango-glibc	1.54.0	libpango-1.0.so.0.5400.0	7debdcbc3dec18f7377e53a07a4d14159cde68b4cc07f0ed1c087f9d56268336	libpango-1.0.so.0	libpango-1.0.so.0	libpango-1.0.so.0.5400.0	GTK_3_24_49_TEXT_LAYOUT_PANGOFT2_FONTCONFIG_FREETYPE_AND_PANGOCAIRO_RENDERING	INCLUDED_SELECTED_GTK_SCOPE	ATOMIC_THREE_MEMBER_PANGO_PROVIDER_FAMILY	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_NEW_ARTIFACT_VERSION_SHA_THREE_MEMBER_SHA_SONAME_ALIAS_CHAIN_RECIPE_TREE_GTK_MINIMUM_AND_CONSUMER_BINDING_AS_ONE_FAMILY;CONCRETE_SUFFIX_CHANGE_ALONE_IS_NOT_REJECTION_BUT_REQUIRES_NEW_IMMUTABLE_REVIEW_ROW	BEFORE_MATERIALIZATION_REVOKE_PROVIDER_AND_CONTINUITY_ROWS;AFTER_FUTURE_MATERIALIZATION_REVERSE_SELECTOR_TO_PRIOR_IMMUTABLE_GENERATION_WITH_ALL_THREE_PANGO_OBJECTS_AND_SONAME_ALIASES_ATOMICALLY	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	DOES_NOT_ACCEPT_ORACLE_CONCRETE_FILENAMES_AS_TARGET_PATHS_UNVERSIONED_DEVELOPMENT_ALIASES_PANGOXFT_COMPLETE_TEXT_OR_GTK_COMPOSITION_DEPENDENCY_PROVIDER_AUTHORITY_TARGET_POPULATION_MATERIALIZATION_OR_ACTIVATION
COMP-PANGO-PROV-001-2	PANGO-PROV-001	gpkg/pango	pango-glibc	1.54.0	libpangoft2-1.0.so.0.5400.0	d80ef53ee344d7661acfa9b2fc863a61f24a2ff4f4492162eaa1582d62c2b305	libpangoft2-1.0.so.0	libpangoft2-1.0.so.0	libpangoft2-1.0.so.0.5400.0	GTK_3_24_49_TEXT_LAYOUT_PANGOFT2_FONTCONFIG_FREETYPE_AND_PANGOCAIRO_RENDERING	INCLUDED_SELECTED_GTK_SCOPE	ATOMIC_THREE_MEMBER_PANGO_PROVIDER_FAMILY	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_NEW_ARTIFACT_VERSION_SHA_THREE_MEMBER_SHA_SONAME_ALIAS_CHAIN_RECIPE_TREE_GTK_MINIMUM_AND_CONSUMER_BINDING_AS_ONE_FAMILY;CONCRETE_SUFFIX_CHANGE_ALONE_IS_NOT_REJECTION_BUT_REQUIRES_NEW_IMMUTABLE_REVIEW_ROW	BEFORE_MATERIALIZATION_REVOKE_PROVIDER_AND_CONTINUITY_ROWS;AFTER_FUTURE_MATERIALIZATION_REVERSE_SELECTOR_TO_PRIOR_IMMUTABLE_GENERATION_WITH_ALL_THREE_PANGO_OBJECTS_AND_SONAME_ALIASES_ATOMICALLY	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	DOES_NOT_ACCEPT_ORACLE_CONCRETE_FILENAMES_AS_TARGET_PATHS_UNVERSIONED_DEVELOPMENT_ALIASES_PANGOXFT_COMPLETE_TEXT_OR_GTK_COMPOSITION_DEPENDENCY_PROVIDER_AUTHORITY_TARGET_POPULATION_MATERIALIZATION_OR_ACTIVATION
COMP-PANGO-PROV-001-3	PANGO-PROV-001	gpkg/pango	pango-glibc	1.54.0	libpangocairo-1.0.so.0.5400.0	c5ac95a46ad20c9536c0d63b38e1ee728f2d71e865e5aad6034e65f89f0ba708	libpangocairo-1.0.so.0	libpangocairo-1.0.so.0	libpangocairo-1.0.so.0.5400.0	GTK_3_24_49_TEXT_LAYOUT_PANGOFT2_FONTCONFIG_FREETYPE_AND_PANGOCAIRO_RENDERING	INCLUDED_SELECTED_GTK_SCOPE	ATOMIC_THREE_MEMBER_PANGO_PROVIDER_FAMILY	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_NEW_ARTIFACT_VERSION_SHA_THREE_MEMBER_SHA_SONAME_ALIAS_CHAIN_RECIPE_TREE_GTK_MINIMUM_AND_CONSUMER_BINDING_AS_ONE_FAMILY;CONCRETE_SUFFIX_CHANGE_ALONE_IS_NOT_REJECTION_BUT_REQUIRES_NEW_IMMUTABLE_REVIEW_ROW	BEFORE_MATERIALIZATION_REVOKE_PROVIDER_AND_CONTINUITY_ROWS;AFTER_FUTURE_MATERIALIZATION_REVERSE_SELECTOR_TO_PRIOR_IMMUTABLE_GENERATION_WITH_ALL_THREE_PANGO_OBJECTS_AND_SONAME_ALIASES_ATOMICALLY	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	DOES_NOT_ACCEPT_ORACLE_CONCRETE_FILENAMES_AS_TARGET_PATHS_UNVERSIONED_DEVELOPMENT_ALIASES_PANGOXFT_COMPLETE_TEXT_OR_GTK_COMPOSITION_DEPENDENCY_PROVIDER_AUTHORITY_TARGET_POPULATION_MATERIALIZATION_OR_ACTIVATION
COMP-XORG-PROV-001	XORG-PROV-001	gpkg/libxfixes	libxfixes-glibc	6.0.1	libXfixes.so.3.1.0	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	libXfixes.so.3	libXfixes.so.3	libXfixes.so.3.1.0	GTK_X11_FIXES_AND_SHARED_X_EXTENSION_SUPPORT	INCLUDED_SELECTED_GTK_SCOPE	EXACT_SELECTED_GTK_X11_PROVIDER_DECISION	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_AGAIN_ON_ARTIFACT_VERSION_OR_SHA_CHANGE;MEMBER_SHA_OR_SONAME_CHANGE;RECIPE_TREE_CHANGE;GTK_X11_FEATURE_OR_CONSUMER_BINDING_CHANGE	NO_RUNTIME_MUTATION_IN_THIS_DECISION;FUTURE_MATERIALIZATION_MUST_USE_IMMUTABLE_GENERATION_AND_REVERT_TO_PREVIOUS_GENERATION_OR_REVOKE_THIS_PROVIDER_ROW	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	BOUNDED_PROVIDER_ACCEPTANCE_DOES_NOT_IMPLY_COMPLETE_COMPOSITION_TARGET_MEMBERSHIP_PATH_ALIAS_POLICY_MATERIALIZATION_OR_ACTIVATION
COMP-XORG-PROV-002	XORG-PROV-002	gpkg/libxcomposite	libxcomposite-glibc	0.4.6	libXcomposite.so.1.0.0	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	libXcomposite.so.1	libXcomposite.so.1	libXcomposite.so.1.0.0	GTK_X11_COMPOSITE_EXTENSION_SUPPORT	INCLUDED_SELECTED_GTK_SCOPE	EXACT_SELECTED_GTK_X11_PROVIDER_DECISION	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_AGAIN_ON_ARTIFACT_VERSION_OR_SHA_CHANGE;MEMBER_SHA_OR_SONAME_CHANGE;RECIPE_TREE_CHANGE;GTK_X11_FEATURE_OR_CONSUMER_BINDING_CHANGE	NO_RUNTIME_MUTATION_IN_THIS_DECISION;FUTURE_MATERIALIZATION_MUST_USE_IMMUTABLE_GENERATION_AND_REVERT_TO_PREVIOUS_GENERATION_OR_REVOKE_THIS_PROVIDER_ROW	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	BOUNDED_PROVIDER_ACCEPTANCE_DOES_NOT_IMPLY_COMPLETE_COMPOSITION_TARGET_MEMBERSHIP_PATH_ALIAS_POLICY_MATERIALIZATION_OR_ACTIVATION
COMP-XORG-PROV-003	XORG-PROV-003	gpkg/libxi	libxi-glibc	1.8.2	libXi.so.6.1.0	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	libXi.so.6	libXi.so.6	libXi.so.6.1.0	GTK_X11_INPUT2_DEVICE_AND_GESTURE_SUPPORT	INCLUDED_SELECTED_GTK_SCOPE	EXACT_SELECTED_GTK_X11_PROVIDER_DECISION	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_AGAIN_ON_ARTIFACT_VERSION_OR_SHA_CHANGE;MEMBER_SHA_OR_SONAME_CHANGE;RECIPE_TREE_CHANGE;GTK_X11_FEATURE_OR_CONSUMER_BINDING_CHANGE	NO_RUNTIME_MUTATION_IN_THIS_DECISION;FUTURE_MATERIALIZATION_MUST_USE_IMMUTABLE_GENERATION_AND_REVERT_TO_PREVIOUS_GENERATION_OR_REVOKE_THIS_PROVIDER_ROW	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	BOUNDED_PROVIDER_ACCEPTANCE_DOES_NOT_IMPLY_COMPLETE_COMPOSITION_TARGET_MEMBERSHIP_PATH_ALIAS_POLICY_MATERIALIZATION_OR_ACTIVATION
COMP-XORG-PROV-004	XORG-PROV-004	gpkg/libxinerama	libxinerama-glibc	1.1.5	libXinerama.so.1.0.0	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	libXinerama.so.1	libXinerama.so.1	libXinerama.so.1.0.0	GTK_X11_XINERAMA_MULTIHEAD_SUPPORT	INCLUDED_SELECTED_GTK_SCOPE	EXACT_SELECTED_GTK_X11_PROVIDER_DECISION	NO_ACCEPTED_MEMBER_OR_ALIAS_COLLISION	REVIEW_AGAIN_ON_ARTIFACT_VERSION_OR_SHA_CHANGE;MEMBER_SHA_OR_SONAME_CHANGE;RECIPE_TREE_CHANGE;GTK_X11_FEATURE_OR_CONSUMER_BINDING_CHANGE	NO_RUNTIME_MUTATION_IN_THIS_DECISION;FUTURE_MATERIALIZATION_MUST_USE_IMMUTABLE_GENERATION_AND_REVERT_TO_PREVIOUS_GENERATION_OR_REVOKE_THIS_PROVIDER_ROW	MEMBER_AND_SONAME_ALIAS_PROPOSED_ONLY_NO_TARGET_POPULATION	BOUNDED_PROVIDER_ACCEPTANCE_DOES_NOT_IMPLY_COMPLETE_COMPOSITION_TARGET_MEMBERSHIP_PATH_ALIAS_POLICY_MATERIALIZATION_OR_ACTIVATION
