key	value
schema_version	1
decision_policy	ADR-0005
selected_gtk_identity_count	36
accepted_provider_root_count	17
accepted_member_count	23
included_member_count	22
deferred_member_count	1
unresolved_selected_identity_count	16
reviewed_root_gap_count	7
outside_28_root_gap_count	9
accepted_soname_collision_count	0
accepted_alias_collision_count	0
composition_decision	REVIEWED_BLOCKED_INCOMPLETE
target_manifest_allowed	NO
next_review_tranche	FRIBIDI_BOUNDED_PROVIDER_AUTHORITY
authority_effect	NO_TARGET_POPULATION_MATERIALIZATION_OR_ACTIVATION
