key	value
schema_version	1
review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-COORDINATE-CONTRACT-REVIEW-001
candidate_state	QUALIFIED_NON_MUTATING_AUTHORIZATION_AND_COORDINATE_RECEIPT_CONTRACT_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-COORDINATE-CONTRACT-ACCEPTANCE-OPEN
source_design_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-EVIDENCE-TRANSACTION-DESIGN-ACCEPT-001
source_design_acceptance_sha256	1f60ec5983807d3f0f7527b11db953bf446eed39e1e526df21ad2f6a2812f8dd
source_contract_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPT-001
source_contract_acceptance_sha256	5401f46120d147394932d0004a2a37c761fc6471acaeabd730b90f1e5d859cd1
source_contract_sha256	2223af964e74cc8bb221d13e559e49aaf03abe364985346cb1d8e43973c6640e
source_validation_contract_sha256	0df8d9c7ddc28098ee220ee634a139b04aaa3d241bd36b2a4eb57ef8fbc41198
authorization_required_claim_count	18
coordinate_required_row_count	41
coordinate_required_row_field_count	10
validation_rule_count	30
current_token_count	0
current_coordinate_receipt_count	0
current_coordinate_row_count	0
current_provider_read_count	0
current_populated_local_path_count	0
owner_authorization_issued	NO
coordinate_receipt_issued	NO
local_path_discovery_authorized	NO
provider_byte_read_authorized	NO
evidence_transaction_execution_authorized	NO
local_supply_map_produced	NO
materializer_execution_authorized	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
owner_authorization_token_schema_sha256	27d11e8bb8de3238b49aef77757f0328a2269a156f55fdcbdddcf4dcb4fd411b
coordinate_receipt_schema_sha256	b94c25994ecc26e402607b9e61c0cee796c74b15435bc168a18821def9096f83
validation_contract_sha256	64a6c168e30c7a559387c27d6baa7d3bd49953d7ea304d1bd98e4043cbb57f56
next_action	review-and-accept-non-mutating-selected-provider-local-supply-evidence-authorization-and-coordinate-receipt-contract-boundary
authority_effect	QUALIFIED_NON_MUTATING_INPUT_CONTRACT_CANDIDATE_ONLY
prohibited_inference	SCHEMA_REVIEW_DOES_NOT_ISSUE_A_TOKEN_POPULATE_A_COORDINATE_AUTHORIZE_DISCOVERY_OR_READ_PROVIDER_BYTES_EXECUTE_EVIDENCE_COLLECTION_CREATE_RUNTIME_STATE_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
