key	value
schema_version	1
design_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-DESIGN-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_AUTHORIZATION_ISSUANCE_COORDINATE_PRODUCTION_TRANSACTION_DESIGN_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-DESIGN-ACCEPTANCE-OPEN
source_contract_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-COORDINATE-CONTRACT-ACCEPT-001
source_contract_acceptance_sha256	460a0e5133600a58467b5e736005700d835499476b4e19de147bd08d0507df8c
source_token_schema_sha256	27d11e8bb8de3238b49aef77757f0328a2269a156f55fdcbdddcf4dcb4fd411b
source_coordinate_schema_sha256	b94c25994ecc26e402607b9e61c0cee796c74b15435bc168a18821def9096f83
source_validation_contract_sha256	64a6c168e30c7a559387c27d6baa7d3bd49953d7ea304d1bd98e4043cbb57f56
input_contract_count	14
state_count	18
operation_count	36
failure_contract_count	20
authorization_claim_count	18
coordinate_required_row_count	41
coordinate_required_row_field_count	10
validation_rule_count	30
current_issued_token_count	0
current_coordinate_receipt_count	0
current_coordinate_row_count	0
current_provider_read_count	0
current_live_authority_count	0
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
local_path_discovery_authorized	NO
provider_byte_read_authorized	NO
evidence_transaction_execution_authorized	NO
local_supply_map_produced	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
input_contract_sha256	478d8d31bd93982573aed562515296ae3566f70b8d94db011f83f2bdc97b5880
state_machine_sha256	ae0676c2bc10f8a3c269841b7024025a0a288987726909a489de65ae80d4a6f8
operation_contract_sha256	81a370b8e2fa9f841e05775b9fa72975f0b71b29628a4f08421619aac350fc3f
failure_contract_sha256	7c6f6a8e776042ca50406bfac7fa962ebaecb1110140da57a08713d4f1cdda62
receipt_contract_sha256	d0baba9d3a41bfb7e31de905590a3807aa7843a44addf51b75617c1228d97ac0
next_action	review-and-accept-non-executing-selected-provider-local-supply-evidence-authorization-issuance-and-coordinate-receipt-production-transaction-design-boundary
authority_effect	QUALIFIED_NON_EXECUTING_14_INPUT_18_STATE_36_OPERATION_20_FAILURE_ISSUANCE_COORDINATE_PRODUCTION_TRANSACTION_DESIGN_CANDIDATE_ONLY
prohibited_inference	DESIGN_REVIEW_DOES_NOT_ISSUE_OR_ACTIVATE_A_TOKEN_PRODUCE_OR_ACCEPT_A_LIVE_COORDINATE_RECEIPT_AUTHORIZE_DISCOVERY_OPEN_OR_READ_PROVIDER_BYTES_EXECUTE_EVIDENCE_COLLECTION_CREATE_RUNTIME_STATE_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
