coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	synthetic_case	current_state	authority_effect
INPUT	LSAEP-IN-001	1	load_contract_context	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-002	2	load_contract_context	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-003	3	load_contract_context	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-004	4	load_contract_context	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-005	5	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-006	6	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-007	7	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-008	8	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-009	9	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-010	10	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-011	11	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-012	12	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-013	13	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
INPUT	LSAEP-IN-014	14	execute_synthetic_case	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
STATE	LSAEP-ST-001	1	_state_trace	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
STATE	LSAEP-ST-002	2	_state_trace	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
STATE	LSAEP-ST-003	3	_state_trace	IMPLEMENTATION_CANDIDATE_SYNTHETIC_ONLY	success	MAPPED_NOT_LIVE	ZERO_LIVE_AUTHORITY
