key	value
implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-IMPLEMENTATION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_SYNTHETIC_IMPLEMENTATION_CANDIDATE
implementation_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-IMPLEMENTATION-ACCEPTANCE-OPEN
design_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-DESIGN-ACCEPT-001
design_acceptance_sha256	bf8d2377effb02db5e89c1b388b92f1ab5c9a908df51dc310d0d7eafba270d05
implementation_source_sha256	039593be6144845b8be817bc45144be58c0f9a03bc60278a73748213d269df61
synthetic_fixture_sha256	8a8f16ed58f4964ed553da50d1dfaee8420ddc8b0691a3fac6cf462b1853929e
synthetic_negative_cases_sha256	65d3c7721e522455c6ebfa617c51d60f6d0c1c522c880a5e77f0ed1882a42874
implementation_coverage_sha256	b1abeac98acf9bb583f594ad043a5fa9e24fb6dfd5067e401a4e385b9aa63e93
synthetic_success_sha256	fc0b3ef73ee8df3b7655a9d56e04cf055214bacddf12579498d389f47c2721f8
input_coverage_count	14
state_coverage_count	18
operation_coverage_count	36
failure_coverage_count	20
total_coverage_count	88
authorization_claim_count	18
coordinate_required_row_count	41
coordinate_required_row_field_count	10
validation_rule_count	30
synthetic_success_case_count	1
synthetic_negative_case_count	20
synthetic_coordinate_row_count	41
synthetic_provider_read_count	0
synthetic_write_count	0
current_issued_token_count	0
current_coordinate_receipt_count	0
current_coordinate_row_count	0
current_provider_read_count	0
current_live_authority_count	0
implementation_execution_mode	SYNTHETIC_REPOSITORY_FIXTURE_ONLY
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
local_path_discovery_authorized	NO
provider_byte_read_authorized	NO
evidence_transaction_execution_authorized	NO
local_supply_map_produced	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_IMPLEMENTATION_SOURCE_FIXTURE_COVERAGE_SERIALIZATION_VALIDATION_FAILURE_MAPPING_OUTPUT_SCOPE_OR_AUTHORITY_CHANGE_REQUIRES_NEW_IMPLEMENTATION_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_IMPLEMENTATION_CANDIDATE_ONLY_NO_LIVE_AUTHORITY_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-evidence-authorization-issuance-and-coordinate-receipt-production-transaction-implementation-candidate-boundary
authority_effect	SYNTHETIC_ONLY_IMPLEMENTATION_CANDIDATE_ZERO_LIVE_TOKENS_ZERO_COORDINATES_ZERO_PROVIDER_READS_ZERO_RUNTIME_EFFECT
prohibited_inference	IMPLEMENTATION_REVIEW_DOES_NOT_ISSUE_OR_ACTIVATE_TOKEN_PRODUCE_OR_ACCEPT_LIVE_COORDINATES_SEARCH_OPEN_OR_READ_PROVIDER_BYTES_EXECUTE_EVIDENCE_COLLECTION_CREATE_RUNTIME_STATE_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
