key	value
schema_version	1
contract_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-LIVE-INPUT-ADAPTER-EXECUTION-AUTHORIZATION-CONTRACT-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_LIVE_INPUT_ADAPTER_EXECUTION_AUTHORIZATION_CONTRACT_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-LIVE-INPUT-ADAPTER-EXECUTION-AUTHORIZATION-CONTRACT-ACCEPTANCE-OPEN
source_implementation_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-IMPLEMENTATION-ACCEPT-001
source_implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-IMPLEMENTATION-REVIEW-001
source_implementation_sha256	039593be6144845b8be817bc45144be58c0f9a03bc60278a73748213d269df61
source_authorization_coordinate_contract_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-COORDINATE-CONTRACT-ACCEPT-001
source_issuance_design_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-AUTHORIZATION-ISSUANCE-COORDINATE-PRODUCTION-DESIGN-ACCEPT-001
source_local_supply_map_contract_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-CONTRACT-ACCEPT-001
source_evidence_design_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-MAP-EVIDENCE-TRANSACTION-DESIGN-ACCEPT-001
adapter_contract_sha256	2e80bcb77b97b5ecc52304a9ef3693b123cb13dc74a7bc9c94dc1be557e82213
execution_authorization_schema_sha256	91cd60dbc10fd0d0d1e644011b1d5f4f06e903744e81982dc088264836757a20
validation_contract_sha256	408c213c941f8670129bf2e07da02ea06886895ee5c39e748d748b54e0993503
state_machine_sha256	6dcbc03906f755e836c7dd83f679b0202c6b219afcfa0afe5f254da88ed64d7b
operation_contract_sha256	912786adf77ef9beeaec22f3208b742a79ae3edcb33730e1267148be86266a66
failure_contract_sha256	a031e35872a8d2e0ad71e888a0040574bf6560b7b256ac5d7680cfb36c013e76
receipt_contract_sha256	0acb6152d3afa1397841c453d8b2cc6a72f3cbbd05bead51ee02596aafadf55b
explicit_input_channel_count	10
adapter_envelope_required_field_count	20
execution_authorization_required_claim_count	27
validation_rule_count	37
state_count	18
operation_count	32
failure_count	20
coordinate_required_row_count	41
coordinate_required_row_field_count	10
maximum_provider_bytes	29047112
maximum_result_receipt_bytes	1048576
current_live_input_count	0
current_adapter_envelope_count	0
current_execution_authorization_count	0
current_provider_read_count	0
current_write_count	0
current_live_authority_count	0
synthetic_implementation_role	IMMUTABLE_SEMANTIC_AND_REGRESSION_ORACLE_ONLY_NOT_LIVE_EXECUTOR
live_to_synthetic_path_rewrite	FORBIDDEN
future_adapter_implementation_authorized	NO
execution_authorization_issuance_authorized	NO
provider_byte_read_authorized	NO
evidence_transaction_execution_authorized	NO
local_supply_map_produced	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_SCHEMA_FIELD_INPUT_CHANNEL_BINDING_VALIDATION_STATE_OPERATION_FAILURE_RECEIPT_RESOURCE_REPLAY_REVOCATION_SYNTHETIC_BOUNDARY_OR_AUTHORITY_CHANGE_REQUIRES_NEW_CLASS_D_CONTRACT_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_CONTRACT_CANDIDATE_ONLY_NO_LIVE_INPUT_PROVIDER_READ_WRITE_OR_RUNTIME_STATE_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-evidence-live-input-adapter-and-execution-authorization-contract-candidate-boundary
authority_effect	CONTRACT_CANDIDATE_ONLY_ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
prohibited_inference	CONTRACT_REVIEW_DOES_NOT_SUPPLY_OR_ACCEPT_LIVE_INPUTS_ISSUE_OR_ACTIVATE_TOKENS_PRODUCE_COORDINATES_INVOKE_THE_SYNTHETIC_IMPLEMENTATION_WITH_LIVE_INPUT_REWRITE_LIVE_PATHS_SEARCH_OPEN_OR_READ_PROVIDER_BYTES_EXECUTE_EVIDENCE_COLLECTION_CREATE_RUNTIME_STATE_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
