key	value
schema_version	1
implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-LIVE-INPUT-ADAPTER-EXECUTION-AUTHORIZATION-IMPLEMENTATION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_SYNTHETIC_LIVE_INPUT_ADAPTER_EXECUTION_AUTHORIZATION_IMPLEMENTATION_CANDIDATE
implementation_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-LIVE-INPUT-ADAPTER-EXECUTION-AUTHORIZATION-IMPLEMENTATION-ACCEPTANCE-OPEN
contract_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-EVIDENCE-LIVE-INPUT-ADAPTER-EXECUTION-AUTHORIZATION-CONTRACT-ACCEPT-001
contract_acceptance_sha256	2b5646bc1987b7ec01fac5c0a44cf5247b2e0850463db21956cbcac3b0547dac
implementation_source_sha256	2a2d50f8cd93acd6dc4bb06e6c9380c1539b7bdb879c4ed05fbb0c57fbc1d309
synthetic_fixture_sha256	3620d96d70f7b7794e77353465aee5c8545ead955268729510154aefe52fbc11
synthetic_negative_cases_sha256	cc8644526a810cd5a8beb1fca9f6713e95ae06bc44ef3e44742b818c34aa1db3
implementation_coverage_sha256	3c4277e9a036023b409a156a2712edfe086599fa7cbb9e77bfa4171649235908
synthetic_success_sha256	0ac8eed9e3c6315dcabdab47ebff7e0c0f2fd52b4ac4fbcfca9edf50f1872af5
explicit_input_coverage_count	10
adapter_envelope_field_coverage_count	20
execution_authorization_claim_coverage_count	27
validation_coverage_count	37
state_coverage_count	18
operation_coverage_count	32
failure_coverage_count	20
total_coverage_count	164
synthetic_success_case_count	1
synthetic_negative_case_count	20
synthetic_coordinate_row_count	41
synthetic_coordinate_row_field_count	10
synthetic_provider_read_count	0
synthetic_write_count	0
current_live_input_count	0
current_adapter_envelope_count	0
current_execution_authorization_count	0
current_provider_read_count	0
current_write_count	0
current_live_authority_count	0
implementation_execution_mode	SYNTHETIC_REPOSITORY_FIXTURE_ONLY
synthetic_implementation_role	IMMUTABLE_SEMANTIC_AND_REGRESSION_ORACLE_ONLY_NOT_LIVE_EXECUTOR
accepted_synthetic_cli_invocation	FORBIDDEN_NOT_PERFORMED
live_to_synthetic_path_rewrite	FORBIDDEN_NOT_PERFORMED
execution_replay_consumption	VALIDATED_IN_MEMORY_ONLY_NOT_PERSISTED
evidence_delegation	NOT_EXECUTED_SEPARATE_READ_ONLY_IMPLEMENTATION_ACCEPTANCE_REQUIRED
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
execution_authorization_issuance_authorized	NO
local_path_discovery_authorized	NO
provider_byte_read_authorized	NO
evidence_transaction_execution_authorized	NO
local_supply_map_produced	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_IMPLEMENTATION_SOURCE_FIXTURE_COVERAGE_SERIALIZATION_VALIDATION_REPLAY_DELEGATION_OUTPUT_OR_AUTHORITY_CHANGE_REQUIRES_NEW_IMPLEMENTATION_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_IMPLEMENTATION_CANDIDATE_ONLY_NO_LIVE_INPUT_PROVIDER_READ_WRITE_OR_RUNTIME_STATE_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-evidence-live-input-adapter-and-execution-authorization-implementation-candidate-boundary
authority_effect	SYNTHETIC_ONLY_IMPLEMENTATION_CANDIDATE_ZERO_LIVE_INPUTS_ZERO_PROVIDER_READS_ZERO_WRITES_ZERO_LIVE_AUTHORITY
prohibited_inference	IMPLEMENTATION_REVIEW_DOES_NOT_ACCEPT_LIVE_INPUTS_ISSUE_OR_ACTIVATE_AUTHORIZATION_REWRITE_LIVE_PATHS_INVOKE_THE_ACCEPTED_SYNTHETIC_CLI_SEARCH_OPEN_OR_READ_PROVIDER_BYTES_PERSIST_REPLAY_EXECUTE_EVIDENCE_COLLECTION_CREATE_RUNTIME_STATE_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
