coverage_kind	source_id	sequence	input_class	collection_action	isolated_case	current_state	authority_effect
INPUT	LSLA-IN-001	1	SOURCE_ISSUANCE_ACCEPTANCE	VERIFY_REPOSITORY_DIGEST_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-002	2	SOURCE_ADAPTER_ACCEPTANCE	VERIFY_REPOSITORY_DIGEST_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-003	3	SOURCE_EVIDENCE_DESIGN_ACCEPTANCE	VERIFY_REPOSITORY_DIGEST_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-004	4	SOURCE_ORCHESTRATION_ACCEPTANCE	VERIFY_REPOSITORY_DIGEST_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-005	5	OWNER_ACTIVATION_DECISION	CANONICAL_READ_AND_DIGEST_SEAL_ISOLATED_FIXTURE_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-006	6	OWNER_AUTHORIZATION_TOKEN	CANONICAL_READ_AND_DIGEST_SEAL_ISOLATED_FIXTURE_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-007	7	COORDINATE_RECEIPT	CANONICAL_READ_AND_DIGEST_SEAL_ISOLATED_FIXTURE_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-008	8	REVOCATION_DOCUMENT	CANONICAL_READ_AND_DIGEST_SEAL_ISOLATED_FIXTURE_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-009	9	EXECUTION_AUTHORIZATION	CANONICAL_READ_AND_DIGEST_SEAL_ISOLATED_FIXTURE_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-010	10	TRANSACTION_PACKAGE	VERIFY_EXPLICIT_MANIFEST_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-011	11	REPOSITORY_BASELINE	CAPTURE_GIT_HEAD_AND_TREE	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-012	12	REMOTE_BASELINE	CAPTURE_EXPLICIT_ORIGIN_MAIN_HEAD	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-013	13	EXECUTOR_IDENTITY	CAPTURE_UID_GID_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-014	14	TRUSTED_TIME	SEAL_DOCUMENT_FIELD_ONLY_NO_CLOCK_AUTHORITY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-015	15	REPLAY_REGISTRY	LSTAT_METADATA_ONLY_NO_OPEN_READ_WRITE	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-016	16	PROTECTED_STATE_BOUNDARY	RECORD_CALLER_SUPPLIED_SNAPSHOT_DIGESTS_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-017	17	ORCHESTRATION_ENTRYPOINT	VERIFY_REPOSITORY_DIGEST_ONLY_NOT_INVOKED	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-018	18	RESOURCE_LIMITS	SEAL_DOCUMENT_CLAIMS_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-019	19	EVIDENCE_OUTPUT_ROOT	WRITE_EXACT_ISOLATED_ENVELOPE_AND_SIDECAR_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
INPUT	LSLA-IN-020	20	OPERATOR_INVOCATION	VERIFY_EXPLICIT_ORDERED_ARGUMENTS_ONLY	success	ISOLATED_FIXTURE_ONLY_NOT_LIVE_INPUT	ZERO_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_PROJECT_REPLAY_OPENS_READS_WRITES_LIVE_AUTHORITY
