key	value
schema_version	1
collection_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-EXACT-INPUT-SET-COLLECTION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_EXACT_INPUT_SET_COLLECTION_SEALING_CANDIDATE
collection_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-EXACT-INPUT-SET-COLLECTION-ACCEPTANCE-OPEN
owner_activation_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-OWNER-ACTIVATION-ACCEPT-001
implementation_source_sha256	bcbd471b781a9843ba50da269c9686d928a638ede3f440bac5eda9b57bc58b3c
isolated_fixture_plan_sha256	f983c10db472d2aa2dd969e1366b147b421498386416353bf1840e17e1439496
negative_cases_sha256	74a1168fbf1e3346b99366bb34564fa09a5d5186bfd61f29dce82af6d804bf95
collection_coverage_sha256	d5ce14debc372cb8fc2049d869ff3be1bfeb60c25e828a9875a95e17906e855c
isolated_success_sha256	b9c844973f7203cb74e106da0ec6e6889a0898304bf2944b822127d5c196edd7
input_contract_coverage_count	20
isolated_success_case_count	1
isolated_negative_case_count	20
isolated_document_role_count	5
isolated_coordinate_row_count	41
isolated_coordinate_metadata_field_count	10
isolated_document_open_count	5
isolated_document_read_count	5
isolated_provider_lstat_count	41
isolated_replay_lstat_count	1
isolated_repository_metadata_capture_count	2
isolated_remote_metadata_capture_count	1
isolated_executor_identity_capture_count	1
isolated_envelope_write_count	2
selected_provider_open_count	0
selected_provider_read_count	0
provider_byte_count	0
project_replay_open_count	0
project_replay_read_count	0
project_replay_write_count	0
current_live_document_count	0
current_execution_authorization_count	0
current_local_supply_map_count	0
current_live_authority_count	0
provider_open_gate_armed	NO
accepted_transaction_count	1
consumed_transaction_count	0
remaining_transaction_count	1
execution_mode	ISOLATED_FIXTURE_DOCUMENT_SEALING_PROVIDER_AND_REPLAY_LSTAT_ONLY_NO_LIVE_EXECUTION
live_input_set_accepted	NO
execution_authorized	NO
next_action	review-and-accept-non-executing-selected-provider-local-supply-live-authority-transaction-exact-input-set-collection-candidate-boundary
authority_effect	PRODUCTION_CAPABLE_ISOLATED_FIXTURE_COLLECTION_SEALING_CANDIDATE_20_INPUTS_1_SUCCESS_20_FAIL_CLOSED_5_DOCUMENT_READS_41_PROVIDER_LSTATS_1_REPLAY_LSTAT_2_ENVELOPE_WRITES_ZERO_PROVIDER_CONTENT_REPLAY_OR_LIVE_AUTHORITY
prohibited_inference	CANDIDATE_REVIEW_DOES_NOT_CONSUME_OWNER_TRANSACTION_ACCEPT_LIVE_INPUTS_DISCOVER_PROVIDER_PATHS_OPEN_OR_READ_PROVIDER_CONTENT_OPEN_READ_OR_WRITE_PROJECT_REPLAY_EXECUTE_OR_ARM_PROVIDER_GATE
