key	value
schema_version	1
implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-IMPLEMENTATION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_SYNTHETIC_LIVE_AUTHORITY_TRANSACTION_IMPLEMENTATION_CANDIDATE
implementation_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-IMPLEMENTATION-ACCEPTANCE-OPEN
design_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-DESIGN-ACCEPT-001
design_acceptance_sha256	66694ffeae86f7e9138597eadc9eb9ed1f0cf4f4347ae7ae0fb53efcc104aa76
implementation_source_sha256	031fe38849d46c36c99f66d2feb9792de0b3ce88ae71cec0a578dd33541b9ce2
synthetic_fixture_sha256	45f920969ed277baf48d0a24ebc419c31ac86d1d01ca82b292a08bd94ce4c64a
synthetic_negative_cases_sha256	9d680791b66507507b0886ff71f3b43749283d36dd8bb0349053a9abcd46d748
implementation_coverage_sha256	1f0887ce0fe90281a21fee0a72afbbb43a86cf9b9232c1e7bee4765c92f831b9
synthetic_success_sha256	d37fed8c7616967b7254ec1bdddb95cbd80d8cd850593840b4591070813abdd5
input_coverage_count	20
state_coverage_count	26
operation_coverage_count	52
failure_coverage_count	30
total_coverage_count	128
inherited_semantic_coverage_count	448
synthetic_success_case_count	1
synthetic_negative_case_count	30
synthetic_live_document_role_count	5
synthetic_coordinate_row_count	41
synthetic_coordinate_row_field_count	10
synthetic_replay_tuple_field_count	10
synthetic_live_document_count	0
synthetic_execution_authorization_count	0
synthetic_replay_write_count	0
synthetic_selected_provider_open_count	0
synthetic_selected_provider_read_count	0
synthetic_provider_byte_count	0
synthetic_local_supply_map_count	0
synthetic_live_authority_count	0
implementation_execution_mode	SYNTHETIC_REPOSITORY_FIXTURE_ONLY_DOCUMENT_AND_STATE_MODEL_NO_LIVE_INPUTS_OR_EFFECTS
accepted_orchestration_invocation	FORBIDDEN_NOT_IMPORTED_NOT_INVOKED
accepted_synthetic_oracle_invocation	FORBIDDEN_NOT_IMPORTED_NOT_INVOKED
owner_activation_authorized	NO
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
execution_authorization_issuance_authorized	NO
replay_registry_opened	NO
replay_persistence_performed	NO
provider_open_gate_armed	NO
local_path_discovery_authorized	NO
provider_byte_read_authorized	NO
local_supply_map_produced	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_IMPLEMENTATION_SOURCE_FIXTURE_COVERAGE_DOCUMENT_REPLAY_MODEL_SERIALIZATION_OR_AUTHORITY_CHANGE_REQUIRES_NEW_IMPLEMENTATION_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_IMPLEMENTATION_CANDIDATE_ONLY_NO_LIVE_DOCUMENT_REPLAY_PROVIDER_OR_RUNTIME_STATE_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-live-authority-transaction-implementation-candidate-boundary
authority_effect	SYNTHETIC_ONLY_128_ROW_LIVE_AUTHORITY_TRANSACTION_IMPLEMENTATION_CANDIDATE_1_SUCCESS_30_FAIL_CLOSED_5_DOCUMENT_ROLES_41_COORDINATE_ROWS_10_REPLAY_FIELDS_ZERO_CURRENT_AUTHORITY
prohibited_inference	IMPLEMENTATION_REVIEW_DOES_NOT_ACCEPT_OR_CONSUME_LIVE_DOCUMENTS_WRITE_REPLAY_STATE_ARM_PROVIDER_OPEN_GATE_OPEN_OR_READ_SELECTED_PROVIDER_PATHS_EXECUTE_ORCHESTRATION_PRODUCE_A_LOCAL_MAP_CREATE_A_GENERATION_ROOT_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
