key	value
schema_version	1
review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-PRODUCTION-EXACT-INPUT-SET-CORRECTION-BOOTSTRAP-REVIEW-001
decision	QUALIFIED_EXACT_PRODUCTION_BOOTSTRAP_COLLECTION_PROMOTION_CANDIDATE
acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-PRODUCTION-EXACT-INPUT-SET-CORRECTION-BOOTSTRAP-ACCEPTANCE-OPEN
result_archive_remote	gdrive:ChatGPT-Agent-Exchange/termux-native-desktop/user-results/termux-native-desktop-local-supply-live-authority-transaction-production-exact-input-set-correction-bootstrap-v151-20260731T162036Z-results.tar.zst
result_archive_sha256	55807be078f3861de6d7f596cb3dcfeefabd8acd122de77e9cae8ba32e65b77d
result_archive_size_bytes	133157
result_drive_file_id	1YVYOLqptqpkCFP5u5JM8Uhm7wasDbdqF
transaction_id	LSLA-PROD-COLLECT-20260731T162143Z
result_index_sha256	34c7f629ea17b8f588106edb8380552feba20b1297cc481e4a8193da3a35cbfa
bootstrap_summary_sha256	29ddd519e8c7d6b696c8043e1faa67a2005a61a407a544e6deba2900a86b6689
bootstrap_review_sha256	d1987ecdc7617d4058a70f173b7c344fd77b122893ebdf2521112bb523f7caee
protected_state_invariance_sha256	625a92b189bed09956f0a408c29945dd8f4bd2e813d9874bac7a97c07e341996
package_self_test_sha256	859f409e10a289ce7ed87972ca2c9857abd10a8d0cb09be4a71645a951aab995
bootstrap_self_test_sha256	6982ae0afb2943620651244331eb747e6e57499a3768888a05066972b1e7fb41
exact_input_set_manifest_file_sha256	f2b9c16a5a777db2f3a7502bce5fbea1ec160aaa155b7a37d4eca9d6b738148a
exact_input_set_manifest_seal_sha256	5e7fc31d367ad5c6bdb545cf20b89a69c1e996de594f12299f8c4b1d162e05f0
exact_input_set_envelope_file_sha256	137ef637968acf3a2f587718b650bc1361cccc0e4a90030a6ba1ee4d5cb8205b
exact_input_set_envelope_seal_sha256	ad1476934dd594033cde55a43ce7c80441aa701ecab025845b4aeb64d8480d70
coordinate_receipt_file_sha256	0f9229b2d028e7ff00567c62e9802c737be294396e42fa281f9a17a33d3b47eb
coordinate_receipt_seal_sha256	d0754dd1e801f3a9a76891e74fe0bc816c662e4922e6aa1f28b7544aee471caa
owner_activation_document_seal_sha256	ef3fde3799b714aa4e3eb46e2fe29d2bed002df39681c6d8c6034fef81c5274d
owner_authorization_token_seal_sha256	6962d18b98446545a35544b4c0ab4a13516a4bb80ae432af021d895b7cdf1dd2
execution_authorization_seal_sha256	f2612ff021c9c49ba1889c81b1db3be79bf6a92c2643d2261b1c397b013a714e
revocation_document_seal_sha256	d185ecf3cad240f0de45e93d8e4e9afeef4e6b0892989bfe0fdf4da288db2000
trusted_time_evidence_seal_sha256	89eff6ef77715e092749a1bf55760593ea46c472271025a1cf4dc5a7a9dad6ed
initial_replay_registry_baseline_file_sha256	98aaacb222b3ca66ddd9ea8f8e2a2344e7f77a58f5253647b834b37c6331ad6e
provider_members_tsv_sha256	dc446494dfe9dd55e73749f82b0df0db0ba00b11e732e85d92d608977b8c06e4
source_archives_tsv_sha256	024f9d35c0da1a95fbde2398d75f81fff930213ad2f19d74dde35f2dafb70763
review_tsv_sha256	77d8f5cc50e3bfa69d42182822b9dc51765927cf22085ce9030124357f1e5eb9
provider_member_count	41
provider_byte_count	29047112
byte_carrier_count	33
source_archive_count	9
accepted_transaction_count	1
consumed_transaction_count	1
remaining_transaction_count	0
current_live_authority_count	0
provider_open_gate_state	CLOSED_NOT_AUTHORIZED
execution_authorization_state	COLLECTION_ONLY_EXPIRED_WITH_TRANSACTION
local_supply_map_state	NOT_PRODUCED_NOT_AUTHORIZED
target_population_state	NOT_AUTHORIZED_UNPOPULATED
next_action	review-and-accept-selected-provider-local-supply-live-authority-transaction-production-exact-input-set-correction-bootstrap-boundary
authority_effect	QUALIFIED_EXACT_V151_PRODUCTION_BOOTSTRAP_COLLECTION_PROMOTION_CANDIDATE_9_SOURCES_33_CARRIERS_41_MEMBERS_29047112_BYTES_OWNER_1_1_0_ZERO_LIVE_AUTHORITY
prohibited_inference	REVIEW_DOES_NOT_AUTHORIZE_ANOTHER_OWNER_TRANSACTION_PROVIDER_LIVE_OPEN_READ_PROJECT_REPLAY_ACCESS_LOCAL_SUPPLY_MAP_TARGET_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_ACTIVATION_OR_LIVE_EXECUTION
