sequence	contract_row_id	provider_object_id	member_basename	expected_soname	expected_member_size_bytes	expected_member_sha256	observed_sha256	artifact_package	artifact_version	source_result_sha256	source_drive_file_id	byte_carrier_kind	byte_carrier_coordinate	byte_carrier_artifact_sha256	byte_carrier_artifact_size	byte_carrier_repository_filename	source_container_locator	source_member_locator	elf64	aarch64	little_endian	shared_object	soname
1	LSM-CONTRACT-001	object:1f478bf11bbe2182f1316611	libXcomposite.so.1.0.0	libXcomposite.so.1	70816	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	1f478bf11bbe2182f1316611d0f0ef56596918d27ce69c3b034dcbd1baee4c2d	libxcomposite-glibc	0.4.6	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-active-dependency-packages/libxcomposite-glibc_0.4.6_aarch64.deb	6dc0ea80780ab017ce1ec52c1c6d827a544f8d74746c1fc2165f67e2600f73bd	10252	libxcomposite-glibc_0.4.6_aarch64.deb	candidate/private-gtk-active-dependency-packages/libxcomposite-glibc_0.4.6_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcomposite.so.1.0.0	YES	YES	YES	YES	YES
2	LSM-CONTRACT-002	object:86e70b94186edb4c16cf00f2	libXcursor.so.1.0.2	libXcursor.so.1	77288	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	86e70b94186edb4c16cf00f2bcea4a03ea09bb486ee6a079dd11d3ef6fffe722	libxcursor-glibc	1.2.3	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-active-dependency-packages/libxcursor-glibc_1.2.3_aarch64.deb	7901dd136016df9d694e38bb17923812f539241475e7ac97935c8dcdfcceb902	31976	libxcursor-glibc_1.2.3_aarch64.deb	candidate/private-gtk-active-dependency-packages/libxcursor-glibc_1.2.3_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXcursor.so.1.0.2	YES	YES	YES	YES	YES
3	LSM-CONTRACT-003	object:391916aff0965656e7b81ece	libXdamage.so.1.1.0	libXdamage.so.1	70712	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	391916aff0965656e7b81ece7766e3b22068462867b1dd88a0a051b3db9c2d7c	libxdamage-glibc	1.1.6	462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	-	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c/evidence/member/libXdamage.so.1.1.0	-	70712	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libXdamage.so.1.1.0	YES	YES	YES	YES	YES
4	LSM-CONTRACT-004	object:271e82cbc4aa3db8ff36ad44	libXfixes.so.3.1.0	libXfixes.so.3	72968	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	271e82cbc4aa3db8ff36ad44735552153b6fbaa787bf59b6ec0b20f63d0f386d	libxfixes-glibc	6.0.1	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-active-dependency-packages/libxfixes-glibc_6.0.1_aarch64.deb	23fe7f6003d9607db6af5c31b995616270c319f2af11ddcd6292facd43b25b66	12832	libxfixes-glibc_6.0.1_aarch64.deb	candidate/private-gtk-active-dependency-packages/libxfixes-glibc_6.0.1_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXfixes.so.3.1.0	YES	YES	YES	YES	YES
5	LSM-CONTRACT-005	object:6f50cad56bb44c7900e69269	libXi.so.6.1.0	libXi.so.6	146048	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	6f50cad56bb44c7900e692697bb5afcdd68c889be0c95eeda3775c8a2ac4de00	libxi-glibc	1.8.2	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-active-dependency-packages/libxi-glibc_1.8.2_aarch64.deb	716705064cc53d3237a377fe4b0620550ed9600417fca5574634e76e2381c295	147052	libxi-glibc_1.8.2_aarch64.deb	candidate/private-gtk-active-dependency-packages/libxi-glibc_1.8.2_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXi.so.6.1.0	YES	YES	YES	YES	YES
6	LSM-CONTRACT-006	object:bff931629d90ef6858b43e6f	libXinerama.so.1.0.0	libXinerama.so.1	70832	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	bff931629d90ef6858b43e6fa3b593b7a646ae8febcc2576e906fc9c397d1e2a	libxinerama-glibc	1.1.5	ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a/result/candidate/private-gtk-active-dependency-packages/libxinerama-glibc_1.1.5_aarch64.deb	e849c9e0a6ea5f42d9cf3421aece4153cae17ed0c5d5df8ef7b9eee4d428db4d	8572	libxinerama-glibc_1.1.5_aarch64.deb	candidate/private-gtk-active-dependency-packages/libxinerama-glibc_1.1.5_aarch64.deb	data/data/com.termux/files/usr/glibc/lib/libXinerama.so.1.0.0	YES	YES	YES	YES	YES
7	LSM-CONTRACT-007	object:55c9c8a3767258bcc1d25640	libatk-1.0.so.0.25611.1	libatk-1.0.so.0	198592	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	55c9c8a3767258bcc1d25640223aa8638ca0fc1bf5a310c7c87de14ad66191d7	at-spi2-core-glibc	2.56.2	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4/evidence/production-package/at-spi2-core-glibc_2.56.2_aarch64.deb	9a1395e893448508cfb8fbdee8ef0dd8268b8d21e9ac7bbe792f163dce6c365a	361092	at-spi2-core-glibc_2.56.2_aarch64.deb	EXISTING_AUTHORITY_RECORD	lib/libatk-1.0.so.0.25611.1	YES	YES	YES	YES	YES
8	LSM-CONTRACT-008	object:cce78fd50cb5b3a19bdc0461	libatk-bridge-2.0.so.0.0.0	libatk-bridge-2.0.so.0	267840	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	cce78fd50cb5b3a19bdc046112c75a2309ad5feda3183e62f538bc1177e72773	at-spi2-core-glibc	2.56.2	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4/evidence/production-package/at-spi2-core-glibc_2.56.2_aarch64.deb	9a1395e893448508cfb8fbdee8ef0dd8268b8d21e9ac7bbe792f163dce6c365a	361092	at-spi2-core-glibc_2.56.2_aarch64.deb	EXISTING_AUTHORITY_RECORD	lib/libatk-bridge-2.0.so.0.0.0	YES	YES	YES	YES	YES
9	LSM-CONTRACT-009	object:e94f2980cf8580634d7ab3c4	libatspi.so.0.0.1	libatspi.so.0	330072	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	e94f2980cf8580634d7ab3c4f9ad2d8713880a1e3614001aed7a63ba6388c874	at-spi2-core-glibc	2.56.2	461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	-	historical-result-contained-package	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4/evidence/production-package/at-spi2-core-glibc_2.56.2_aarch64.deb	9a1395e893448508cfb8fbdee8ef0dd8268b8d21e9ac7bbe792f163dce6c365a	361092	at-spi2-core-glibc_2.56.2_aarch64.deb	EXISTING_AUTHORITY_RECORD	lib/libatspi.so.0.0.1	YES	YES	YES	YES	YES
10	LSM-CONTRACT-010	object:21d47963d42a5b1c4008c88a	libblkid.so.1.1.0	libblkid.so.1	396208	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	21d47963d42a5b1c4008c88a311c17142f57ee2f19cd30770f0befa364908fb3	libblkid-glibc	2.40.2-1	a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	1RZw3iAUiJLRTeVk5XyzJV6FDu4rBKT7-	historical-result-direct-member	/data/data/com.termux/files/home/.cache/hw-t-work/v151-20260731T162036Z/historical-extracts/a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13/termux-native-desktop-gdkpixbuf-exact-util-linux-binding-20260716T151404Z/members/libblkid.so.1.1.0	-	396208	-	EXISTING_AUTHORITY_RECORD	data/data/com.termux/files/usr/glibc/lib/libblkid.so.1.1.0	YES	YES	YES	YES	YES
