coverage_kind	source_id	sequence	implementation_symbol	enforcement_layer	isolated_case	current_state	authority_effect
INPUT	LSLA-IN-001	1	production_input_source_issuance_acceptance	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-002	2	production_input_source_adapter_acceptance	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-003	3	production_input_source_evidence_design_acceptance	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-004	4	production_input_source_orchestration_acceptance	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-005	5	production_input_owner_activation_decision	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-006	6	production_input_owner_authorization_token	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-007	7	production_input_coordinate_receipt	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-008	8	production_input_revocation_document	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-009	9	production_input_execution_authorization	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
INPUT	LSLA-IN-010	10	production_input_transaction_package	ISOLATED_CANONICAL_DOCUMENT_REPLAY_AND_TERMINAL_RECEIPT_IMPLEMENTATION	success	MAPPED_ISOLATED_FIXTURE_NOT_LIVE	ZERO_LIVE_DOCUMENTS_PROJECT_REPLAY_WRITES_SELECTED_PROVIDER_OPENS_READS_PROVIDER_BYTES_LOCAL_MAPS_LIVE_AUTHORITY
