key	value
schema_version	1
production_implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-PRODUCTION-IMPLEMENTATION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_PRODUCTION_CAPABLE_ISOLATED_FIXTURE_LIVE_AUTHORITY_TRANSACTION_IMPLEMENTATION_CANDIDATE
production_implementation_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-PRODUCTION-IMPLEMENTATION-ACCEPTANCE-OPEN
synthetic_implementation_acceptance_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-AUTHORITY-TRANSACTION-IMPLEMENTATION-ACCEPT-001
implementation_source_sha256	06d0f709db999974c5f59aac2afa57e3d04c5fafafb85a5aeecf49293d216e9f
isolated_fixture_plan_sha256	aebf4391419f342e442be52aeb9ab47f85081586ba8ebd4a2630e410a463152b
negative_cases_sha256	a552c889321732bb1a7595c4bb5b3fc1e91bf2ca8d9a77d16435b84ef8a3ddb9
implementation_coverage_sha256	008387e7f9a0ad2e8c8a3d8ed9bddd555bda1daaa45e1fc5a7a94c6a1aac00e9
isolated_success_sha256	a9912f8a04f54d48a40435af6a2675fc9788bc2f3b2ddd9c57d2b60121b79e07
input_coverage_count	20
state_coverage_count	26
operation_coverage_count	52
failure_coverage_count	30
total_coverage_count	128
inherited_semantic_coverage_count	448
isolated_success_case_count	1
isolated_negative_case_count	30
isolated_document_role_count	5
isolated_coordinate_row_count	41
isolated_coordinate_row_field_count	10
isolated_replay_tuple_field_count	10
isolated_document_open_count	5
isolated_document_read_count	5
isolated_replay_open_count	1
isolated_replay_read_count	1
isolated_replay_append_count	2
isolated_result_write_count	2
selected_provider_open_count	0
selected_provider_read_count	0
provider_byte_count	0
project_replay_write_count	0
current_live_document_count	0
current_execution_authorization_count	0
current_local_supply_map_count	0
current_live_authority_count	0
provider_open_gate_armed	NO
execution_mode	ISOLATED_TEMP_AUTHORITY_DOCUMENTS_REPLAY_AND_PROVIDER_METADATA_ONLY_NO_SELECTED_PROVIDER_AUTHORITY
accepted_orchestration_invocation	FORBIDDEN_NOT_IMPORTED_NOT_INVOKED
accepted_synthetic_oracle_invocation	FORBIDDEN_NOT_IMPORTED_NOT_INVOKED
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
execution_authorization_issuance_authorized	NO
project_replay_persistence_authorized	NO
selected_provider_open_authorized	NO
selected_provider_read_authorized	NO
provider_byte_read_authorized	NO
local_supply_map_produced	NO
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_PRODUCTION_SOURCE_FIXTURE_DOCUMENT_REPLAY_RECEIPT_COVERAGE_SERIALIZATION_OR_AUTHORITY_CHANGE_REQUIRES_NEW_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_PRODUCTION_CANDIDATE_ONLY_ISOLATED_TEMP_FIXTURES_ARE_EPHEMERAL_NO_PROJECT_REPLAY_OR_PROVIDER_STATE_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-live-authority-transaction-production-implementation-candidate-boundary
authority_effect	PRODUCTION_CAPABLE_ISOLATED_FIXTURE_ONLY_128_ROW_TRANSACTION_IMPLEMENTATION_1_SUCCESS_30_FAIL_CLOSED_5_DOCUMENTS_41_COORDINATES_2_REPLAY_APPENDS_2_RESULT_WRITES_ZERO_SELECTED_PROVIDER_AND_LIVE_AUTHORITY
prohibited_inference	REVIEW_DOES_NOT_ACCEPT_OR_CONSUME_LIVE_DOCUMENTS_WRITE_PROJECT_REPLAY_STATE_ARM_PROVIDER_OPEN_GATE_OPEN_OR_READ_SELECTED_PROVIDER_PATHS_INVOKE_ORCHESTRATION_PRODUCE_A_LOCAL_MAP_CREATE_A_GENERATION_ROOT_POPULATE_MATERIALIZE_PUBLISH_DEPLOY_OR_ACTIVATE
