key	value
schema_version	1
implementation_review_id	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-EVIDENCE-ORCHESTRATION-PRODUCTION-IMPLEMENTATION-REVIEW-001
candidate_state	QUALIFIED_NON_EXECUTING_PRODUCTION_CAPABLE_ISOLATED_FIXTURE_LIVE_EVIDENCE_ORCHESTRATION_IMPLEMENTATION_CANDIDATE
implementation_acceptance_gate	SELECTED-PROVIDER-LOCAL-SUPPLY-LIVE-EVIDENCE-ORCHESTRATION-PRODUCTION-IMPLEMENTATION-ACCEPTANCE-OPEN
implementation_source_sha256	4809c979a7ff07aad1aef754e625725ed9118e698f3661278ed32dd2a90d6300
isolated_fixture_plan_sha256	2c481b02e61e89c6033881577704a379fa1f36e0e9225648d9d9c1b01740f804
negative_cases_sha256	e321a4631761c0c0876cc34b7f58f03e653f99e4e8f4831ffd7d2d509b1522a5
implementation_coverage_sha256	47e89a7b13520da2dc5d5b7546211ebb113483824790eb17e7880bf1462a5b70
isolated_fixture_success_sha256	eda35bdf226c0e21196bc4dd723de76fb6f444e5d01ad8b05016289c112c327d
explicit_input_coverage_count	18
state_coverage_count	24
operation_coverage_count	48
failure_coverage_count	28
total_coverage_count	118
inherited_issuance_implementation_coverage_count	88
inherited_adapter_implementation_coverage_count	164
inherited_evidence_implementation_coverage_count	78
inherited_total_semantic_coverage_count	330
isolated_success_case_count	1
isolated_negative_case_count	28
isolated_coordinate_row_count	41
isolated_coordinate_row_field_count	10
isolated_fixture_open_count	41
isolated_fixture_read_count	41
selected_provider_open_count	0
selected_provider_read_count	0
candidate_filesystem_write_count	0
persistent_replay_write_count	0
in_memory_replay_tuple_consumed	1
current_live_authority_count	0
local_supply_map_produced	NO
execution_mode	ISOLATED_TEMP_FIXTURE_ONLY_NOT_SELECTED_PROVIDER_AUTHORITY
production_surfaces	EXPLICIT_CANONICAL_DOCUMENTS_DIGEST_REPOSITORY_REMOTE_EXECUTOR_TIME_REPLAY_FIRST_OPEN_COMPONENT_LSTAT_O_NOFOLLOW_FSTAT_STREAMING_SHA256_ELF64_AARCH64_DT_SONAME_WHOLE_MAP_PROTECTED_STATE
selected_provider_path_policy	DENY_ALL_CURRENT_CANDIDATE_EXECUTIONS
accepted_synthetic_cli_invocation	FORBIDDEN_NOT_IMPORTED_NOT_INVOKED
live_to_synthetic_rewrite	FORBIDDEN
replay_persistence	MEMORY_ONLY_TEST_INTERFACE_NO_PERSISTENT_WRITE
live_execution_authorized	NO
owner_authorization_issuance_authorized	NO
coordinate_receipt_production_authorized	NO
execution_authorization_issuance_authorized	NO
provider_byte_read_authorized	NO_SELECTED_PROVIDER_ISOLATED_FIXTURE_ONLY
generation_root_creation_authorized	NO
target_population_authorized	NO
materialization_authorized	NO
publication_authorized	NO
deployment_authorized	NO
activation_authorized	NO
update_boundary	ANY_SOURCE_FIXTURE_PLAN_COVERAGE_SERIALIZATION_FILESYSTEM_SURFACE_OUTPUT_SCOPE_OR_AUTHORITY_CHANGE_REQUIRES_NEW_PRODUCTION_IMPLEMENTATION_REVIEW
rollback_boundary	REMOVE_UNACCEPTED_CANDIDATE_ONLY_NO_SELECTED_PROVIDER_PATH_OPEN_READ_WRITE_OR_LIVE_AUTHORITY_EXISTS
next_action	review-and-accept-non-executing-selected-provider-local-supply-live-evidence-orchestration-production-implementation-candidate-boundary
authority_effect	PRODUCTION_CAPABLE_ORCHESTRATION_CANDIDATE_118_COVERAGE_1_SUCCESS_28_FAIL_CLOSED_41_ISOLATED_FILE_OPENS_READS_ZERO_SELECTED_PROVIDER_OPENS_READS_ZERO_FILESYSTEM_WRITES_ZERO_LIVE_AUTHORITY
prohibited_inference	CANDIDATE_REVIEW_DOES_NOT_AUTHORIZE_LIVE_DOCUMENTS_SELECTED_PROVIDER_PATHS_PROVIDER_BYTES_REPLAY_PERSISTENCE_LOCAL_MAP_PRODUCTION_GENERATION_ROOT_POPULATION_MATERIALIZATION_PUBLICATION_DEPLOYMENT_OR_ACTIVATION
accepted_source_sha256::selected-provider-local-supply-evidence-authorization-issuance-coordinate-production-implementation-boundary-acceptance.tsv	5b3628f2612e0e3ee51001cb80b3c43a76262fd182b500e31b32abb6f7b8bb69
accepted_source_sha256::selected-provider-local-supply-evidence-live-input-adapter-execution-authorization-implementation-boundary-acceptance.tsv	b108bd0955883e67bc4baab37b22af8c405fabba7b109d1830a8812404e83758
accepted_source_sha256::selected-provider-local-supply-map-evidence-transaction-implementation-boundary-acceptance.tsv	cc8974480536c3a656b1bc1eff7f7c7250c53cf24fe3b160a61aedc948fb8df6
accepted_source_sha256::selected-provider-local-supply-evidence-owner-authorization-token-schema.json	27d11e8bb8de3238b49aef77757f0328a2269a156f55fdcbdddcf4dcb4fd411b
accepted_source_sha256::selected-provider-local-supply-evidence-coordinate-receipt-schema.json	b94c25994ecc26e402607b9e61c0cee796c74b15435bc168a18821def9096f83
accepted_source_sha256::selected-provider-local-supply-evidence-live-input-adapter-contract.json	2e80bcb77b97b5ecc52304a9ef3693b123cb13dc74a7bc9c94dc1be557e82213
accepted_source_sha256::selected-provider-local-supply-evidence-execution-authorization-schema.json	91cd60dbc10fd0d0d1e644011b1d5f4f06e903744e81982dc088264836757a20
accepted_source_sha256::selected-provider-local-supply-map-contract.tsv	2223af964e74cc8bb221d13e559e49aaf03abe364985346cb1d8e43973c6640e
accepted_source_sha256::selected-provider-local-supply-map-validation-contract.tsv	0df8d9c7ddc28098ee220ee634a139b04aaa3d241bd36b2a4eb57ef8fbc41198
accepted_source_sha256::selected-provider-local-supply-map-evidence-transaction-receipt-contract.json	1fb99dbbc3581af9b77a52d34e2c6d25a51b245952491d4cf034b67e5ffd7dcd
